"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-ER-LBD","Weka RF classification","30","rdkit_fp","15","0.7806503397868529","0.7757504873294361","0.8098085357034566","0.7563919963276661"
"NR-ER-LBD","Weka RF classification","40","rdkit_fp","15","0.7937342015397585","0.7797046488274604","0.8200976275456713","0.7814003282461438"
"NR-ER-LBD","Weka RF classification","50","rdkit_fp","15","0.797758032150218","0.787224289680431","0.8230019595493094","0.7830478472209138"
"NR-ER-LBD","Weka RF classification","60","rdkit_fp","15","0.8034170440547878","0.7913875598086147","0.8260375113723891","0.7928260609833593"
"NR-ER-LBD","Weka RF classification","70","rdkit_fp","15","0.8073683317515306","0.7929115718589365","0.8292144890008687","0.7999789343947866"
"NR-ER-LBD","Weka RF classification","30","cdk_fp","15","0.7755939672938205","0.7569567015181085","0.7740059369678324","0.7958192633955206"
"NR-ER-LBD","Weka RF classification","40","cdk_fp","15","0.7862785759678491","0.763941166046431","0.778671530547974","0.8162230313091421"
"NR-ER-LBD","Weka RF classification","50","cdk_fp","15","0.7998377787701477","0.7732092858408736","0.815388294025704","0.8109157564438656"
"NR-ER-LBD","Weka RF classification","60","cdk_fp","15","0.8013202239607914","0.7821938685096546","0.8214404436979535","0.800326359674766"
"NR-ER-LBD","Weka RF classification","70","cdk_fp","15","0.8049054856862895","0.7841880796266789","0.8257546597616012","0.8047737176705883"
"NR-ER-LBD","Weka RF classification","30","rdkit_desc","15","0.8506675115629854","0.8446547344792961","0.8526124408052835","0.8547353594043764"
"NR-ER-LBD","Weka RF classification","40","rdkit_desc","15","0.8577067203286605","0.846442199775534","0.8510436349639597","0.8756343262464872"
"NR-ER-LBD","Weka RF classification","50","rdkit_desc","15","0.8597223491657452","0.8437781321991866","0.8578335316210626","0.8775553836769863"
"NR-ER-LBD","Weka RF classification","60","rdkit_desc","15","0.8641164724340747","0.8498458266879338","0.8616374483868733","0.8808661422274173"
"NR-ER-LBD","Weka RF classification","70","rdkit_desc","15","0.8642541333381373","0.8509185421466121","0.8663730258707164","0.8754708319970833"
"NR-ER-LBD","Weka RF classification","30","cdk_desc","15","0.860028093408376","0.8544355839092685","0.8615878764550828","0.8640608198607769"
"NR-ER-LBD","Weka RF classification","40","cdk_desc","15","0.863557371703172","0.8533853151397037","0.8707091119042636","0.8665776880655491"
"NR-ER-LBD","Weka RF classification","50","cdk_desc","15","0.8648725459510519","0.8537527319983496","0.8738627615648433","0.8670021442899628"
"NR-ER-LBD","Weka RF classification","60","cdk_desc","15","0.8635651283563227","0.85001476755863","0.8742491310332006","0.8664314864771372"
"NR-ER-LBD","Weka RF classification","70","cdk_desc","15","0.8631042221550517","0.8516155709138185","0.8740450113140702","0.8636520842372665"
"NR-ER-LBD","Weka RF classification","30","rdkit_fp","20","0.7900825427855254","0.7663441431862479","0.8205160729698913","0.783387412200437"
"NR-ER-LBD","Weka RF classification","40","rdkit_fp","20","0.7995412933790634","0.7742371079213154","0.8301096997690615","0.7942770724468134"
"NR-ER-LBD","Weka RF classification","50","rdkit_fp","20","0.8061343330642812","0.7928347805540799","0.8284111321062851","0.7971570865324783"
"NR-ER-LBD","Weka RF classification","60","rdkit_fp","20","0.8086100468519516","0.7906350050209668","0.8393475750577422","0.7958475604771458"
"NR-ER-LBD","Weka RF classification","70","rdkit_fp","20","0.8075033194771154","0.791593124224704","0.8344938997363994","0.7964229344702428"
"NR-ER-LBD","Weka RF classification","30","cdk_fp","20","0.8083240981578163","0.7916439246263791","0.8186994074696182","0.8146289623774516"
"NR-ER-LBD","Weka RF classification","40","cdk_fp","20","0.8110889558633261","0.7930757871108776","0.820459211048129","0.8197318694309716"
"NR-ER-LBD","Weka RF classification","50","cdk_fp","20","0.8168164487265513","0.7940563530037289","0.8377977231903314","0.8185952699855937"
"NR-ER-LBD","Weka RF classification","60","cdk_fp","20","0.8211219707552329","0.8014058715813203","0.8440423285977562","0.8179177120866221"
"NR-ER-LBD","Weka RF classification","70","cdk_fp","20","0.8212271596210847","0.8009817472975345","0.844936081367959","0.8177636501977608"
"NR-ER-LBD","Weka RF classification","30","rdkit_desc","20","0.8457174430027016","0.8276909445330498","0.8502519420533277","0.8592094424217271"
"NR-ER-LBD","Weka RF classification","40","rdkit_desc","20","0.849422527711443","0.8295032193277808","0.8520263256117759","0.8667380381947721"
"NR-ER-LBD","Weka RF classification","50","rdkit_desc","20","0.8484139157138274","0.8306031070943354","0.8495025310845177","0.8651361089626294"
"NR-ER-LBD","Weka RF classification","60","rdkit_desc","20","0.8488807548548806","0.8282910981156598","0.849692070823711","0.8686590956252711"
"NR-ER-LBD","Weka RF classification","70","rdkit_desc","20","0.8486034578225509","0.8304826038159374","0.8465413371591202","0.8687864324925951"
"NR-ER-LBD","Weka RF classification","30","cdk_desc","20","0.8563279077081871","0.8406769448874711","0.8675394242657524","0.8607673539713381"
"NR-ER-LBD","Weka RF classification","40","cdk_desc","20","0.8563966623250042","0.8436824384192805","0.8685162829215949","0.8569912656341374"
"NR-ER-LBD","Weka RF classification","50","cdk_desc","20","0.8583187564105978","0.845310414082344","0.8689099423799194","0.86073591276953"
"NR-ER-LBD","Weka RF classification","60","cdk_desc","20","0.8602056569314379","0.8438112115305096","0.871070695406723","0.8657350638570813"
"NR-ER-LBD","Weka RF classification","70","cdk_desc","20","0.8599812392338175","0.842398251521059","0.8701958966104465","0.8673495695699472"
