name,auc_global,auc_common,delta
data_bubonic,0.7613111978554931,0.7613111978554931,-0.0
data_chagas,0.8033404919468634,0.8004148961740511,0.0029255957728122617
data_herg,0.8560567565329902,0.8497171437120639,0.006339612820926321
data_kcnq,0.8342167243557532,0.8301625811698587,0.0040541431858944765
data_lipinski,0.7396862025597657,0.7396862025597657,-0.0
data_malaria,0.970877693344146,0.970877693344146,-0.0
data_solubility,0.8604850628957169,0.8362351100736263,0.024249952822090637
data_tuberculosis,0.7153644267205636,0.7090356028319237,0.006328823888639867
