"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_solubility","SMILE_NB","0.0","cdk_fp","Multinomial","0.7699061436703203","0.7927415143603134","0.8034716226655155","0.7135052939851318"
"data_solubility","SMILE_NB","0.5","cdk_fp","Multinomial","0.7878537625177998","0.8729503916449085","0.8310310355795882","0.6595798603289029"
"data_solubility","SMILE_NB","1.0","cdk_fp","Multinomial","0.7706977664422135","0.8549869451697129","0.8057209069841414","0.6513854471727866"
"data_solubility","SMILE_NB","2.0","cdk_fp","Multinomial","0.7439520801609564","0.8317493472584857","0.7652792293361204","0.6348276638882632"
"data_herg","SMILE_NB","0.0","rdkit_fp","Bernoulli","0.5790441924443026","0.5764283327764784","0.5842812534850006","0.5764229910714287"
"data_herg","SMILE_NB","0.5","rdkit_fp","Bernoulli","0.838627672043156","0.7834669785054013","0.8646146983383517","0.8678013392857149"
"data_herg","SMILE_NB","1.0","rdkit_fp","Bernoulli","0.8414529677443472","0.7829658091101458","0.8739823798371807","0.867410714285715"
"data_herg","SMILE_NB","2.0","rdkit_fp","Bernoulli","0.84310696507748","0.7824089542265285","0.8812869410059105","0.865625000000001"
"data_herg","SMILE_NB","0.0","cdk_fp","Bernoulli","0.5506904319295332","0.5607528678026511","0.540983606557377","0.5503348214285715"
"data_herg","SMILE_NB","0.5","cdk_fp","Bernoulli","0.8396992496033073","0.7813230872034745","0.8627188580350172","0.87505580357143"
"data_herg","SMILE_NB","1.0","cdk_fp","Bernoulli","0.8433600282677992","0.7827152244125181","0.8729786996765919","0.8743861607142874"
"data_herg","SMILE_NB","2.0","cdk_fp","Bernoulli","0.8458485386907896","0.7850540149237111","0.882179101148656","0.8703125000000018"
"data_herg","SMILE_NB","0.0","rdkit_fp","Multinomial","0.5790070294243725","0.5763726472881167","0.5842812534850006","0.5763671875000002"
"data_herg","SMILE_NB","0.5","rdkit_fp","Multinomial","0.8339666622124909","0.7845806882726359","0.8670123787219806","0.8503069196428561"
"data_herg","SMILE_NB","1.0","rdkit_fp","Multinomial","0.8407033622596837","0.7889798418532132","0.8790007806401249","0.8541294642857131"
"data_herg","SMILE_NB","2.0","rdkit_fp","Multinomial","0.8480350590763056","0.7937409511081415","0.8909334225493475","0.8594308035714281"
"data_herg","SMILE_NB","0.0","cdk_fp","Multinomial","0.5506161700908819","0.5605301258492041","0.5410393665662987","0.550279017857143"
"data_herg","SMILE_NB","0.5","cdk_fp","Multinomial","0.8315456163633659","0.7764784497160038","0.8643916583026653","0.8537667410714285"
"data_herg","SMILE_NB","1.0","cdk_fp","Multinomial","0.8387829989527115","0.7830493373426887","0.8764358202297312","0.8568638392857145"
"data_herg","SMILE_NB","2.0","cdk_fp","Multinomial","0.8467548644642259","0.7911237331551402","0.885413181666109","0.8637276785714283"
"data_tuberculosis","SMILE_NB","0.0","rdkit_fp","Bernoulli","0.5633277616387738","0.5615913589052927","0.557502454747267","0.5708894712637619"
"data_tuberculosis","SMILE_NB","0.5","rdkit_fp","Bernoulli","0.7068996247522464","0.702991682653216","0.7044633709016347","0.7132438207018887"
"data_tuberculosis","SMILE_NB","1.0","rdkit_fp","Bernoulli","0.6975434046781824","0.6905210908415832","0.6975772711748611","0.7045318520181032"
"data_tuberculosis","SMILE_NB","2.0","rdkit_fp","Bernoulli","0.6820426779837877","0.6726959559737586","0.6847624231557389","0.6886696548218658"
"data_tuberculosis","SMILE_NB","0.0","cdk_fp","Bernoulli","0.5785557240009855","0.5754657269074485","0.5683316256830607","0.5918698194124474"
"data_tuberculosis","SMILE_NB","0.5","cdk_fp","Bernoulli","0.7135318516160768","0.7118811795194182","0.7177606301229499","0.7109537452058623"
"data_tuberculosis","SMILE_NB","1.0","cdk_fp","Bernoulli","0.7030418796032228","0.6988883786222153","0.7094774590163939","0.7007598011710593"
"data_tuberculosis","SMILE_NB","2.0","cdk_fp","Bernoulli","0.6860478684138839","0.6785390522285099","0.6958973702185811","0.6837071827945608"
"data_tuberculosis","SMILE_NB","0.0","rdkit_fp","Multinomial","0.5634527472779945","0.5617053546516229","0.5576203893442616","0.5710324978380993"
"data_tuberculosis","SMILE_NB","0.5","rdkit_fp","Multinomial","0.7063868225047281","0.7001005333915331","0.702732240437161","0.7163276936854901"
"data_tuberculosis","SMILE_NB","1.0","rdkit_fp","Multinomial","0.7002918946859582","0.6914135146842871","0.6976541154371647","0.7118080539364231"
"data_tuberculosis","SMILE_NB","2.0","rdkit_fp","Multinomial","0.689189511175112","0.679489016781262","0.6869423454576504","0.7011371712864235"
"data_tuberculosis","SMILE_NB","0.0","cdk_fp","Multinomial","0.5784529237456916","0.5750868267601226","0.5681683316256836","0.5921036128512684"
"data_tuberculosis","SMILE_NB","0.5","cdk_fp","Multinomial","0.7138746659309493","0.7103845782211731","0.7173123719262234","0.7139270476454516"
"data_tuberculosis","SMILE_NB","1.0","cdk_fp","Multinomial","0.7065989983767955","0.6994920132408772","0.7122139685792404","0.7080910133102688"
"data_tuberculosis","SMILE_NB","2.0","cdk_fp","Multinomial","0.6934306239135029","0.6838501683337221","0.7002251963797828","0.6962165070270036"
"data_malaria","SMILE_NB","0.0","rdkit_fp","Bernoulli","0.5500676721101911","0.6164579645534216","0.5090507347703352","0.5246943170068166"
"data_malaria","SMILE_NB","0.5","rdkit_fp","Bernoulli","0.9544315343440054","0.9647842500929081","0.9632245468696382","0.9352858060694699"
"data_malaria","SMILE_NB","1.0","rdkit_fp","Bernoulli","0.9193103268019084","0.9288486964313264","0.9289462575521674","0.9001360264222313"
"data_malaria","SMILE_NB","2.0","rdkit_fp","Bernoulli","0.8387593299758004","0.846646288161917","0.8446138828061095","0.8250178189593744"
