name,method,feature,maxIter,reg,auc,f1,f2,f3
data_solubility,SVC,cdk_desc,10,1.0,0.7232553303767135,0.7365972222222223,0.836720574245438,0.5964481946624803
data_solubility,SVC,rdkit_desc,10,1.0,0.7818805431215551,0.7897222222222222,0.7385626567499783,0.8173567503924647
data_solubility,SVC,cdk_desc,50,1.0,0.9602947078445976,0.9577083333333334,0.9606071088817781,0.9625686813186813
data_solubility,SVC,rdkit_desc,50,1.0,0.9723194042358001,0.9705555555555555,0.9695580731644037,0.9768445839874411
data_solubility,SVC,cdk_desc,100,1.0,0.9702872504079092,0.9744444444444444,0.9701202110179019,0.9662970957613815
data_solubility,SVC,rdkit_desc,100,1.0,0.9737714589463625,0.9722916666666667,0.9697742800311338,0.9792484301412874
data_solubility,SVC,cdk_desc,10,0.1,0.756310180833769,0.6386111111111111,0.9465969039176685,0.6837225274725275
data_solubility,SVC,rdkit_desc,10,0.1,0.8043708874371563,0.7840972222222221,0.819164576666955,0.809850863422292
data_solubility,SVC,cdk_desc,50,0.1,0.9609101581485786,0.9368055555555556,0.9738389691256594,0.9720859497645211
data_solubility,SVC,rdkit_desc,50,0.1,0.9715164658336306,0.9703472222222222,0.9654933840698781,0.9787087912087913
data_solubility,SVC,cdk_desc,100,0.1,0.9740505862822735,0.9754166666666666,0.9772982789933408,0.9694368131868132
data_solubility,SVC,rdkit_desc,100,0.1,0.9775265045746476,0.97625,0.975265934446078,0.981063579277865
data_solubility,SVC,cdk_desc,10,0.03,0.8681803299066876,0.8713194444444444,0.9066418749459482,0.8265796703296703
data_solubility,SVC,rdkit_desc,10,0.03,0.8344141578869883,0.8040972222222221,0.8579953299316786,0.8411499215070644
data_solubility,SVC,cdk_desc,50,0.03,0.9670258164738867,0.9615277777777778,0.9716336590850126,0.9679160125588696
data_solubility,SVC,rdkit_desc,50,0.03,0.9695137879948652,0.9686805555555555,0.9638502118827295,0.9760105965463108
data_solubility,SVC,cdk_desc,100,0.03,0.9723929334488337,0.973125,0.9804548992476001,0.9635989010989011
data_solubility,SVC,rdkit_desc,100,0.03,0.9759005572670079,0.9779861111111111,0.9722822796852028,0.9774332810047095
