name,method,feature,smoothing,auc,f1,f2,f3
data_tuberculosis,NB_BN,cdk_ecfp,0.2,0.7142741362797236,0.7030150106626564,0.7214103467022513,0.7183970514742629
data_tuberculosis,NB_BN,rdkit_ecfp,0.2,0.7097886581816863,0.7002893214097844,0.7178328432220493,0.7112438099132254
data_tuberculosis,NB_BN,cdk_fcfp,0.2,0.7153644267205636,0.7042209712730361,0.724445226975066,0.7174270819135886
data_tuberculosis,NB_BN,rdkit_fcfp,0.2,0.7090356028319237,0.6942235032446347,0.7169952265632077,0.7158880786879289
data_tuberculosis,NB_BN,cdk_ecfp,1.0,0.7012874663789638,0.6908997448383795,0.7103071638619121,0.7026554904365999
data_tuberculosis,NB_BN,rdkit_ecfp,1.0,0.6965401562168229,0.6879672415260804,0.7062503603759442,0.695402866748444
data_tuberculosis,NB_BN,cdk_fcfp,1.0,0.7026677282956657,0.6961121139561839,0.7128076580917786,0.6990834128390351
data_tuberculosis,NB_BN,rdkit_fcfp,1.0,0.6971074251938548,0.6851116795920907,0.7071538743502935,0.6990567216391804
data_tuberculosis,NB_BN,cdk_ecfp,5.0,0.6472841661824006,0.6396371422771592,0.6536941623215625,0.6485211939484803
data_tuberculosis,NB_BN,rdkit_ecfp,5.0,0.6414924695366838,0.6351068775769905,0.6482638116654721,0.6411067193675891
data_tuberculosis,NB_BN,cdk_fcfp,5.0,0.6513382762077711,0.6512842116291708,0.6567331611765966,0.645997455817546
data_tuberculosis,NB_BN,rdkit_fcfp,5.0,0.6514644862572536,0.6466529954751922,0.6568227403398654,0.6509177229567035
data_tuberculosis,NB_BN,cdk_ecfp,10.0,0.6101213508707662,0.6018747503497831,0.614818864753997,0.6136704375085186
data_tuberculosis,NB_BN,rdkit_ecfp,10.0,0.6045936021937846,0.5975016425074376,0.6092474526568974,0.607031711417019
data_tuberculosis,NB_BN,cdk_fcfp,10.0,0.6157056937749941,0.6151610530382567,0.6186115641551551,0.6133444641315705
data_tuberculosis,NB_BN,rdkit_fcfp,10.0,0.618860136258524,0.6149367771057382,0.6204144735216349,0.6212291581481989
data_tuberculosis,NB_BN,cdk_ecfp,25.0,0.5548175559726191,0.5470139105646514,0.5582388118714013,0.5591999454818044
data_tuberculosis,NB_BN,rdkit_ecfp,25.0,0.5512026595114081,0.5435302668829028,0.5542942397509082,0.5557834719004134
data_tuberculosis,NB_BN,cdk_fcfp,25.0,0.5607619425154825,0.5595187944322818,0.5603130328415746,0.5624540002725911
data_tuberculosis,NB_BN,rdkit_fcfp,25.0,0.5666560247282073,0.5626799391453723,0.5643677770364329,0.5729203580028168
data_chagas,NB_BN,cdk_ecfp,0.2,0.790111023317076,0.7848315436675377,0.7925510700018087,0.7929504562818819
data_chagas,NB_BN,rdkit_ecfp,0.2,0.789056065991198,0.7837651306009769,0.7902550176426617,0.7931480497299557
data_chagas,NB_BN,cdk_fcfp,0.2,0.7943003451805343,0.781043699853195,0.8070694874583453,0.7947878482300623
data_chagas,NB_BN,rdkit_fcfp,0.2,0.8004148961740511,0.7860226024172029,0.8112257018379316,0.8039963842670191
data_chagas,NB_BN,cdk_ecfp,1.0,0.7994116423018643,0.7936098313128421,0.8021787978580349,0.8024462977347161
data_chagas,NB_BN,rdkit_ecfp,1.0,0.7980491061767797,0.7922075673779163,0.7997966571569926,0.8021430939954305
data_chagas,NB_BN,cdk_fcfp,1.0,0.7941186891228158,0.7822370668562513,0.8058762376561305,0.7942427628560655
data_chagas,NB_BN,rdkit_fcfp,1.0,0.8033404919468634,0.7910107379947742,0.8129180460779679,0.8060926917678481
data_chagas,NB_BN,cdk_ecfp,5.0,0.7956648688792454,0.7879061371841157,0.7980923259326418,0.8009961435209789
data_chagas,NB_BN,rdkit_ecfp,5.0,0.7943206193075156,0.7868766561718079,0.7946030237712796,0.8014821779794594
data_chagas,NB_BN,cdk_fcfp,5.0,0.7827471470317421,0.771076661711616,0.7922895357985837,0.7848752435850266
data_chagas,NB_BN,rdkit_fcfp,5.0,0.7963257770450032,0.783986722926496,0.8030996161985567,0.801890992009957
data_chagas,NB_BN,cdk_ecfp,10.0,0.7875894262803427,0.7787539124894973,0.78795351665428,0.7960608496972507
data_chagas,NB_BN,rdkit_ecfp,10.0,0.7862772938960069,0.7783407351325398,0.7836512790112263,0.7968398675442543
data_chagas,NB_BN,cdk_fcfp,10.0,0.7733277535604426,0.7622637502654491,0.780457292554339,0.7772622178615394
data_chagas,NB_BN,rdkit_fcfp,10.0,0.7890184571690214,0.7767849723471244,0.7930784973116464,0.7971919018482937
data_chagas,NB_BN,cdk_ecfp,25.0,0.7674293974174083,0.7588383022334659,0.7622403455738607,0.7812095444448987
data_chagas,NB_BN,rdkit_ecfp,25.0,0.7656046602588576,0.7580650373475397,0.7569965847991963,0.7817523586298369
data_chagas,NB_BN,cdk_fcfp,25.0,0.7552429813394197,0.7458613016702523,0.7587717482035868,0.7610958941444204
data_chagas,NB_BN,rdkit_fcfp,25.0,0.7739468945402793,0.7619959928721136,0.7742676497446774,0.7855770410040471
data_herg,NB_BN,cdk_ecfp,0.2,0.834997758886547,0.8603851010101011,0.8208857442348008,0.8237224314147392
data_herg,NB_BN,rdkit_ecfp,0.2,0.8355214532282746,0.8602272727272727,0.821619496855346,0.8247175901022055
data_herg,NB_BN,cdk_fcfp,0.2,0.8511820951316597,0.8585227272727274,0.8490041928721173,0.8460193652501345
data_herg,NB_BN,rdkit_fcfp,0.2,0.8497171437120639,0.8582070707070709,0.8476415094339622,0.8433028509951586
