name,method,feature,nfolds,elasticNetParam,maxIter,reg,auc,f1,f2,f3
data_herg,LRC_FPS,cdk_fp,1000,0.7,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1500,0.7,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,2000,0.7,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1000,0.8,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1500,0.8,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,2000,0.8,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1000,0.9,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1500,0.9,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,2000,0.9,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1000,0.7,10,0.1,0.8323774851713892,0.830050505050505,0.8305031446540879,0.836578805809575
data_herg,LRC_FPS,cdk_fp,1500,0.7,10,0.1,0.8342519584310222,0.8290719696969696,0.8310534591194968,0.8426304464766002
data_herg,LRC_FPS,cdk_fp,2000,0.7,10,0.1,0.8384308561875689,0.8318497474747476,0.8373427672955975,0.8461000537923613
data_herg,LRC_FPS,cdk_fp,1000,0.8,10,0.1,0.8210344790805604,0.8160984848484849,0.8146488469601678,0.8323561054330284
data_herg,LRC_FPS,cdk_fp,1500,0.8,10,0.1,0.8190224906389637,0.805239898989899,0.8163784067085953,0.8354491662183968
data_herg,LRC_FPS,cdk_fp,2000,0.8,10,0.1,0.8253023506153041,0.8218118686868686,0.815041928721174,0.8390532544378698
data_herg,LRC_FPS,cdk_fp,1000,0.9,10,0.1,0.810559987269893,0.8085542929292929,0.805293501048218,0.8178321678321679
data_herg,LRC_FPS,cdk_fp,1500,0.9,10,0.1,0.8118172075129622,0.7977588383838385,0.8118186582809224,0.8258741258741258
data_herg,LRC_FPS,cdk_fp,2000,0.9,10,0.1,0.8126195033397501,0.8124368686868686,0.8018605870020965,0.823561054330285
data_herg,LRC_FPS,cdk_fp,1000,0.7,10,0.03,0.8601901177962499,0.8735795454545452,0.8531446540880504,0.8538461538461538
data_herg,LRC_FPS,cdk_fp,1500,0.7,10,0.03,0.8666831361134699,0.8852272727272728,0.8601153039832284,0.8547068316299085
data_herg,LRC_FPS,cdk_fp,2000,0.7,10,0.03,0.8617110112982754,0.8708017676767675,0.8562893081761005,0.858041958041958
data_herg,LRC_FPS,cdk_fp,1000,0.8,10,0.03,0.8603742090906459,0.8748421717171715,0.8535639412997904,0.8527165142549759
data_herg,LRC_FPS,cdk_fp,1500,0.8,10,0.03,0.8657836764240973,0.882260101010101,0.864203354297694,0.850887573964497
data_herg,LRC_FPS,cdk_fp,2000,0.8,10,0.03,0.8643357994274178,0.8757260101010103,0.8606918238993712,0.8565895642818719
data_herg,LRC_FPS,cdk_fp,1000,0.9,10,0.03,0.8576078964912419,0.8745896464646463,0.8445492662473797,0.8536847767616998
data_herg,LRC_FPS,cdk_fp,1500,0.9,10,0.03,0.8635056112650453,0.8820075757575758,0.8567610062893083,0.8517482517482518
data_herg,LRC_FPS,cdk_fp,2000,0.9,10,0.03,0.8646484534320165,0.8737689393939393,0.8631027253668763,0.8570736955352339
data_herg,LRC_FPS,cdk_fp,1000,0.7,10,0.01,0.8456884973530473,0.8528093434343434,0.8483228511530397,0.8359332974717589
data_herg,LRC_FPS,cdk_fp,1500,0.7,10,0.01,0.8597414534143489,0.883175505050505,0.8539832285115303,0.8420656266810114
data_herg,LRC_FPS,cdk_fp,2000,0.7,10,0.01,0.8491616992841593,0.8612689393939393,0.8474318658280923,0.8387842926304463
data_herg,LRC_FPS,cdk_fp,1000,0.8,10,0.01,0.8459933371807464,0.8550189393939394,0.8464360587002098,0.8365250134480904
data_herg,LRC_FPS,cdk_fp,1500,0.8,10,0.01,0.8588407837727503,0.8845643939393938,0.8520440251572327,0.8399139322216246
data_herg,LRC_FPS,cdk_fp,2000,0.8,10,0.01,0.848161052347373,0.8572285353535354,0.8508909853249477,0.8363636363636365
data_herg,LRC_FPS,cdk_fp,1000,0.9,10,0.01,0.8486848159970439,0.8580492424242426,0.8448637316561846,0.8431414739107048
data_herg,LRC_FPS,cdk_fp,1500,0.9,10,0.01,0.8570567738247347,0.8810290404040404,0.8556603773584905,0.8344809037116729
data_herg,LRC_FPS,cdk_fp,2000,0.9,10,0.01,0.8494492074272553,0.8578598484848485,0.8486373165618449,0.8418504572350726
data_herg,LRC_FPS,cdk_fp,1000,0.7,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1500,0.7,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,2000,0.7,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1000,0.8,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1500,0.8,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,2000,0.8,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1000,0.9,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1500,0.9,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,2000,0.9,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1000,0.7,50,0.1,0.8319058105523998,0.8273989898989899,0.831551362683438,0.8367670790747713
data_herg,LRC_FPS,cdk_fp,1500,0.7,50,0.1,0.8332589435909465,0.8284722222222222,0.8315251572327045,0.8397794513179128
data_herg,LRC_FPS,cdk_fp,2000,0.7,50,0.1,0.8374942991280074,0.8295138888888891,0.8379716981132075,0.8449973103819258
data_herg,LRC_FPS,cdk_fp,1000,0.8,50,0.1,0.820276770580653,0.8141729797979799,0.8155922431865826,0.8310650887573965
data_herg,LRC_FPS,cdk_fp,1500,0.8,50,0.1,0.8212558756689743,0.8093118686868688,0.8176886792452829,0.8367670790747714
