name,method,feature,nfolds,elasticNetParam,maxIter,reg,auc,f1,f2,f3
data_herg,LRC,cdk_fp,1000,0.7,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1000,0.7,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1000,0.7,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1000,0.8,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1000,0.8,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1000,0.8,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1000,0.9,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1000,0.9,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1000,0.9,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1500,0.7,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1500,0.7,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1500,0.7,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1500,0.8,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1500,0.8,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1500,0.8,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1500,0.9,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1500,0.9,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1500,0.9,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,2000,0.7,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,2000,0.7,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,2000,0.7,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,2000,0.8,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,2000,0.8,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,2000,0.8,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,2000,0.9,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,2000,0.9,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,2000,0.9,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_fp,1000,0.7,10,0.1,0.8110658906150562,0.8055871212121214,0.8024895178197065,0.8251210328133405
data_herg,LRC,cdk_fp,1000,0.7,50,0.1,0.8320197481119106,0.8268939393939395,0.8320754716981129,0.8370898332436794
data_herg,LRC,cdk_fp,1000,0.7,100,0.1,0.8320670137796409,0.827777777777778,0.8316561844863731,0.8367670790747714
data_herg,LRC,cdk_fp,1000,0.8,10,0.1,0.8181450708754772,0.8154671717171716,0.8093553459119496,0.8296126949973104
data_herg,LRC,cdk_fp,1000,0.8,50,0.1,0.8201312121531643,0.814614898989899,0.815251572327044,0.8305271651425499
data_herg,LRC,cdk_fp,1000,0.8,100,0.1,0.8201457433269842,0.8141729797979799,0.8151991614255766,0.8310650887573963
data_herg,LRC,cdk_fp,1000,0.9,10,0.1,0.8186778903714679,0.817455808080808,0.822117400419287,0.8164604626143089
data_herg,LRC,cdk_fp,1000,0.9,50,0.1,0.8116714623064405,0.8059343434343433,0.8059224318658281,0.82315761161915
data_herg,LRC,cdk_fp,1000,0.9,100,0.1,0.8124541933232063,0.8066287878787879,0.8064465408805033,0.8242872512103281
data_herg,LRC,cdk_fp,1500,0.7,10,0.1,0.8163498154200257,0.8249053030303028,0.808490566037736,0.8156535771920388
data_herg,LRC,cdk_fp,1500,0.7,50,0.1,0.8331332788925314,0.8293876262626263,0.831577568134172,0.838434642280796
