name,method,feature,elasticNetParam,maxIter,reg,auc,f1,f2,f3
data_herg,LRC_DESCS,cdk_desc,0.7,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_DESCS,rdkit_desc,0.7,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_DESCS,cdk_desc,0.8,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_DESCS,rdkit_desc,0.8,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_DESCS,cdk_desc,0.9,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_DESCS,rdkit_desc,0.9,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_DESCS,cdk_desc,0.7,10,0.1,0.8545915725206363,0.8542613636363636,0.8574423480083856,0.8520710059171599
data_herg,LRC_DESCS,rdkit_desc,0.7,10,0.1,0.8290721247588083,0.8232007575757576,0.8345911949685534,0.8294244217321141
data_herg,LRC_DESCS,cdk_desc,0.8,10,0.1,0.8477497931099164,0.8497159090909092,0.8432914046121591,0.8502420656266809
data_herg,LRC_DESCS,rdkit_desc,0.8,10,0.1,0.8265613869614232,0.8213068181818183,0.8280922431865826,0.8302850995158688
data_herg,LRC_DESCS,cdk_desc,0.9,10,0.1,0.8429978995699243,0.8441603535353536,0.8325471698113207,0.8522861753630986
data_herg,LRC_DESCS,rdkit_desc,0.9,10,0.1,0.8197377286410306,0.8165719696969698,0.8230607966457024,0.8195804195804196
data_herg,LRC_DESCS,cdk_desc,0.7,10,0.03,0.8704866456045701,0.875189393939394,0.8831236897274632,0.8531468531468532
data_herg,LRC_DESCS,rdkit_desc,0.7,10,0.03,0.8514221931175849,0.8557765151515151,0.8572851153039831,0.8412049488972567
data_herg,LRC_DESCS,cdk_desc,0.8,10,0.03,0.8704470038105742,0.8738636363636364,0.8842767295597485,0.8532006455083379
data_herg,LRC_DESCS,rdkit_desc,0.8,10,0.03,0.8499976470540693,0.8520517676767676,0.8556603773584908,0.8422807961269501
data_herg,LRC_DESCS,cdk_desc,0.9,10,0.03,0.8682635498673235,0.8717171717171718,0.8799266247379455,0.8531468531468531
data_herg,LRC_DESCS,rdkit_desc,0.9,10,0.03,0.8480184682878804,0.8500946969696969,0.8515723270440252,0.8423883808499194
data_herg,LRC_DESCS,cdk_desc,0.7,10,0.01,0.8664152926308223,0.8784090909090908,0.8707023060796645,0.8501344809037118
data_herg,LRC_DESCS,rdkit_desc,0.7,10,0.01,0.8541261943520652,0.8556502525252527,0.8631027253668762,0.8436256051640667
data_herg,LRC_DESCS,cdk_desc,0.8,10,0.01,0.8669036058549846,0.8789141414141415,0.8730607966457022,0.8487358795051102
data_herg,LRC_DESCS,rdkit_desc,0.8,10,0.01,0.8536484159352448,0.8551452020202022,0.8636268343815513,0.8421732114039806
data_herg,LRC_DESCS,cdk_desc,0.9,10,0.01,0.8681906543572,0.8793560606060606,0.8739517819706498,0.8512641204948899
