"NAME [String]","METHOD [String]","C [Double]","coef0 [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_TAN","0.001","0.0","rdkit_fp","2","0.690483973546456","0.8154761904761906","0.5747508305647842","0.6812248995983935"
"data_lipinski","SVC_TAN","0.01","0.0","rdkit_fp","2","0.721681298838766","0.8214285714285715","0.6262458471760798","0.7173694779116466"
"data_lipinski","SVC_TAN","0.1","0.0","rdkit_fp","2","0.7213446347219814","0.7981150793650794","0.6500553709856036","0.715863453815261"
"data_lipinski","SVC_TAN","1.0","0.0","rdkit_fp","2","0.7222200448156597","0.8000992063492064","0.6461794019933554","0.7203815261044175"
"data_lipinski","SVC_TAN","10.0","0.0","rdkit_fp","2","0.7243136443892958","0.7916666666666667","0.6478405315614619","0.7334337349397589"
"data_lipinski","SVC_TAN","0.001","1.0","rdkit_fp","2","0.6664209903475105","0.7584325396825399","0.654485049833887","0.5863453815261044"
"data_lipinski","SVC_TAN","0.01","1.0","rdkit_fp","2","0.7297111572906614","0.8129960317460319","0.6788482834994464","0.6972891566265058"
"data_lipinski","SVC_TAN","0.1","1.0","rdkit_fp","2","0.7213061826486457","0.7991071428571429","0.6489479512735328","0.715863453815261"
"data_lipinski","SVC_TAN","1.0","1.0","rdkit_fp","2","0.729098564801843","0.7976190476190477","0.6733111849390919","0.7163654618473894"
"data_lipinski","SVC_TAN","10.0","1.0","rdkit_fp","2","0.7285477735971572","0.793154761904762","0.6550387596899226","0.737449799196787"
"data_lipinski","SVC_TAN","0.001","2.0","rdkit_fp","2","0.687160880509858","0.7767857142857144","0.6511627906976746","0.6335341365461848"
"data_lipinski","SVC_TAN","0.01","2.0","rdkit_fp","2","0.7079890251296809","0.7817460317460319","0.6489479512735327","0.6932730923694779"
"data_lipinski","SVC_TAN","0.1","2.0","rdkit_fp","2","0.722646584862892","0.7956349206349207","0.6539313399778517","0.7183734939759036"
"data_lipinski","SVC_TAN","1.0","2.0","rdkit_fp","2","0.7277300879412816","0.7921626984126985","0.6716500553709857","0.7193775100401605"
"data_lipinski","SVC_TAN","10.0","2.0","rdkit_fp","2","0.7298617689658596","0.7956349206349207","0.6572535991140643","0.7366967871485942"
"data_lipinski","SVC_TAN","0.001","3.0","rdkit_fp","2","0.6509677043352443","0.7881944444444445","0.6295681063122924","0.535140562248996"
"data_lipinski","SVC_TAN","0.01","3.0","rdkit_fp","2","0.7248901938503368","0.8000992063492064","0.6566998892580288","0.717871485943775"
"data_lipinski","SVC_TAN","0.1","3.0","rdkit_fp","2","0.7231138470456208","0.7926587301587301","0.6578073089700998","0.7188755020080321"
