"NAME [String]","METHOD [String]","gamma [Double]","foldSize [Int]","featuresColumn [String]","scalerType [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_RBF_FP","0.01","1500","rdkit_fp","MaxMin","0.1","0.7436860769026641","0.7936507936507937","0.7436323366555925","0.6937751004016064"
"data_lipinski","SVC_RBF_FP","0.1","1500","rdkit_fp","MaxMin","0.1","0.6943585063769288","0.7534722222222222","0.6240310077519381","0.7055722891566263"
"data_lipinski","SVC_RBF_FP","1.0","1500","rdkit_fp","MaxMin","0.1","0.4270356620279568","0.2886904761904762","0.4617940199335548","0.5306224899598393"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","rdkit_fp","MaxMin","0.1","0.7448448278162484","0.7797619047619048","0.7790697674418604","0.6757028112449798"
"data_lipinski","SVC_RBF_FP","0.001","2000","rdkit_fp","MaxMin","0.1","0.7420723870009384","0.7678571428571429","0.7691029900332226","0.6892570281124497"
"data_lipinski","SVC_RBF_FP","0.01","2000","rdkit_fp","MaxMin","0.1","0.7650900760665401","0.7996031746031746","0.762735326688815","0.7329317269076305"
"data_lipinski","SVC_RBF_FP","0.1","2000","rdkit_fp","MaxMin","0.1","0.5566620023838432","0.7276785714285714","0.6160022148394241","0.32630522088353414"
"data_lipinski","SVC_RBF_FP","1.0","2000","rdkit_fp","MaxMin","0.1","0.38621417656599083","0.31820436507936506","0.4820044296788483","0.35843373493975905"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","cdk_fp","MaxMin","0.1","0.6710540482342808","0.6939484126984128","0.7358803986710963","0.5833333333333334"
"data_lipinski","SVC_RBF_FP","0.001","1000","cdk_fp","MaxMin","0.1","0.6672065245107414","0.7346230158730159","0.7142857142857143","0.552710843373494"
"data_lipinski","SVC_RBF_FP","0.01","1000","cdk_fp","MaxMin","0.1","0.6985722513531424","0.7321428571428572","0.7109634551495017","0.6526104417670683"
"data_lipinski","SVC_RBF_FP","0.1","1000","cdk_fp","MaxMin","0.1","0.6509509336719339","0.7058531746031746","0.5968992248062015","0.6501004016064257"
"data_lipinski","SVC_RBF_FP","1.0","1000","cdk_fp","MaxMin","0.1","0.40031520044741536","0.29985119047619047","0.44075304540420823","0.46034136546184734"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","cdk_fp","MaxMin","0.1","0.7118852856979784","0.7549603174603176","0.7491694352159469","0.6315261044176705"
"data_lipinski","SVC_RBF_FP","0.001","1500","cdk_fp","MaxMin","0.1","0.7108239621461112","0.7643849206349207","0.7646733111849391","0.6034136546184737"
"data_lipinski","SVC_RBF_FP","0.01","1500","cdk_fp","MaxMin","0.1","0.7072886877891781","0.7296626984126984","0.7165005537098561","0.6757028112449799"
"data_lipinski","SVC_RBF_FP","0.1","1500","cdk_fp","MaxMin","0.1","0.6709611609968853","0.7271825396825397","0.6511627906976746","0.6345381526104418"
"data_lipinski","SVC_RBF_FP","1.0","1500","cdk_fp","MaxMin","0.1","0.361689745323116","0.28670634920634913","0.3405315614617941","0.45783132530120474"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","cdk_fp","MaxMin","0.1","0.6746613623189696","0.6805555555555556","0.7425249169435216","0.6009036144578312"
"data_lipinski","SVC_RBF_FP","0.001","2000","cdk_fp","MaxMin","0.1","0.6759463564853729","0.6929563492063493","0.7289590254706534","0.6059236947791163"
"data_lipinski","SVC_RBF_FP","0.01","2000","cdk_fp","MaxMin","0.1","0.6967735745492121","0.6959325396825397","0.7076411960132891","0.6867469879518072"
"data_lipinski","SVC_RBF_FP","0.1","2000","cdk_fp","MaxMin","0.1","0.5216348969150874","0.30753968253968256","0.6057585825027686","0.6516064257028111"
"data_lipinski","SVC_RBF_FP","1.0","2000","cdk_fp","MaxMin","0.1","0.38615056849768953","0.3058035714285714","0.3842746400885936","0.4683734939759036"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","rdkit_fp","Standard","0.1","0.7290918472709591","0.7475198412698413","0.7580287929125139","0.681726907630522"
"data_lipinski","SVC_RBF_FP","0.001","1000","rdkit_fp","Standard","0.1","0.7377399502031753","0.7772817460317462","0.7386489479512737","0.6972891566265059"
"data_lipinski","SVC_RBF_FP","0.01","1000","rdkit_fp","Standard","0.1","0.36865716835596357","0.3174603174603175","0.42857142857142855","0.35993975903614456"
"data_lipinski","SVC_RBF_FP","0.1","1000","rdkit_fp","Standard","0.1","0.47789232789407904","0.4538690476190476","0.47729789590254706","0.5025100401606426"
"data_lipinski","SVC_RBF_FP","1.0","1000","rdkit_fp","Standard","0.1","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","rdkit_fp","Standard","0.1","0.71950491148796","0.7847222222222223","0.7397563676633445","0.6340361445783131"
"data_lipinski","SVC_RBF_FP","0.001","1500","rdkit_fp","Standard","0.1","0.7133684701893585","0.7941468253968255","0.6943521594684384","0.6516064257028112"
"data_lipinski","SVC_RBF_FP","0.01","1500","rdkit_fp","Standard","0.1","0.3852630436845203","0.32490079365079366","0.4684385382059801","0.3624497991967872"
"data_lipinski","SVC_RBF_FP","0.1","1500","rdkit_fp","Standard","0.1","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0","1500","rdkit_fp","Standard","0.1","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","rdkit_fp","Standard","0.1","0.7346272780305423","0.777281746031746","0.7569213732004431","0.6696787148594378"
"data_lipinski","SVC_RBF_FP","0.001","2000","rdkit_fp","Standard","0.1","0.7224416770070313","0.7782738095238095","0.7203765227021041","0.6686746987951807"
"data_lipinski","SVC_RBF_FP","0.01","2000","rdkit_fp","Standard","0.1","0.3949385118917901","0.3427579365079365","0.4590254706533776","0.3830321285140562"
"data_lipinski","SVC_RBF_FP","0.1","2000","rdkit_fp","Standard","0.1","0.5059301436087651","0.5059523809523809","0.5058139534883721","0.5060240963855421"
"data_lipinski","SVC_RBF_FP","1.0","2000","rdkit_fp","Standard","0.1","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","cdk_fp","Standard","0.1","0.6941709251179692","0.761904761904762","0.7131782945736436","0.607429718875502"
"data_lipinski","SVC_RBF_FP","0.001","1000","cdk_fp","Standard","0.1","0.7059029306595151","0.7633928571428572","0.7032115171650056","0.6511044176706827"
"data_lipinski","SVC_RBF_FP","0.01","1000","cdk_fp","Standard","0.1","0.40398304180175854","0.31547619047619047","0.4396456256921372","0.4568273092369478"
"data_lipinski","SVC_RBF_FP","0.1","1000","cdk_fp","Standard","0.1","0.4774481369553519","0.4419642857142857","0.48837209302325585","0.5020080321285141"
"data_lipinski","SVC_RBF_FP","1.0","1000","cdk_fp","Standard","0.1","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","cdk_fp","Standard","0.1","0.5337205688757244","0.2306547619047619","0.7314507198228128","0.6390562248995983"
"data_lipinski","SVC_RBF_FP","0.001","1500","cdk_fp","Standard","0.1","0.711144643172172","0.7713293650793651","0.7059800664451827","0.6561244979919679"
"data_lipinski","SVC_RBF_FP","0.01","1500","cdk_fp","Standard","0.1","0.384000379517331","0.2996031746031746","0.40310077519379844","0.44929718875502006"
"data_lipinski","SVC_RBF_FP","0.1","1500","cdk_fp","Standard","0.1","0.4939998087588449","0.49404761904761907","0.5","0.4879518072289157"
"data_lipinski","SVC_RBF_FP","1.0","1500","cdk_fp","Standard","0.1","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","cdk_fp","Standard","0.1","0.6919043838699205","0.6964285714285714","0.7286821705426357","0.6506024096385542"
"data_lipinski","SVC_RBF_FP","0.001","2000","cdk_fp","Standard","0.1","0.68442767934047","0.7465277777777778","0.6400885935769657","0.6666666666666666"
