"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxNodes [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SMILE_RFC_FP","30","rdkit_fp","500","1000","0.625681852548622","0.6636904761904763","0.5376522702104097","0.6757028112449799"
"data_lipinski","SMILE_RFC_FP","40","rdkit_fp","500","1000","0.5628339307766318","0.6418650793650794","0.5370985603543744","0.5095381526104418"
"data_lipinski","SMILE_RFC_FP","50","rdkit_fp","500","1000","0.6058619861505825","0.6785714285714287","0.5586932447397563","0.5803212851405622"
"data_lipinski","SMILE_RFC_FP","60","rdkit_fp","500","1000","0.6031271171804234","0.6721230158730159","0.5775193798449613","0.5597389558232932"
"data_lipinski","SMILE_RFC_FP","70","rdkit_fp","500","1000","0.5931980506003343","0.6612103174603176","0.46677740863787376","0.6516064257028112"
"data_lipinski","SMILE_RFC_FP","30","cdk_fp","500","1000","0.5463448015020584","0.6046626984126984","0.5589700996677742","0.47540160642570284"
"data_lipinski","SMILE_RFC_FP","40","cdk_fp","500","1000","0.5305288614776567","0.642361111111111","0.38095238095238093","0.568273092369478"
"data_lipinski","SMILE_RFC_FP","50","cdk_fp","500","1000","0.6048599158538918","0.6517857142857144","0.5714285714285714","0.5913654618473894"
"data_lipinski","SMILE_RFC_FP","60","cdk_fp","500","1000","0.566913556774162","0.5684523809523809","0.540420819490587","0.591867469879518"
"data_lipinski","SMILE_RFC_FP","70","cdk_fp","500","1000","0.5851342338716253","0.6254960317460317","0.606312292358804","0.5235943775100401"
"data_lipinski","SMILE_RFC_FP","30","rdkit_fp","1000","1000","0.5565043488831665","0.6329365079365079","0.501937984496124","0.5346385542168675"
"data_lipinski","SMILE_RFC_FP","40","rdkit_fp","1000","1000","0.5368128568167094","0.5858134920634921","0.4357696566998892","0.588855421686747"
"data_lipinski","SMILE_RFC_FP","50","rdkit_fp","1000","1000","0.5558097561897646","0.6502976190476191","0.4307862679955704","0.5863453815261043"
"data_lipinski","SMILE_RFC_FP","60","rdkit_fp","1000","1000","0.5635782795263743","0.6274801587301588","0.5376522702104097","0.5256024096385542"
"data_lipinski","SMILE_RFC_FP","70","rdkit_fp","1000","1000","0.5648908850611009","0.7132936507936508","0.44573643410852715","0.5356425702811244"
"data_lipinski","SMILE_RFC_FP","30","cdk_fp","1000","1000","0.5622874017294723","0.5977182539682541","0.5138427464008859","0.575301204819277"
"data_lipinski","SMILE_RFC_FP","40","cdk_fp","1000","1000","0.5915794962796924","0.6785714285714286","0.5675526024363233","0.5286144578313253"
"data_lipinski","SMILE_RFC_FP","50","cdk_fp","1000","1000","0.6024493878059302","0.6636904761904763","0.5492801771871539","0.5943775100401605"
"data_lipinski","SMILE_RFC_FP","60","cdk_fp","1000","1000","0.5598590838066181","0.603670634920635","0.5011074197120708","0.5747991967871485"
"data_lipinski","SMILE_RFC_FP","70","cdk_fp","1000","1000","0.5682206493007839","0.6924603174603174","0.46400885935769665","0.5481927710843374"
"data_lipinski","SMILE_RFC_FP","30","rdkit_fp","2000","1000","0.5963975410686674","0.6661706349206349","0.5110741971207087","0.6119477911646587"
"data_lipinski","SMILE_RFC_FP","40","rdkit_fp","2000","1000","0.5958312763790489","0.6190476190476191","0.5916389811738649","0.5768072289156626"
"data_lipinski","SMILE_RFC_FP","50","rdkit_fp","2000","1000","0.590411433478469","0.7237103174603174","0.48477297895902544","0.5627510040160643"
"data_lipinski","SMILE_RFC_FP","60","rdkit_fp","2000","1000","0.585798157561957","0.6626984126984128","0.5249169435215947","0.5697791164658634"
"data_lipinski","SMILE_RFC_FP","70","rdkit_fp","2000","1000","0.6461974698350433","0.7589285714285714","0.5908084163898117","0.588855421686747"
"data_lipinski","SMILE_RFC_FP","30","cdk_fp","2000","1000","0.5670625469763884","0.6398809523809523","0.5598006644518273","0.5015060240963856"
"data_lipinski","SMILE_RFC_FP","40","cdk_fp","2000","1000","0.582758312689666","0.638888888888889","0.582779623477298","0.5266064257028111"
"data_lipinski","SMILE_RFC_FP","50","cdk_fp","2000","1000","0.5787466032457628","0.6160714285714286","0.5880398671096346","0.5321285140562249"
"data_lipinski","SMILE_RFC_FP","60","cdk_fp","2000","1000","0.6082628780163104","0.6448412698412699","0.5750276854928018","0.6049196787148594"
"data_lipinski","SMILE_RFC_FP","70","cdk_fp","2000","1000","0.56266094277442","0.5892857142857143","0.5193798449612403","0.5793172690763052"
"data_lipinski","SMILE_RFC_FP","30","rdkit_fp","500","5000","0.5942503865591565","0.5932539682539684","0.58859357696567","0.6009036144578312"
"data_lipinski","SMILE_RFC_FP","40","rdkit_fp","500","5000","0.5536541700207994","0.6140873015873016","0.5880398671096346","0.4588353413654618"
"data_lipinski","SMILE_RFC_FP","50","rdkit_fp","500","5000","0.5759900065377791","0.6607142857142857","0.5321151716500554","0.535140562248996"
