name,method,feature,elasticNetParam,maxIter,reg,auc,f1,f2,f3
data_herg,LRC,cdk_desc,0.7,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_desc,0.7,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_desc,0.7,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_desc,0.8,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_desc,0.8,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_desc,0.8,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_desc,0.9,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_desc,0.9,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_desc,0.9,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,cdk_desc,0.7,10,0.1,0.8161866069612804,0.813699494949495,0.8305031446540879,0.8043571812802581
data_herg,LRC,cdk_desc,0.7,50,0.1,0.8554511660462314,0.8565656565656568,0.8572327044025156,0.8525551371705218
data_herg,LRC,cdk_desc,0.7,100,0.1,0.8536625441832264,0.8533459595959596,0.8570230607966458,0.8506186121570738
data_herg,LRC,cdk_desc,0.8,10,0.1,0.8152772468084515,0.8131313131313131,0.8287735849056602,0.803926842388381
data_herg,LRC,cdk_desc,0.8,50,0.1,0.8509552373122765,0.8563131313131315,0.8471174004192872,0.849435180204411
data_herg,LRC,cdk_desc,0.8,100,0.1,0.8483048498832242,0.8496212121212122,0.8459119496855346,0.8493813878429262
data_herg,LRC,cdk_desc,0.9,10,0.1,0.8136746944529963,0.8102904040404042,0.82583857442348,0.8048951048951049
data_herg,LRC,cdk_desc,0.9,50,0.1,0.8406496701035888,0.8409722222222223,0.8339622641509432,0.847014523937601
data_herg,LRC,cdk_desc,0.9,100,0.1,0.839347329214891,0.8419823232323232,0.8327568134171908,0.8433028509951586
data_herg,LRC,cdk_desc,0.7,10,0.03,0.828359614435449,0.8249368686868687,0.8488993710691826,0.8112426035502959
data_herg,LRC,cdk_desc,0.7,50,0.03,0.8709357751719871,0.8735479797979797,0.8860587002096438,0.8532006455083379
data_herg,LRC,cdk_desc,0.7,100,0.03,0.8677735920479026,0.8699494949494949,0.8829140461215934,0.8504572350726196
data_herg,LRC,cdk_desc,0.8,10,0.03,0.8274724469209228,0.8267676767676768,0.8479035639412996,0.8077461000537923
data_herg,LRC,cdk_desc,0.8,50,0.03,0.8701733596055077,0.872790404040404,0.8869496855345912,0.8507799892415278
data_herg,LRC,cdk_desc,0.8,100,0.03,0.8675545437065755,0.8692550505050504,0.8814989517819707,0.8519096288327056
data_herg,LRC,cdk_desc,0.9,10,0.03,0.8247410655248101,0.8239898989898989,0.8452306079664571,0.8050026896180741
data_herg,LRC,cdk_desc,0.9,50,0.03,0.8671524166716474,0.8705176767676768,0.8833333333333334,0.8476062399139321
data_herg,LRC,cdk_desc,0.9,100,0.03,0.865597543482159,0.8655303030303031,0.8833333333333333,0.8479289940828403
data_herg,LRC,cdk_desc,0.7,10,0.01,0.8382962636863216,0.8371843434343434,0.8499475890985325,0.8277568585260893
data_herg,LRC,cdk_desc,0.7,50,0.01,0.8687492223413847,0.8790404040404038,0.8820754716981133,0.8451317912856373
data_herg,LRC,cdk_desc,0.7,100,0.01,0.8639334080825372,0.8743055555555556,0.8730083857442348,0.8444862829478212
data_herg,LRC,cdk_desc,0.8,10,0.01,0.8376210704040893,0.8362373737373737,0.8500524109014675,0.8265734265734266
data_herg,LRC,cdk_desc,0.8,50,0.01,0.8681256810973792,0.873611111111111,0.8797169811320755,0.8510489510489511
data_herg,LRC,cdk_desc,0.8,100,0.01,0.8648829950353898,0.8747474747474746,0.8735324947589098,0.8463690155997848
data_herg,LRC,cdk_desc,0.9,10,0.01,0.8372199700664866,0.8357954545454546,0.8503668763102725,0.825497579343733
data_herg,LRC,cdk_desc,0.9,50,0.01,0.8669350223232659,0.8743686868686867,0.8786687631027255,0.8477676169983861
data_herg,LRC,cdk_desc,0.9,100,0.01,0.8668585181012611,0.8767045454545455,0.8759958071278827,0.8478752017213556
data_herg,LRC,rdkit_desc,0.7,10,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,rdkit_desc,0.7,50,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,rdkit_desc,0.7,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC,rdkit_desc,0.8,10,1.0,0.5,0.5,0.5,0.5
