name,method,feature,maxIter,reg,auc,f1,f2,f3
data_tuberculosis,SVC_DESCS,cdk_desc,10,1.0,0.6065878186942391,0.6110094927107594,0.6111698009077354,0.5975841624642223
data_tuberculosis,SVC_DESCS,cdk_desc,10,0.1,0.6054061324505358,0.5980691533829107,0.6012656403159776,0.6168836036527191
data_tuberculosis,SVC_DESCS,cdk_desc,10,0.03,0.6189695779617503,0.6055908552170621,0.6301966211151472,0.6211212575530417
data_tuberculosis,SVC_DESCS,cdk_desc,10,0.01,0.6200327973677215,0.6072922964764125,0.6346333638108418,0.6181727318159103
data_tuberculosis,SVC_DESCS,cdk_desc,50,1.0,0.611335100002714,0.6033077153103522,0.6269017553397418,0.6037958293580481
data_tuberculosis,SVC_DESCS,cdk_desc,50,0.1,0.6012573701940533,0.607743031075586,0.602339560629649,0.5936895188769251
data_tuberculosis,SVC_DESCS,cdk_desc,50,0.03,0.6004755233510239,0.6085539168072711,0.588811047684945,0.6040616055608559
data_tuberculosis,SVC_DESCS,cdk_desc,50,0.01,0.5936839311467457,0.6066560294756419,0.5761721484996005,0.5982236154649948
data_tuberculosis,SVC_DESCS,cdk_desc,100,1.0,0.6125147532122608,0.6131605772022151,0.6195645011161357,0.6048191813184318
data_tuberculosis,SVC_DESCS,cdk_desc,100,0.1,0.5998322510791072,0.602276373430887,0.5823119249429577,0.6149084548634772
data_tuberculosis,SVC_DESCS,cdk_desc,100,0.03,0.5991995767324451,0.6074057986515068,0.5966919547614931,0.5935009767843352
data_tuberculosis,SVC_DESCS,cdk_desc,100,0.01,0.5936162032466262,0.5972167957026331,0.5833796673833,0.6002521466539458
data_tuberculosis,SVC_DESCS,rdkit_desc,10,1.0,0.5855945855419239,0.6024237079850964,0.5734260838049112,0.580933964835764
data_tuberculosis,SVC_DESCS,rdkit_desc,10,0.1,0.590369503031225,0.5922663546812007,0.5869988715084722,0.5918432829040026
data_tuberculosis,SVC_DESCS,rdkit_desc,10,0.03,0.5767724058877823,0.5764011516105305,0.5609591354272206,0.5929569306255963
data_tuberculosis,SVC_DESCS,rdkit_desc,10,0.01,0.5824299524801575,0.5913266876354659,0.5592200640851392,0.5967431057198674
data_tuberculosis,SVC_DESCS,rdkit_desc,50,1.0,0.5899115623225694,0.6081522937261672,0.5943052363654334,0.5672771568761075
data_tuberculosis,SVC_DESCS,rdkit_desc,50,0.1,0.5900334537028834,0.5970334460351726,0.5915241637218805,0.581542751351597
data_tuberculosis,SVC_DESCS,rdkit_desc,50,0.03,0.5839790086307572,0.6029104576975212,0.5694578298366569,0.5795687383580936
data_tuberculosis,SVC_DESCS,rdkit_desc,50,0.01,0.5815615433688961,0.5847119118350028,0.5815829358901492,0.5783897823815365
data_tuberculosis,SVC_DESCS,rdkit_desc,100,1.0,0.5858337114572911,0.5812369990897999,0.593816154726897,0.5824479805551769
data_tuberculosis,SVC_DESCS,rdkit_desc,100,0.1,0.5884621111517423,0.5953298220416858,0.5846327460235088,0.5854237653900323
data_tuberculosis,SVC_DESCS,rdkit_desc,100,0.03,0.5870126647212828,0.5981444577106176,0.5841652869416232,0.5787282495116077
data_tuberculosis,SVC_DESCS,rdkit_desc,100,0.01,0.5839164562680648,0.5846715312534785,0.581162840503785,0.5859149970469312
data_solubility,SVC_DESCS,cdk_desc,10,1.0,0.9674768189192431,0.9747222222222223,0.9699472455245178,0.9577609890109889
data_solubility,SVC_DESCS,cdk_desc,10,0.1,0.9645175358665431,0.9679166666666666,0.9674824872437948,0.9581534536891679
data_solubility,SVC_DESCS,cdk_desc,10,0.03,0.9615856720218539,0.96125,0.9639799360027674,0.9595270800627942
data_solubility,SVC_DESCS,cdk_desc,10,0.01,0.9599942907508912,0.9545833333333333,0.9644988324829196,0.9609007064364208
data_solubility,SVC_DESCS,cdk_desc,50,1.0,0.9705032077391805,0.9729861111111111,0.9705093833780161,0.9680141287284144
data_solubility,SVC_DESCS,cdk_desc,50,0.1,0.9720643281978854,0.9701388888888888,0.9772550376199948,0.9687990580847723
data_solubility,SVC_DESCS,cdk_desc,50,0.03,0.9706924355710199,0.9680555555555554,0.9752226930727319,0.9687990580847724
data_solubility,SVC_DESCS,cdk_desc,50,0.01,0.9652064471361552,0.9644444444444444,0.9718931073250886,0.9592817896389325
data_solubility,SVC_DESCS,cdk_desc,100,1.0,0.9703566819326137,0.9724999999999999,0.9701634523912479,0.9684065934065934
data_solubility,SVC_DESCS,cdk_desc,100,0.1,0.972386619225281,0.9713194444444445,0.9773847617400327,0.9684556514913657
data_solubility,SVC_DESCS,cdk_desc,100,0.03,0.9709640477635375,0.9681944444444444,0.9745740724725417,0.9701236263736264
data_solubility,SVC_DESCS,cdk_desc,100,0.01,0.9655848525570994,0.9631249999999999,0.972974141658739,0.9606554160125589
data_solubility,SVC_DESCS,rdkit_desc,10,1.0,0.9696995627708584,0.9661111111111111,0.9679581423506011,0.9750294348508635
data_solubility,SVC_DESCS,rdkit_desc,10,0.1,0.9655577189787371,0.9599305555555555,0.9625962120556949,0.9741463893249607
data_solubility,SVC_DESCS,rdkit_desc,10,0.03,0.9679640030664541,0.9577777777777778,0.9611260053619303,0.9849882260596545
data_solubility,SVC_DESCS,rdkit_desc,10,0.01,0.9695617178792963,0.961875,0.9606935916284701,0.9861165620094191
data_solubility,SVC_DESCS,rdkit_desc,50,1.0,0.9732427734894423,0.9704861111111112,0.9696013145377497,0.9796408948194663
data_solubility,SVC_DESCS,rdkit_desc,50,0.1,0.9795277926189794,0.9781944444444444,0.9760875205396524,0.9843014128728413
data_solubility,SVC_DESCS,rdkit_desc,50,0.03,0.9780460309227635,0.975625,0.9761740032863443,0.9823390894819466
data_solubility,SVC_DESCS,rdkit_desc,50,0.01,0.9765175562175692,0.9752777777777777,0.975222693072732,0.9790521978021978
data_solubility,SVC_DESCS,rdkit_desc,100,1.0,0.9733237140793956,0.9706250000000001,0.9695580731644038,0.9797880690737832
data_solubility,SVC_DESCS,rdkit_desc,100,0.1,0.9795232292040383,0.9784027777777777,0.9759145550462685,0.984252354788069
data_solubility,SVC_DESCS,rdkit_desc,100,0.03,0.977921730261907,0.9755555555555555,0.9766064170198046,0.9816032182103611
data_solubility,SVC_DESCS,rdkit_desc,100,0.01,0.9754508210787322,0.9722222222222222,0.9755686240595002,0.9785616169544741
data_lipinski,SVC_DESCS,cdk_desc,10,1.0,0.6932696190604388,0.6933638443935927,0.6747058823529412,0.7117391304347825
data_lipinski,SVC_DESCS,cdk_desc,10,0.1,0.7219239915645892,0.7122425629290619,0.723529411764706,0.73
data_lipinski,SVC_DESCS,cdk_desc,10,0.03,0.7119325167137793,0.7013729977116705,0.7252941176470589,0.7091304347826086
data_lipinski,SVC_DESCS,cdk_desc,10,0.01,0.7107856598016782,0.6819221967963387,0.7300000000000001,0.7204347826086955
data_lipinski,SVC_DESCS,cdk_desc,50,1.0,0.6916866334634539,0.6876430205949657,0.7017647058823528,0.6856521739130435
data_lipinski,SVC_DESCS,cdk_desc,50,0.1,0.6993305514425449,0.6979405034324943,0.7235294117647059,0.6765217391304347
data_lipinski,SVC_DESCS,cdk_desc,50,0.03,0.6788746803069052,0.6630434782608696,0.7170588235294117,0.6565217391304347
data_lipinski,SVC_DESCS,cdk_desc,50,0.01,0.6704913178085881,0.6624713958810069,0.7111764705882353,0.6378260869565219
data_lipinski,SVC_DESCS,cdk_desc,100,1.0,0.6911733297437967,0.6842105263157894,0.7023529411764706,0.6869565217391304
