name,method,feature,nfolds,maxIter,reg,auc,f1,f2,f3
data_tuberculosis,SVC,cdk_fp,1000,10,1.0,0.6409217752871816,0.6360459989391911,0.6346987463035726,0.6520205806187815
data_tuberculosis,SVC,cdk_fp,1000,10,0.1,0.6444529334317117,0.6409615162144406,0.6371544509518045,0.6552428331288902
data_tuberculosis,SVC,cdk_fp,1000,10,0.03,0.6447071027075759,0.6428757740520932,0.6372100518117642,0.6540354822588705
data_tuberculosis,SVC,cdk_fp,1000,10,0.01,0.645365703371411,0.6443491195941861,0.6376795701847597,0.6540684203352871
data_tuberculosis,SVC,cdk_fp,1500,10,1.0,0.6516896686175504,0.6489044857369237,0.64646141712177,0.6597031029939576
data_tuberculosis,SVC,cdk_fp,1500,10,0.1,0.6560380219894715,0.6535766281559608,0.6555521577252247,0.6589852800872291
data_tuberculosis,SVC,cdk_fp,1500,10,0.03,0.6555923412968735,0.6527646510572074,0.6538697168886582,0.660142655944755
data_tuberculosis,SVC,cdk_fp,1500,10,0.01,0.6573061800698923,0.6540841138426816,0.6590467747382642,0.6587876516287311
data_tuberculosis,SVC,cdk_fp,2000,10,1.0,0.6478599642540965,0.6389053806579199,0.6392106531247683,0.6654638589796014
data_tuberculosis,SVC,cdk_fp,2000,10,0.1,0.6498252438139153,0.6437925223893954,0.6455223803757796,0.6601608286765708
data_tuberculosis,SVC,cdk_fp,2000,10,0.03,0.6494795380400749,0.6441515821548387,0.6430903575753083,0.6611966743900778
data_tuberculosis,SVC,cdk_fp,2000,10,0.01,0.6501881530963699,0.6435993504183211,0.6451187593182922,0.6618463495524964
data_tuberculosis,SVC,rdkit_fp,1000,10,1.0,0.6429358779736396,0.630009647684883,0.6427794046177544,0.6560185816182817
data_tuberculosis,SVC,rdkit_fp,1000,10,0.1,0.6471460998997837,0.6326234718132628,0.6490015527054966,0.6598132751805916
data_tuberculosis,SVC,rdkit_fp,1000,10,0.03,0.6477097470407355,0.6305127679033312,0.6499807456281251,0.6626357275907502
data_tuberculosis,SVC,rdkit_fp,1000,10,0.01,0.6483235803611961,0.632599461737762,0.6499683898814674,0.6624028894643588
data_tuberculosis,SVC,rdkit_fp,1500,10,1.0,0.6489563673712315,0.6411405004136281,0.6423057676625401,0.6634228340375266
data_tuberculosis,SVC,rdkit_fp,1500,10,0.1,0.6508287339412036,0.6444015052134605,0.6441632482434246,0.6639214483667256
data_tuberculosis,SVC,rdkit_fp,1500,10,0.03,0.6500524638810348,0.6473241862221456,0.6405234512071566,0.6623097542138022
data_tuberculosis,SVC,rdkit_fp,1500,10,0.01,0.6499022012572337,0.6468374365097208,0.6419814293127735,0.6608877379492071
data_tuberculosis,SVC,rdkit_fp,2000,10,1.0,0.6602045471776173,0.6474082214863983,0.6649713552606651,0.6682340647857888
data_tuberculosis,SVC,rdkit_fp,2000,10,0.1,0.6602092651174278,0.651254199034795,0.6641857357023419,0.6651878606151469
data_tuberculosis,SVC,rdkit_fp,2000,10,0.03,0.6598574401953852,0.6489066684710603,0.6662285524830931,0.6644370996320023
data_tuberculosis,SVC,rdkit_fp,2000,10,0.01,0.6594238074649774,0.6493770476774617,0.6648900132618348,0.6640043614556357
data_tuberculosis,SVC,cdk_fp,1000,50,1.0,0.6412916122045643,0.6329563387690689,0.6385424131596937,0.6523760846849304
data_tuberculosis,SVC,cdk_fp,1000,50,0.1,0.6457122458932172,0.643916938235172,0.6395432286389733,0.6536765708055062
data_tuberculosis,SVC,cdk_fp,1000,50,0.03,0.6438194081210404,0.6403536247574437,0.6374643742638033,0.6536402253418746
data_tuberculosis,SVC,cdk_fp,1000,50,0.01,0.6416522600860142,0.6395296426209399,0.6386505259429494,0.646776611694153
data_tuberculosis,SVC,cdk_fp,1500,50,1.0,0.6588997533240677,0.6578078582794381,0.6532230994802349,0.66566830221253
data_tuberculosis,SVC,cdk_fp,1500,50,0.1,0.6584614794450343,0.6584528562167542,0.6623838559814171,0.6545477261369316
data_tuberculosis,SVC,cdk_fp,1500,50,0.03,0.6523918816029833,0.6545872340611297,0.6550167420367214,0.647571668711099
