name,method,feature,depth,trees,auc,f1,f2,f3
data_tuberculosis,RFC,cdk_fp,5,10,0.6178372641779772,0.6254489164086688,0.6176803539019963,0.6103825222232667
data_tuberculosis,RFC,rdkit_fp,5,10,0.6074051492577592,0.6007026517700903,0.5973173774954628,0.6241954185077246
data_tuberculosis,RFC,cdk_desc,5,10,0.6703845786446421,0.6586571543949389,0.6685798548094375,0.68391672672955
data_tuberculosis,RFC,rdkit_desc,5,10,0.6497057095590291,0.639928388746803,0.6499954627949184,0.659193277135366
data_tuberculosis,RFC,cdk_fp,5,20,0.629420846246485,0.6342533315385652,0.6260350499092558,0.6279741572916339
data_tuberculosis,RFC,rdkit_fp,5,20,0.6399004081647042,0.6304821644905102,0.6484165154264974,0.6408025445771052
data_tuberculosis,RFC,cdk_desc,5,20,0.6662946645865473,0.6568717189392919,0.6623281533575317,0.6796841214628186
data_tuberculosis,RFC,rdkit_desc,5,20,0.6542695966318833,0.6406811145510838,0.651227881125227,0.6708997942193393
data_tuberculosis,RFC,cdk_fp,5,30,0.6606966882412969,0.6713000403822854,0.6497374092558984,0.661052615085707
data_tuberculosis,RFC,rdkit_fp,5,30,0.6475582641806785,0.6488464127069592,0.6508348457350273,0.642993534100049
data_tuberculosis,RFC,cdk_desc,5,30,0.6733749561263128,0.6619318885448917,0.6709545145190561,0.6872384653149906
data_tuberculosis,RFC,rdkit_desc,5,30,0.6551346679302009,0.6481464530892447,0.6590409482758621,0.6582166024254961
data_tuberculosis,RFC,cdk_fp,5,40,0.6637159166175883,0.6818801992192758,0.6644606397459164,0.6448069108875728
data_tuberculosis,RFC,rdkit_fp,5,40,0.6511333954768646,0.6436123300578813,0.6625737295825772,0.6472141267901353
data_tuberculosis,RFC,cdk_desc,5,40,0.6737114788651395,0.6574489164086688,0.6777506805807622,0.6859348396059877
data_tuberculosis,RFC,rdkit_desc,5,40,0.6600167807661448,0.6464778570467087,0.6606357758620689,0.6729367093896569
data_tuberculosis,RFC,cdk_fp,5,50,0.6585295842342906,0.6507260734957597,0.6616702586206896,0.6631924205864226
data_tuberculosis,RFC,rdkit_fp,5,50,0.6561028412717912,0.6595374882218333,0.6606335072595282,0.6481375283340124
data_tuberculosis,RFC,cdk_desc,5,50,0.6756324827193787,0.6618425090860143,0.6756641333938294,0.6893908056782929
data_tuberculosis,RFC,rdkit_desc,5,50,0.6566820911149359,0.6413773051554719,0.6569941016333939,0.6716748665559422
data_tuberculosis,RFC,cdk_fp,10,10,0.6470506851729773,0.656678960829183,0.6505166742286751,0.6339564204610739
data_tuberculosis,RFC,rdkit_fp,10,10,0.6276170854727973,0.6361900659577333,0.6158280399274048,0.630833150533254
data_tuberculosis,RFC,cdk_desc,10,10,0.6627705446342547,0.6573498452012385,0.676299342105263,0.6546624465962626
data_tuberculosis,RFC,rdkit_desc,10,10,0.6490165878796478,0.6520323058285099,0.6422958257713247,0.6527216320391088
data_tuberculosis,RFC,cdk_fp,10,20,0.6515808536111839,0.6520990712074304,0.6498638838475498,0.6527796057785717
data_tuberculosis,RFC,rdkit_fp,10,20,0.653698283841714,0.6436591735092206,0.6671160390199639,0.6503196389959575
