name,method,feature,depth,bins,auc,f1,f2,f3
data_tuberculosis,DTC,cdk_fp,5,32,0.5994371240497971,0.608408130300175,0.5918205535390201,0.5980826883101961
data_tuberculosis,DTC,cdk_fp,10,32,0.6117304723998347,0.618504240139992,0.6072578266787658,0.6094293503807465
data_tuberculosis,DTC,cdk_fp,15,32,0.6036944348003541,0.5909532911562795,0.5966600499092559,0.623469963335527
data_tuberculosis,DTC,cdk_fp,20,32,0.5844799061564572,0.5846913447301118,0.5833603675136116,0.5853880062256485
data_tuberculosis,DTC,cdk_fp,30,32,0.577118926262021,0.5796430205949656,0.5688912205081669,0.5828225376829307
data_tuberculosis,DTC,cdk_fp,5,64,0.5994371240497971,0.608408130300175,0.5918205535390201,0.5980826883101961
data_tuberculosis,DTC,cdk_fp,10,64,0.6117304723998347,0.618504240139992,0.6072578266787658,0.6094293503807465
data_tuberculosis,DTC,cdk_fp,15,64,0.6036944348003541,0.5909532911562796,0.5966600499092559,0.6234699633355268
data_tuberculosis,DTC,cdk_fp,20,64,0.5844799061564572,0.5846913447301118,0.5833603675136115,0.5853880062256483
data_tuberculosis,DTC,cdk_fp,30,64,0.5771189262620211,0.5796430205949656,0.5688912205081671,0.5828225376829307
data_tuberculosis,DTC,cdk_fp,5,128,0.5994371240497971,0.6084081303001749,0.5918205535390201,0.5980826883101961
data_tuberculosis,DTC,cdk_fp,10,128,0.6117304723998347,0.618504240139992,0.6072578266787658,0.6094293503807464
data_tuberculosis,DTC,cdk_fp,15,128,0.6036944348003541,0.5909532911562796,0.5966600499092559,0.6234699633355267
data_tuberculosis,DTC,cdk_fp,20,128,0.5844799061564572,0.5846913447301118,0.5833603675136115,0.5853880062256485
data_tuberculosis,DTC,cdk_fp,30,128,0.5771189262620211,0.5796430205949658,0.568891220508167,0.5828225376829307
data_tuberculosis,DTC,rdkit_fp,5,32,0.5931595939318081,0.5793834971059361,0.6082889065335754,0.5918063781559129
data_tuberculosis,DTC,rdkit_fp,10,32,0.5802189604684385,0.5629468299905775,0.5834301270417424,0.5942799243729957
data_tuberculosis,DTC,rdkit_fp,15,32,0.5714860729943437,0.53985300848028,0.5867332123411978,0.5878719981615536
data_tuberculosis,DTC,rdkit_fp,20,32,0.5717051413487682,0.5459781935657558,0.5834034709618875,0.5857337595186614
data_tuberculosis,DTC,rdkit_fp,30,32,0.5574867947735215,0.5419044285906582,0.5444623411978221,0.5860936145320841
data_tuberculosis,DTC,rdkit_fp,5,64,0.593159593931808,0.5793834971059361,0.6082889065335754,0.5918063781559127
data_tuberculosis,DTC,rdkit_fp,10,64,0.5802189604684386,0.5629468299905775,0.5834301270417424,0.5942799243729958
data_tuberculosis,DTC,rdkit_fp,15,64,0.5714860729943437,0.53985300848028,0.5867332123411977,0.5878719981615536
data_tuberculosis,DTC,rdkit_fp,20,64,0.5717051413487683,0.5459781935657559,0.5834034709618875,0.5857337595186614
data_tuberculosis,DTC,rdkit_fp,30,64,0.5574867947735216,0.5419044285906582,0.5444623411978222,0.5860936145320842
data_tuberculosis,DTC,rdkit_fp,5,128,0.5931595939318082,0.5793834971059362,0.6082889065335755,0.5918063781559129
data_tuberculosis,DTC,rdkit_fp,10,128,0.5802189604684385,0.5629468299905775,0.5834301270417424,0.5942799243729957
data_tuberculosis,DTC,rdkit_fp,15,128,0.5714860729943437,0.5398530084802801,0.5867332123411978,0.5878719981615536
data_tuberculosis,DTC,rdkit_fp,20,128,0.5717051413487682,0.5459781935657558,0.5834034709618875,0.5857337595186612
data_tuberculosis,DTC,rdkit_fp,30,128,0.5574867947735215,0.5419044285906581,0.5444623411978222,0.5860936145320841
data_tuberculosis,DTC,cdk_desc,5,32,0.6210055755237042,0.6105618522008345,0.6304123185117967,0.6220425558584813
data_tuberculosis,DTC,cdk_desc,10,32,0.6036899500035469,0.6134672230448243,0.6137914019963702,0.5838112249694464
data_tuberculosis,DTC,cdk_desc,15,32,0.5717911603066586,0.5741327231121282,0.5886110480943739,0.5526297097134739
data_tuberculosis,DTC,cdk_desc,20,32,0.5678535276594757,0.5757733207699556,0.5732679219600725,0.5545193402483991
data_tuberculosis,DTC,cdk_desc,30,32,0.5741951241641412,0.5732545430071342,0.5832877722323049,0.5660430572529848
data_tuberculosis,DTC,cdk_desc,5,64,0.6176460456356516,0.60995881006865,0.6289502041742288,0.614029122664076
data_tuberculosis,DTC,cdk_desc,10,64,0.5989773579187794,0.587931619329654,0.6154219600725953,0.593578494354089
data_tuberculosis,DTC,cdk_desc,15,64,0.569147491556291,0.5766251177816666,0.5641407667876588,0.5666765900995476
data_tuberculosis,DTC,cdk_desc,20,64,0.5713880456408548,0.5808453358460088,0.5781868194192378,0.5551319816573177
data_tuberculosis,DTC,cdk_desc,30,64,0.5690473812395683,0.5644528200296137,0.5799058529945553,0.5627834706945359
data_tuberculosis,DTC,cdk_desc,5,128,0.61850403299728,0.6141714901063401,0.6309006352087113,0.6104399736767886
data_tuberculosis,DTC,cdk_desc,10,128,0.5926488857624228,0.5790690537084399,0.6068466424682396,0.592030961110589
data_tuberculosis,DTC,cdk_desc,15,128,0.5538012191636992,0.564836182527931,0.5524223003629765,0.5441451746001902
data_tuberculosis,DTC,cdk_desc,20,128,0.5525699078111621,0.5568765648135684,0.5556992967332123,0.5451338618867058
data_tuberculosis,DTC,cdk_desc,30,128,0.5611402566951362,0.5526671153587294,0.5704990925589838,0.5602545621676954
data_tuberculosis,DTC,rdkit_desc,5,32,0.6117869004467326,0.5794368017229775,0.6315545598911071,0.6243693397261132
