name,method,feature,smoothing,auc,f1,f2,f3
data_tuberculosis,NB_MN,cdk_ecfp,0.2,0.7131931850477127,0.7022974368153037,0.7187095864119736,0.7185725319158605
data_tuberculosis,NB_MN,rdkit_ecfp,0.2,0.7091121605805998,0.7000912382869031,0.7153148450177512,0.7119303984371453
data_tuberculosis,NB_MN,cdk_fcfp,0.2,0.7142392647322313,0.704206237817615,0.7211174125419066,0.7173941438371723
data_tuberculosis,NB_MN,rdkit_fcfp,0.2,0.7075249256887706,0.6932456383515118,0.713362122223046,0.7159670164917544
data_tuberculosis,NB_MN,cdk_ecfp,1.0,0.7056976523545115,0.6938278826824057,0.7112142815957034,0.7120507927854256
data_tuberculosis,NB_MN,rdkit_ecfp,1.0,0.7014734447660939,0.6907665980560569,0.7070576024909186,0.7065961337513063
data_tuberculosis,NB_MN,cdk_fcfp,1.0,0.7050135563439133,0.696978113724814,0.7125749581963905,0.7054875971105357
data_tuberculosis,NB_MN,rdkit_fcfp,1.0,0.6996728816327238,0.6859913214490735,0.7072671353613232,0.7057601880877745
data_tuberculosis,NB_MN,cdk_ecfp,5.0,0.6614211603090804,0.6472537930462455,0.66013562491248,0.6768740629685157
data_tuberculosis,NB_MN,rdkit_ecfp,5.0,0.6580949229405602,0.6442568990769217,0.6570075617169545,0.6730203080278042
data_tuberculosis,NB_MN,cdk_fcfp,5.0,0.6633355688952162,0.6513316860966385,0.6639725990724954,0.6747024215165147
data_tuberculosis,NB_MN,rdkit_fcfp,5.0,0.6642054507616373,0.6473994905498528,0.6665539204784146,0.6786629412566446
data_tuberculosis,NB_MN,cdk_ecfp,10.0,0.6386739543822257,0.6246548551646764,0.6351008228927272,0.6562661850892737
data_tuberculosis,NB_MN,rdkit_ecfp,10.0,0.6364342523016698,0.6225812577350641,0.6332289272740752,0.6534925718958703
data_tuberculosis,NB_MN,cdk_fcfp,10.0,0.639602112156239,0.6270302155886509,0.6368558537409083,0.6549202671391576
data_tuberculosis,NB_MN,rdkit_fcfp,10.0,0.6433539234969907,0.6258406254842942,0.6432777530662847,0.6609433919403935
data_tuberculosis,NB_MN,cdk_ecfp,25.0,0.6137194300520774,0.6004330544526686,0.6089797448126457,0.631745490890918
data_tuberculosis,NB_MN,rdkit_ecfp,25.0,0.6132365828031765,0.6000205177008825,0.6090363753181605,0.6306528553904865
data_tuberculosis,NB_MN,cdk_fcfp,25.0,0.6126192021706325,0.5995790597217886,0.6081277131160369,0.630150833674072
data_tuberculosis,NB_MN,rdkit_fcfp,25.0,0.6183500030805423,0.6013034196895717,0.617066066177379,0.6366805233746764
data_solubility,NB_MN,cdk_ecfp,0.2,0.812906506083977,0.8243928856458784,0.8568201754385966,0.7575064571674559
data_solubility,NB_MN,rdkit_ecfp,0.2,0.8153352474037809,0.8257610306692509,0.853859649122807,0.7663850624192853
data_solubility,NB_MN,cdk_fcfp,0.2,0.7906756666565387,0.7815243415802074,0.8532017543859648,0.7373009040034438
data_solubility,NB_MN,rdkit_fcfp,0.2,0.7790153163818949,0.7694960665830579,0.8385087719298245,0.7290411106328024
data_solubility,NB_MN,cdk_ecfp,1.0,0.7762840955297525,0.7640234864895679,0.8304605263157894,0.7343682737839001
data_solubility,NB_MN,rdkit_ecfp,1.0,0.7777647145581648,0.7680994185383652,0.8281359649122807,0.7370587602238485
data_solubility,NB_MN,cdk_fcfp,1.0,0.7585221407870153,0.7318150723976742,0.8275438596491228,0.7162074903142488
data_solubility,NB_MN,rdkit_fcfp,1.0,0.7501618698164011,0.7303044122677005,0.8111842105263158,0.7089969866551873
data_solubility,NB_MN,cdk_ecfp,5.0,0.6874208746536805,0.643085167027705,0.7281798245614036,0.6909976323719329
data_solubility,NB_MN,rdkit_ecfp,5.0,0.6853473541233109,0.6459639721810512,0.7206140350877193,0.6894640551011623
data_solubility,NB_MN,cdk_fcfp,5.0,0.7051811882241035,0.6738684300535857,0.7616008771929825,0.6800742574257426
data_solubility,NB_MN,rdkit_fcfp,5.0,0.6988686638698036,0.6772602895906966,0.7515131578947368,0.6678325441239776
data_solubility,NB_MN,cdk_ecfp,10.0,0.6266881383199039,0.5728537224945844,0.6517543859649122,0.6554563065002154
data_solubility,NB_MN,rdkit_ecfp,10.0,0.6192879551431333,0.568093717934101,0.6392105263157896,0.6505596211795093
data_solubility,NB_MN,cdk_fcfp,10.0,0.6810511737504328,0.6555979933872991,0.7259649122807017,0.6615906155832975
data_solubility,NB_MN,rdkit_fcfp,10.0,0.6590415355070829,0.636614981188006,0.695438596491228,0.6450710288420146
data_solubility,NB_MN,cdk_ecfp,25.0,0.5275066894929865,0.4625470299851785,0.5394736842105264,0.5804993542832545
data_solubility,NB_MN,rdkit_ecfp,25.0,0.5241630069434655,0.46422870824307383,0.5360745614035087,0.572185751183814
data_solubility,NB_MN,cdk_fcfp,25.0,0.6148736240090811,0.5920647588644397,0.6314035087719299,0.6211526043908739
data_solubility,NB_MN,rdkit_fcfp,25.0,0.5791333056526404,0.5581461634933302,0.5821271929824561,0.5971265604821352
data_lipinski,NB_MN,cdk_ecfp,0.2,0.7268581756900098,0.741891891891892,0.7867177522349937,0.6519648829431438
data_lipinski,NB_MN,rdkit_ecfp,0.2,0.7218931594493814,0.7351351351351353,0.7758620689655172,0.6546822742474915
data_lipinski,NB_MN,cdk_fcfp,0.2,0.6896939496102414,0.7545945945945949,0.7151979565772668,0.599289297658863
data_lipinski,NB_MN,rdkit_fcfp,0.2,0.7359146817405187,0.7497297297297297,0.8039591315453384,0.6540551839464883
