"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxNodes [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SMILE_RFC_DESC","30","rdkit_desc","1000","0.5802924750355446","0.6106951871657753","0.5655270655270654","0.5646551724137931"
"data_lipinski","SMILE_RFC_DESC","40","rdkit_desc","1000","0.5686024615706833","0.5989304812834225","0.5356125356125355","0.5712643678160919"
"data_lipinski","SMILE_RFC_DESC","50","rdkit_desc","1000","0.5769907602226736","0.5946524064171124","0.5868945868945868","0.5494252873563218"
"data_lipinski","SMILE_RFC_DESC","60","rdkit_desc","1000","0.5782789348148826","0.5850267379679144","0.5664767331433999","0.5833333333333334"
"data_lipinski","SMILE_RFC_DESC","70","rdkit_desc","1000","0.5914179502414797","0.6016042780748664","0.5726495726495726","0.6000000000000001"
"data_lipinski","SMILE_RFC_DESC","30","cdk_desc","1000","0.6561020303413813","0.6689839572192513","0.6452991452991452","0.6540229885057472"
"data_lipinski","SMILE_RFC_DESC","40","cdk_desc","1000","0.6207346839756126","0.6486631016042782","0.6514719848053182","0.5620689655172414"
"data_lipinski","SMILE_RFC_DESC","50","cdk_desc","1000","0.638143464895775","0.6903743315508022","0.6206077872744539","0.603448275862069"
"data_lipinski","SMILE_RFC_DESC","60","cdk_desc","1000","0.6420091386172072","0.7080213903743315","0.6001899335232668","0.6178160919540231"
"data_lipinski","SMILE_RFC_DESC","70","cdk_desc","1000","0.6374452761989385","0.7080213903743314","0.6106362773029439","0.5936781609195403"
"data_lipinski","SMILE_RFC_DESC","30","rdkit_desc","5000","0.5593092643464516","0.5898395721925134","0.5484330484330485","0.539655172413793"
"data_lipinski","SMILE_RFC_DESC","40","rdkit_desc","5000","0.5735362939216895","0.5657754010695186","0.5726495726495725","0.5821839080459771"
"data_lipinski","SMILE_RFC_DESC","50","rdkit_desc","5000","0.595000390222387","0.5925133689839571","0.5603038936372269","0.6321839080459771"
"data_lipinski","SMILE_RFC_DESC","60","rdkit_desc","5000","0.5839702539048944","0.6106951871657754","0.5745489078822412","0.5666666666666667"
"data_lipinski","SMILE_RFC_DESC","70","rdkit_desc","5000","0.5768574658590434","0.6069518716577541","0.5489078822412155","0.5747126436781609"
"data_lipinski","SMILE_RFC_DESC","30","cdk_desc","5000","0.6379504288564465","0.632620320855615","0.643874643874644","0.6373563218390804"
"data_lipinski","SMILE_RFC_DESC","40","cdk_desc","5000","0.6025966833607131","0.6524064171122994","0.5754985754985755","0.5798850574712644"
"data_lipinski","SMILE_RFC_DESC","50","cdk_desc","5000","0.6442455594472724","0.7005347593582888","0.6201329534662867","0.6120689655172414"
"data_lipinski","SMILE_RFC_DESC","60","cdk_desc","5000","0.610692502015468","0.6919786096256684","0.6263057929724596","0.5137931034482759"
"data_lipinski","SMILE_RFC_DESC","70","cdk_desc","5000","0.6591553439423622","0.6978609625668448","0.6324786324786323","0.6471264367816092"
"data_lipinski","SMILE_RFC_DESC","30","rdkit_desc","10000","0.6267546713005356","0.6780748663101603","0.6016144349477683","0.6005747126436782"
"data_lipinski","SMILE_RFC_DESC","40","rdkit_desc","10000","0.5764514273529374","0.5828877005347595","0.5987654320987654","0.5477011494252874"
"data_lipinski","SMILE_RFC_DESC","50","rdkit_desc","10000","0.589618995850684","0.6417112299465242","0.5622032288698955","0.5649425287356322"
"data_lipinski","SMILE_RFC_DESC","60","rdkit_desc","10000","0.577562822739744","0.6224598930481283","0.5579297245963912","0.5522988505747126"
"data_lipinski","SMILE_RFC_DESC","70","rdkit_desc","10000","0.5852144358116862","0.6032085561497326","0.5731244064577398","0.5793103448275863"
"data_lipinski","SMILE_RFC_DESC","30","cdk_desc","10000","0.618447540072512","0.7240641711229947","0.6272554605887941","0.5040229885057472"
"data_lipinski","SMILE_RFC_DESC","40","cdk_desc","10000","0.6449795627956547","0.6727272727272727","0.6168091168091168","0.6454022988505748"
"data_lipinski","SMILE_RFC_DESC","50","cdk_desc","10000","0.6202187673677418","0.6850267379679144","0.6158594491927825","0.5597701149425288"
"data_lipinski","SMILE_RFC_DESC","60","cdk_desc","10000","0.6403177536826399","0.7026737967914438","0.590693257359924","0.6275862068965519"
"data_lipinski","SMILE_RFC_DESC","70","cdk_desc","10000","0.6460680439269576","0.7042780748663101","0.6201329534662867","0.6137931034482759"
"data_solubility","SMILE_RFC_DESC","30","rdkit_desc","1000","0.980913549974983","0.9807607739665786","0.9816433566433567","0.9803365193150139"
"data_solubility","SMILE_RFC_DESC","40","rdkit_desc","1000","0.9806155136032327","0.9835092348284961","0.9782496914849855","0.9800876144962166"
"data_solubility","SMILE_RFC_DESC","50","rdkit_desc","1000","0.9834614689148965","0.9844986807387862","0.9823632250102838","0.9835225009956193"
"data_solubility","SMILE_RFC_DESC","60","rdkit_desc","1000","0.9834397453913084","0.9838115655233068","0.9831345125462773","0.9833731581043409"
