"NAME [String]","METHOD [String]","lambda [Double]","elasticNetParam [Double]","featuresColumn [String]","scalerType [String]","maxIter [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Caco2","LR_EL_DESC","1.0","0.0","rdkit_desc","MaxMin","10","0.5590607004018344","0.6337505931945127","0.5360861694986138","0.5073453385123767"
"Caco2","LR_EL_DESC","0.1","0.0","rdkit_desc","MaxMin","10","0.5965076180524627","0.6993726653275544","0.5599029755064111","0.5302472133234224"
"Caco2","LR_EL_DESC","0.05","0.0","rdkit_desc","MaxMin","10","0.6385333766193041","0.7564460955173248","0.6241960088817309","0.5349580254588568"
"Caco2","LR_EL_DESC","0.01","0.0","rdkit_desc","MaxMin","10","0.7778072400401549","0.9029877758229095","0.8355048728314431","0.5949290714661121"
"Caco2","LR_EL_DESC","0.005","0.0","rdkit_desc","MaxMin","10","0.8584628697659991","0.9500234656319583","0.9528706718436636","0.6724944718223751"
"Caco2","LR_EL_DESC","1.0","0.25","rdkit_desc","MaxMin","10","0.6326928900142602","0.750647102459565","0.5762793602861439","0.5711522072970717"
"Caco2","LR_EL_DESC","0.1","0.25","rdkit_desc","MaxMin","10","0.5513480712837824","0.6023527765873672","0.5276376050855436","0.5240538321784363"
"Caco2","LR_EL_DESC","0.05","0.25","rdkit_desc","MaxMin","10","0.5543854239921909","0.6147964370160602","0.5141397428447262","0.5342200921157861"
"Caco2","LR_EL_DESC","0.01","0.25","rdkit_desc","MaxMin","10","0.5978911554775795","0.6462572571526483","0.5855690449745403","0.5618471643055504"
"Caco2","LR_EL_DESC","0.005","0.25","rdkit_desc","MaxMin","10","0.6127002608135274","0.6717614920099452","0.6000486079599875","0.5662906824706494"
"Caco2","LR_EL_DESC","1.0","0.5","rdkit_desc","MaxMin","10","0.7503259909628026","0.894686968676971","0.6706904535888726","0.6856005506225642"
"Caco2","LR_EL_DESC","0.1","0.5","rdkit_desc","MaxMin","10","0.5512762458906635","0.5828775423204747","0.5581323815324613","0.5128188138190545"
"Caco2","LR_EL_DESC","0.05","0.5","rdkit_desc","MaxMin","10","0.5520021675754871","0.6022327401840692","0.5325189560439282","0.5212548064984639"
"Caco2","LR_EL_DESC","0.01","0.5","rdkit_desc","MaxMin","10","0.5813096790787508","0.6324331155501498","0.5470951269919593","0.5644007946941432"
"Caco2","LR_EL_DESC","0.005","0.5","rdkit_desc","MaxMin","10","0.599964439518803","0.6476546280068614","0.588664095449668","0.5635745950998796"
"Caco2","LR_EL_DESC","1.0","0.75","rdkit_desc","MaxMin","10","0.7721247569330947","0.894686968676971","0.7004184738791464","0.7212688282431668"
