"NAME [String]","METHOD [String]","C [Double]","coef0 [Double]","featuresColumn [String]","degree [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Caco2","SVR_TAN","0.001","0.0","rdkit_fp","2","0.8566695515362738","0.9190441872559214","0.8103556711374582","0.8406087962154417"
"Caco2","SVR_TAN","0.01","0.0","rdkit_fp","2","0.8547790804538637","0.9142767507585198","0.8106712035738253","0.8393892870292463"
"Caco2","SVR_TAN","0.1","0.0","rdkit_fp","2","0.8244226415111416","0.871420414632463","0.776568262722356","0.8252792471786055"
"Caco2","SVR_TAN","1.0","0.0","rdkit_fp","2","0.6741752821207778","0.6786983977895225","0.6322463273173622","0.7115811212554488"
"Caco2","SVR_TAN","10.0","0.0","rdkit_fp","2","0.6509330535810887","0.6384227588835909","0.6164409294434927","0.6979354724161824"
"Caco2","SVR_TAN","0.001","1.0","rdkit_fp","2","0.8563395073014419","0.9181657960111433","0.8105375147148466","0.8403152111783359"
"Caco2","SVR_TAN","0.01","1.0","rdkit_fp","2","0.850262453912927","0.9025001248092367","0.8069452099220974","0.8413420270074469"
"Caco2","SVR_TAN","0.1","1.0","rdkit_fp","2","0.773902293351345","0.8088126929445869","0.7185545925128338","0.7943395945966142"
"Caco2","SVR_TAN","1.0","1.0","rdkit_fp","2","0.6346388683857438","0.6165205542267967","0.6130746451869505","0.6743214057434841"
"Caco2","SVR_TAN","10.0","1.0","rdkit_fp","2","0.6394049730805641","0.6250838468002775","0.6141243401415641","0.6790067322998506"
"Caco2","SVR_TAN","0.001","2.0","rdkit_fp","2","0.8560153363587388","0.917289217271104","0.8107237386119039","0.8400330531932086"
"Caco2","SVR_TAN","0.01","2.0","rdkit_fp","2","0.843872331126117","0.8911426160181913","0.8019929753473192","0.8384814020128405"
"Caco2","SVR_TAN","0.1","2.0","rdkit_fp","2","0.7380596183162669","0.7630122692769458","0.6864808406058432","0.7646857450660116"
"Caco2","SVR_TAN","1.0","2.0","rdkit_fp","2","0.6382027450446536","0.6224181762387131","0.615448665106635","0.6767413937886125"
"Caco2","SVR_TAN","10.0","2.0","rdkit_fp","2","0.6380491354211802","0.6224181762387131","0.615382493024388","0.6763467370004398"
"Caco2","SVR_TAN","0.001","3.0","rdkit_fp","2","0.855718567401882","0.9164144574135926","0.8109143406770849","0.8398269041149687"
"Caco2","SVR_TAN","0.01","3.0","rdkit_fp","2","0.8384872094155621","0.8826706869754476","0.7959163177362695","0.8368746235349693"
"Caco2","SVR_TAN","0.1","3.0","rdkit_fp","2","0.7111418063096089","0.7335042167959862","0.6666345782784784","0.733286623854362"
"Caco2","SVR_TAN","1.0","3.0","rdkit_fp","2","0.6381694429179902","0.6219369600770905","0.6159238450508598","0.6766475236260198"
"Caco2","SVR_TAN","10.0","3.0","rdkit_fp","2","0.6374403757739006","0.6219369600770905","0.6156885656699026","0.6746956015747086"
"Caco2","SVR_TAN","0.001","0.0","cdk_fp","2","0.8566071387542488","0.9190087636625489","0.8103543204249101","0.840458332175287"
"Caco2","SVR_TAN","0.01","0.0","cdk_fp","2","0.8541167059906335","0.91392410888483","0.810649951675356","0.8377760574117147"
"Caco2","SVR_TAN","0.1","0.0","cdk_fp","2","0.8133549044008966","0.8642652811255498","0.761890198605744","0.8139092334713959"
"Caco2","SVR_TAN","1.0","0.0","cdk_fp","2","0.6536529084975965","0.6526183045231526","0.6267094282500433","0.6816309927195938"
"Caco2","SVR_TAN","10.0","0.0","cdk_fp","2","0.6327246461568845","0.6192159668788031","0.6049435187198773","0.6740144528719731"
"Caco2","SVR_TAN","0.001","1.0","cdk_fp","2","0.8561012359694377","0.917888345619829","0.8106241889326182","0.8397911733558658"
"Caco2","SVR_TAN","0.01","1.0","cdk_fp","2","0.8447415538574278","0.8980231730614695","0.7998541012946148","0.836347387216199"
"Caco2","SVR_TAN","0.1","1.0","cdk_fp","2","0.7556355801936393","0.7929957160054188","0.6918312305220012","0.7820797940534983"
"Caco2","SVR_TAN","1.0","1.0","cdk_fp","2","0.616176497559481","0.5918179393996774","0.6075675560189205","0.6491439972598451"
"Caco2","SVR_TAN","10.0","1.0","cdk_fp","2","0.6197243496589945","0.5985388460582257","0.6066004780188262","0.6540337248999315"
"Caco2","SVR_TAN","0.001","2.0","cdk_fp","2","0.8556034147061425","0.9167698160131948","0.8109020811754999","0.8391383469297327"
"Caco2","SVR_TAN","0.01","2.0","cdk_fp","2","0.8357139568179187","0.8818080850345714","0.7941240675049823","0.8312097179142022"
"Caco2","SVR_TAN","0.1","2.0","cdk_fp","2","0.7266764291915425","0.7492586813772636","0.6770813332936889","0.753689272903675"
"Caco2","SVR_TAN","1.0","2.0","cdk_fp","2","0.6172808111906861","0.5968847536072747","0.6089198300437549","0.6460378499210286"
"Caco2","SVR_TAN","10.0","2.0","cdk_fp","2","0.6180302013147619","0.5949069166245061","0.60941303839952","0.64977064892026"
"Caco2","SVR_TAN","0.001","3.0","cdk_fp","2","0.8551841229976912","0.9156531804556735","0.8111879878172511","0.8387112007201493"
"Caco2","SVR_TAN","0.01","3.0","cdk_fp","2","0.8284061013603106","0.8718881424063731","0.7840226091624874","0.8293075525120714"
"Caco2","SVR_TAN","0.1","3.0","cdk_fp","2","0.7011484048945232","0.714780223314844","0.6690532329927027","0.7196117583760231"
"Caco2","SVR_TAN","1.0","3.0","cdk_fp","2","0.6180738718515505","0.5947371965088035","0.610572025848276","0.6489123931975718"
"Caco2","SVR_TAN","10.0","3.0","cdk_fp","2","0.6172670010500477","0.5934582390079802","0.6104218749720695","0.6479208891700936"
"Caco2","SVR_TAN","0.001","0.0","rdkit_fp","3","0.8566662554306017","0.9190846756244753","0.8102899785211936","0.8406241121461363"
"Caco2","SVR_TAN","0.01","0.0","rdkit_fp","3","0.8545912790347705","0.9146775091712172","0.8099661678734748","0.8391301600596199"
"Caco2","SVR_TAN","0.1","0.0","rdkit_fp","3","0.8241615378552684","0.8746128625550728","0.775631573950865","0.8222401770598673"
"Caco2","SVR_TAN","1.0","0.0","rdkit_fp","3","0.6829071155160514","0.6876061146193464","0.6299878880956808","0.7311273438331268"
"Caco2","SVR_TAN","10.0","0.0","rdkit_fp","3","0.6724243475106494","0.6664726660009849","0.6269655880676482","0.7238347884633152"
"Caco2","SVR_TAN","0.001","1.0","rdkit_fp","3","0.8554949687612021","0.9161778364957741","0.8106512497058409","0.8396558200819911"
"Caco2","SVR_TAN","0.01","1.0","rdkit_fp","3","0.8373869371356343","0.8832687799033931","0.7947590090474287","0.8341330224560811"
"Caco2","SVR_TAN","0.1","1.0","rdkit_fp","3","0.7071015367659581","0.7289165112424378","0.660520721740068","0.7318673773153684"
"Caco2","SVR_TAN","1.0","1.0","rdkit_fp","3","0.6452327117246571","0.6326140299789493","0.6138783382440471","0.6892057669509748"
"Caco2","SVR_TAN","10.0","1.0","rdkit_fp","3","0.6452327117246571","0.6326140299789493","0.6138783382440471","0.6892057669509748"
"Caco2","SVR_TAN","0.001","2.0","rdkit_fp","3","0.8541854625972665","0.9095899297387748","0.8118272163411271","0.8411392417118977"
"Caco2","SVR_TAN","0.01","2.0","rdkit_fp","3","0.7983454392178299","0.8390426719774247","0.7441844913023629","0.8118091543737023"
"Caco2","SVR_TAN","0.1","2.0","rdkit_fp","3","0.6419448665762194","0.6304670928499475","0.6132331004465864","0.6821344064321245"
"Caco2","SVR_TAN","1.0","2.0","rdkit_fp","3","0.63983495658892","0.625921625716242","0.6130415024210366","0.6805417416294812"
"Caco2","SVR_TAN","10.0","2.0","rdkit_fp","3","0.63983495658892","0.625921625716242","0.6130415024210366","0.6805417416294812"
"Caco2","SVR_TAN","0.001","3.0","rdkit_fp","3","0.8477168659793805","0.8986674387175294","0.8041398049595884","0.8403433542610236"
"Caco2","SVR_TAN","0.01","3.0","rdkit_fp","3","0.7594928141774845","0.7907921354066271","0.7025985844290298","0.7850877226967967"
"Caco2","SVR_TAN","0.1","3.0","rdkit_fp","3","0.6359912402831274","0.6194897654487508","0.6143974654307205","0.6740864899699109"
"Caco2","SVR_TAN","1.0","3.0","rdkit_fp","3","0.6384060535806084","0.6236041402182021","0.613995991777992","0.6776180287456313"
"Caco2","SVR_TAN","10.0","3.0","rdkit_fp","3","0.6384060535806084","0.6236041402182021","0.613995991777992","0.6776180287456313"
"Caco2","SVR_TAN","0.001","0.0","cdk_fp","3","0.8566178405975741","0.9190928204687113","0.8102327098492315","0.8405279914747795"
"Caco2","SVR_TAN","0.01","0.0","cdk_fp","3","0.8541123802296652","0.914759394635173","0.8093928848728273","0.8381848611809949"
"Caco2","SVR_TAN","0.1","0.0","cdk_fp","3","0.8160975419507898","0.8702318853096896","0.7639208910285196","0.8141398495141601"
"Caco2","SVR_TAN","1.0","0.0","cdk_fp","3","0.6637375630958782","0.668532851528145","0.6202727087247146","0.7024071290347749"
"Caco2","SVR_TAN","10.0","0.0","cdk_fp","3","0.6565413252133502","0.6541966942390658","0.6142686172360262","0.7011586641649585"
"Caco2","SVR_TAN","0.001","1.0","cdk_fp","3","0.8550020156555513","0.9157170752945202","0.8107358217518673","0.8385531499202665"
"Caco2","SVR_TAN","0.01","1.0","cdk_fp","3","0.8281624659858554","0.8741701573265664","0.7837233838246587","0.826593856806341"
"Caco2","SVR_TAN","0.1","1.0","cdk_fp","3","0.690464896695057","0.7085214220988182","0.6547461449388278","0.7081271230475251"
"Caco2","SVR_TAN","1.0","1.0","cdk_fp","3","0.627133892417997","0.6103665931292225","0.6043294248150571","0.6667056593097115"
"Caco2","SVR_TAN","10.0","1.0","cdk_fp","3","0.627133892417997","0.6103665931292225","0.6043294248150571","0.6667056593097115"
"Caco2","SVR_TAN","0.001","2.0","cdk_fp","3","0.8511153670801975","0.9063744628684088","0.8085605157585481","0.8384111226136356"
"Caco2","SVR_TAN","0.01","2.0","cdk_fp","3","0.782311182591091","0.8267277466825639","0.7232513336663827","0.7969544674243265"
"Caco2","SVR_TAN","0.1","2.0","cdk_fp","3","0.6240523054836095","0.6078849201718488","0.6101343891290648","0.6541376071499149"
"Caco2","SVR_TAN","1.0","2.0","cdk_fp","3","0.621089607703668","0.6010883731977125","0.6062690026730861","0.6559114472402053"
"Caco2","SVR_TAN","10.0","2.0","cdk_fp","3","0.621089607703668","0.6010883731977125","0.6062690026730861","0.6559114472402053"
"Caco2","SVR_TAN","0.001","3.0","cdk_fp","3","0.8410434374334405","0.8918470700297748","0.7972849603524764","0.8339982819180699"
"Caco2","SVR_TAN","0.01","3.0","cdk_fp","3","0.7441655132812852","0.7747189861684116","0.683668318153147","0.774109235522297"
"Caco2","SVR_TAN","0.1","3.0","cdk_fp","3","0.6161622453371233","0.5925076826474075","0.6078226737625623","0.6481563796014002"
"Caco2","SVR_TAN","1.0","3.0","cdk_fp","3","0.6192315880622749","0.5975646887955858","0.6073054898333623","0.6528245855578764"
"Caco2","SVR_TAN","10.0","3.0","cdk_fp","3","0.6192315880622749","0.5975646887955858","0.6073054898333623","0.6528245855578764"
"Caco2","SVR_TAN","0.001","0.0","rdkit_fp","4","0.8566718232720295","0.9191387166516037","0.8102193457100585","0.8406574074544263"
"Caco2","SVR_TAN","0.01","0.0","rdkit_fp","4","0.8546357067571387","0.9152142670967908","0.809242525130856","0.8394503280437695"
"Caco2","SVR_TAN","0.1","0.0","rdkit_fp","4","0.8260503394070481","0.8791807114925584","0.7769543274473272","0.8220159792812589"
"Caco2","SVR_TAN","1.0","0.0","rdkit_fp","4","0.6977173620666538","0.7070830191848985","0.6377226411927892","0.7483464258222736"
"Caco2","SVR_TAN","10.0","0.0","rdkit_fp","4","0.6913800025801122","0.6916685318191891","0.6365594064865224","0.7459120694346252"
"Caco2","SVR_TAN","0.001","1.0","rdkit_fp","4","0.8542292574938357","0.9121813501541638","0.8108066257791781","0.8396997965481652"
"Caco2","SVR_TAN","0.01","1.0","rdkit_fp","4","0.808629635637797","0.8540600637722533","0.7578715155612026","0.8139573275799353"
"Caco2","SVR_TAN","0.1","1.0","rdkit_fp","4","0.6570585532520202","0.6486490011391389","0.6172655942661671","0.7052610643507545"
"Caco2","SVR_TAN","1.0","1.0","rdkit_fp","4","0.6529246319028913","0.6420423265021227","0.6160167555060249","0.700714813700526"
"Caco2","SVR_TAN","10.0","1.0","rdkit_fp","4","0.6529246319028913","0.6420423265021227","0.6160167555060249","0.700714813700526"
"Caco2","SVR_TAN","0.001","2.0","rdkit_fp","4","0.8388472100156105","0.8849631973613508","0.7968012710099943","0.8347771616754863"
"Caco2","SVR_TAN","0.01","2.0","rdkit_fp","4","0.7139171848619673","0.7384153752732436","0.6648091295652787","0.7385270497473796"
"Caco2","SVR_TAN","0.1","2.0","rdkit_fp","4","0.6438678471341246","0.6309316068076598","0.6132952605444242","0.6873766740502898"
"Caco2","SVR_TAN","1.0","2.0","rdkit_fp","4","0.6438678471341246","0.6309316068076598","0.6132952605444242","0.6873766740502898"
"Caco2","SVR_TAN","10.0","2.0","rdkit_fp","4","0.6438678471341246","0.6309316068076598","0.6132952605444242","0.6873766740502898"
"Caco2","SVR_TAN","0.001","3.0","rdkit_fp","4","0.8028460731962066","0.8446944095187868","0.7494065296216074","0.8144372804482256"
"Caco2","SVR_TAN","0.01","3.0","rdkit_fp","4","0.6443472334840622","0.6338320125867658","0.6139215606168346","0.6852881272485861"
"Caco2","SVR_TAN","0.1","3.0","rdkit_fp","4","0.6405874801589703","0.6268238189356699","0.613527459851646","0.6814111616895949"
"Caco2","SVR_TAN","1.0","3.0","rdkit_fp","4","0.6405874801589703","0.6268238189356699","0.613527459851646","0.6814111616895949"
"Caco2","SVR_TAN","10.0","3.0","rdkit_fp","4","0.6405874801589703","0.6268238189356699","0.613527459851646","0.6814111616895949"
