"NAME [String]","METHOD [String]","gamma [Double]","foldSize [Int]","featuresColumn [String]","scalerType [String]","C [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_RBF_FP","0.01","2000","rdkit_fp","MaxMin","0.01","1.3694785659095026","1.4441535890898112","1.3447015345309168","1.3195805741077797"
"MouseRatTox","SVR_RBF_FP","0.1","2000","rdkit_fp","MaxMin","0.01","1.3637642011957425","1.440716781423932","1.3418303633021085","1.3087454588611875"
"MouseRatTox","SVR_RBF_FP","1.0","2000","rdkit_fp","MaxMin","0.01","1.3716783187696393","1.445773848819489","1.3470021481227954","1.3222589593666343"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","cdk_fp","MaxMin","0.01","1.372430132847281","1.4463482353898411","1.3469696308305774","1.3239725323214242"
"MouseRatTox","SVR_RBF_FP","0.001","1000","cdk_fp","MaxMin","0.01","1.3721256858704578","1.4461195641838658","1.3467227312998133","1.3235347621276938"
"MouseRatTox","SVR_RBF_FP","0.01","1000","cdk_fp","MaxMin","0.01","1.3700295546723231","1.444303598506502","1.3448245271652162","1.3209605383452512"
"MouseRatTox","SVR_RBF_FP","0.1","1000","cdk_fp","MaxMin","0.01","1.3632523399755712","1.4400150069227988","1.3416817794057854","1.3080602335981295"
"MouseRatTox","SVR_RBF_FP","1.0","1000","cdk_fp","MaxMin","0.01","1.3714995314914837","1.4452886277338024","1.347041235937573","1.3221687308030756"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1500","cdk_fp","MaxMin","0.01","1.3724293194682005","1.4463481326555159","1.3469688340117196","1.3239709917373652"
"MouseRatTox","SVR_RBF_FP","0.001","1500","cdk_fp","MaxMin","0.01","1.37211845505848","1.4461182809097113","1.3467163849126886","1.3235206993530397"
"MouseRatTox","SVR_RBF_FP","0.01","1500","cdk_fp","MaxMin","0.01","1.3700417402479819","1.4442699723739598","1.3450188229451554","1.3208364254248304"
"MouseRatTox","SVR_RBF_FP","0.1","1500","cdk_fp","MaxMin","0.01","1.363865238648393","1.439710615735961","1.341660735423137","1.3102243647860803"
"MouseRatTox","SVR_RBF_FP","1.0","1500","cdk_fp","MaxMin","0.01","1.37171662230206","1.4450761264174599","1.3468424176325169","1.3232313228562036"
"MouseRatTox","SVR_RBF_FP","1.0E-4","2000","cdk_fp","MaxMin","0.01","1.3724183983487575","1.4463462818195063","1.3469667064097657","1.323942206817001"
"MouseRatTox","SVR_RBF_FP","0.001","2000","cdk_fp","MaxMin","0.01","1.3720241237725095","1.4461009831853755","1.346697131286809","1.323274256845344"
"MouseRatTox","SVR_RBF_FP","0.01","2000","cdk_fp","MaxMin","0.01","1.3694137834182085","1.4441845733271617","1.3447792831354748","1.319277493791989"
"MouseRatTox","SVR_RBF_FP","0.1","2000","cdk_fp","MaxMin","0.01","1.3623897774911187","1.4399728869661437","1.3424451668633186","1.3047512786438935"
"MouseRatTox","SVR_RBF_FP","1.0","2000","cdk_fp","MaxMin","0.01","1.3717331708548397","1.4452149721502785","1.3471403037837362","1.3228442366305044"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","rdkit_fp","Standard","0.01","1.3714945175187065","1.4454329180097003","1.3464296950173342","1.3226209395290849"
"MouseRatTox","SVR_RBF_FP","0.001","1000","rdkit_fp","Standard","0.01","1.3695607540649692","1.443432147977163","1.344836678979314","1.3204134352384302"
"MouseRatTox","SVR_RBF_FP","0.01","1000","rdkit_fp","Standard","0.01","1.3711679208014271","1.4452109110684916","1.34710160227092","1.3211912490648698"
"MouseRatTox","SVR_RBF_FP","0.1","1000","rdkit_fp","Standard","0.01","1.3724185616785582","1.4460781942971936","1.3472949743495504","1.3238825163889303"
"MouseRatTox","SVR_RBF_FP","1.0","1000","rdkit_fp","Standard","0.01","1.3725143078387891","1.4461976643728653","1.3473856659168315","1.323959593226671"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1500","rdkit_fp","Standard","0.01","1.3713297577935908","1.4452069469676807","1.3464431614738468","1.3223391649392446"
"MouseRatTox","SVR_RBF_FP","0.001","1500","rdkit_fp","Standard","0.01","1.370710261148325","1.4438494928575365","1.3444418013496275","1.3238394892378111"
"MouseRatTox","SVR_RBF_FP","0.01","1500","rdkit_fp","Standard","0.01","1.371523664263629","1.445398269763066","1.3471834374526719","1.3219892855751494"
"MouseRatTox","SVR_RBF_FP","0.1","1500","rdkit_fp","Standard","0.01","1.3724132956334147","1.4460625763558221","1.347300848556613","1.323876461987809"
"MouseRatTox","SVR_RBF_FP","1.0","1500","rdkit_fp","Standard","0.01","1.3725136525986974","1.4461946894991022","1.3473866398997076","1.3239596283972823"
"MouseRatTox","SVR_RBF_FP","1.0E-4","2000","rdkit_fp","Standard","0.01","1.371088265811217","1.444930983079365","1.346409863611638","1.3219239507426472"
"MouseRatTox","SVR_RBF_FP","0.001","2000","rdkit_fp","Standard","0.01","1.3712185901892342","1.4443580565902268","1.3443909529875238","1.3249067609899525"
"MouseRatTox","SVR_RBF_FP","0.01","2000","rdkit_fp","Standard","0.01","1.3716097826784939","1.4457030772633872","1.3470763404494217","1.3220499303226732"
"MouseRatTox","SVR_RBF_FP","0.1","2000","rdkit_fp","Standard","0.01","1.3724237695851962","1.4460719018371024","1.347297516628119","1.3239018902903672"
"MouseRatTox","SVR_RBF_FP","1.0","2000","rdkit_fp","Standard","0.01","1.3725132994414828","1.4461945453220917","1.3473857147817137","1.3239596382206427"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","cdk_fp","Standard","0.01","1.371521847067546","1.4453883364725713","1.3463608638913247","1.322816340838742"
"MouseRatTox","SVR_RBF_FP","0.001","1000","cdk_fp","Standard","0.01","1.369081231191199","1.4430628914956125","1.3451220794177197","1.3190587226602646"
"MouseRatTox","SVR_RBF_FP","0.01","1000","cdk_fp","Standard","0.01","1.3715152780262405","1.4452614759702","1.3472340966072918","1.3220502615012297"
"MouseRatTox","SVR_RBF_FP","0.1","1000","cdk_fp","Standard","0.01","1.3722473627941365","1.4457963555912985","1.347315628380048","1.3236301044110625"
"MouseRatTox","SVR_RBF_FP","1.0","1000","cdk_fp","Standard","0.01","1.372449395418568","1.4460513230449417","1.3473379980010458","1.323958865209716"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1500","cdk_fp","Standard","0.01","1.3714479205648786","1.4452249776074206","1.3466203682242448","1.3224984158629707"
"MouseRatTox","SVR_RBF_FP","0.001","1500","cdk_fp","Standard","0.01","1.3703274415825835","1.4436692457816123","1.34462150079581","1.3226915781703283"
"MouseRatTox","SVR_RBF_FP","0.01","1500","cdk_fp","Standard","0.01","1.3716342852097234","1.4453637095125118","1.3472672602975904","1.3222718858190676"
"MouseRatTox","SVR_RBF_FP","0.1","1500","cdk_fp","Standard","0.01","1.372247931339827","1.4458187290617777","1.3472702785079629","1.32365478644974"
"MouseRatTox","SVR_RBF_FP","1.0","1500","cdk_fp","Standard","0.01","1.3724496827589043","1.4460523115265147","1.3473380749023454","1.3239586618478527"
"MouseRatTox","SVR_RBF_FP","1.0E-4","2000","cdk_fp","Standard","0.01","1.3712008610934","1.4450651620447934","1.3465653345051354","1.3219720867302711"
"MouseRatTox","SVR_RBF_FP","0.001","2000","cdk_fp","Standard","0.01","1.3703180389994332","1.4438867305545475","1.3451577493616778","1.321909637082074"
"MouseRatTox","SVR_RBF_FP","0.01","2000","cdk_fp","Standard","0.01","1.3720329908543931","1.4455323263333382","1.347447287057903","1.3231193591719386"
"MouseRatTox","SVR_RBF_FP","0.1","2000","cdk_fp","Standard","0.01","1.3722793498368973","1.4458319346222952","1.3473301806370193","1.3236759342513778"
"MouseRatTox","SVR_RBF_FP","1.0","2000","cdk_fp","Standard","0.01","1.3724497031980005","1.446052096239914","1.3473380690450263","1.3239589443090614"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","rdkit_fp","MaxMin","0.1","1.3720868985092582","1.4461224620961168","1.3467323975133676","1.3234058359182908"
"MouseRatTox","SVR_RBF_FP","0.001","1000","rdkit_fp","MaxMin","0.1","1.3695392174641567","1.4438997788171504","1.3444348758326383","1.3202829977426818"
"MouseRatTox","SVR_RBF_FP","0.01","1000","rdkit_fp","MaxMin","0.1","1.3461888278939824","1.4251096072700944","1.326100646974218","1.2873562294376353"
"MouseRatTox","SVR_RBF_FP","0.1","1000","rdkit_fp","MaxMin","0.1","1.3029519638517775","1.3970700755303236","1.2820840018131743","1.2297018142118343"
"MouseRatTox","SVR_RBF_FP","1.0","1000","rdkit_fp","MaxMin","0.1","1.36429791710395","1.4402026659905145","1.3411080524444867","1.3115830328768492"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1500","rdkit_fp","MaxMin","0.1","1.3720434846968639","1.4461005102030182","1.3466841150034725","1.323345828884101"
"MouseRatTox","SVR_RBF_FP","0.001","1500","rdkit_fp","MaxMin","0.1","1.3692285182655208","1.4436896039625695","1.3440023346026415","1.3199936162313515"
"MouseRatTox","SVR_RBF_FP","0.01","1500","rdkit_fp","MaxMin","0.1","1.3439195931973584","1.4236618561512908","1.3238477498519456","1.2842491735888386"
"MouseRatTox","SVR_RBF_FP","0.1","1500","rdkit_fp","MaxMin","0.1","1.3061493261948451","1.402663025753248","1.288208615792813","1.2275763370384747"
"MouseRatTox","SVR_RBF_FP","1.0","1500","rdkit_fp","MaxMin","0.1","1.3655131323964562","1.4406538905662019","1.3437900946395933","1.312095411983573"
"MouseRatTox","SVR_RBF_FP","1.0E-4","2000","rdkit_fp","MaxMin","0.1","1.372021469577937","1.4461051442489627","1.3466641010519336","1.323295163432915"
"MouseRatTox","SVR_RBF_FP","0.001","2000","rdkit_fp","MaxMin","0.1","1.369057548025958","1.4437129717399877","1.3438288852182534","1.3196307871196324"
"MouseRatTox","SVR_RBF_FP","0.01","2000","rdkit_fp","MaxMin","0.1","1.3435059495597255","1.4233121528528563","1.323730128977823","1.283475566848497"
"MouseRatTox","SVR_RBF_FP","0.1","2000","rdkit_fp","MaxMin","0.1","1.3077828580103037","1.4047201156641245","1.2883843392757337","1.230244119091053"
"MouseRatTox","SVR_RBF_FP","1.0","2000","rdkit_fp","MaxMin","0.1","1.3654130568901321","1.4414728666220449","1.3441195128623156","1.3106467911860358"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","cdk_fp","MaxMin","0.1","1.3721211497065833","1.4461143107628571","1.3467136863415463","1.3235354520153468"
"MouseRatTox","SVR_RBF_FP","0.001","1000","cdk_fp","MaxMin","0.1","1.3697926750215033","1.443866702866666","1.34429906226518","1.321212259932664"
"MouseRatTox","SVR_RBF_FP","0.01","1000","cdk_fp","MaxMin","0.1","1.347467171615505","1.425186642395521","1.3257340186912145","1.2914808537597797"
"MouseRatTox","SVR_RBF_FP","0.1","1000","cdk_fp","MaxMin","0.1","1.3057227048633566","1.3941558833935337","1.2950188245164223","1.2279934066801137"
"MouseRatTox","SVR_RBF_FP","1.0","1000","cdk_fp","MaxMin","0.1","1.3612390963053678","1.4376543598801657","1.342652635048699","1.3034102939872385"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1500","cdk_fp","MaxMin","0.1","1.3721130256214786","1.4461132389975007","1.3467057230470962","1.3235201148198388"
"MouseRatTox","SVR_RBF_FP","0.001","1500","cdk_fp","MaxMin","0.1","1.369734635900233","1.4438497768629395","1.3443010448041164","1.3210530860336427"
"MouseRatTox","SVR_RBF_FP","0.01","1500","cdk_fp","MaxMin","0.1","1.3482179567164454","1.425317863016689","1.3268763875987786","1.2924596195338682"
"MouseRatTox","SVR_RBF_FP","0.1","1500","cdk_fp","MaxMin","0.1","1.3092428622365102","1.3954339448309456","1.2939666056662047","1.2383280362123803"
"MouseRatTox","SVR_RBF_FP","1.0","1500","cdk_fp","MaxMin","0.1","1.363915261012729","1.4373385613755552","1.340689252694298","1.3137179689683338"
"MouseRatTox","SVR_RBF_FP","1.0E-4","2000","cdk_fp","MaxMin","0.1","1.3720190967447372","1.4460946975198052","1.3466844605730415","1.3232781321413651"
"MouseRatTox","SVR_RBF_FP","0.001","2000","cdk_fp","MaxMin","0.1","1.368992217398757","1.4436739765571052","1.3438478714559632","1.3194548041832024"
"MouseRatTox","SVR_RBF_FP","0.01","2000","cdk_fp","MaxMin","0.1","1.3429709300983352","1.4247423973602311","1.3249383640647894","1.2792320288699852"
"MouseRatTox","SVR_RBF_FP","0.1","2000","cdk_fp","MaxMin","0.1","1.306754978604082","1.398593189407899","1.2986130170317391","1.2230587293726078"
"MouseRatTox","SVR_RBF_FP","1.0","2000","cdk_fp","MaxMin","0.1","1.3642299264161533","1.4378670209363147","1.3441222875644823","1.3107004707476628"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","rdkit_fp","Standard","0.1","1.3629901881343205","1.436633403107527","1.3397575697842694","1.3125795915111653"
"MouseRatTox","SVR_RBF_FP","0.001","1000","rdkit_fp","Standard","0.1","1.3438297620349113","1.4205036019554163","1.3160402199281793","1.2949454642211387"
"MouseRatTox","SVR_RBF_FP","0.01","1000","rdkit_fp","Standard","0.1","1.3617528783329516","1.438103151971547","1.344145711847951","1.303009771179357"
"MouseRatTox","SVR_RBF_FP","0.1","1000","rdkit_fp","Standard","0.1","1.3712683527996727","1.4438120298804358","1.3478490725473853","1.3221439559711967"
"MouseRatTox","SVR_RBF_FP","1.0","1000","rdkit_fp","Standard","0.1","1.3720500036961358","1.444786835042556","1.3486316174656963","1.3227315585801553"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1500","rdkit_fp","Standard","0.1","1.3616125183504078","1.434610385297555","1.3385663371939165","1.3116608325597512"
"MouseRatTox","SVR_RBF_FP","0.001","1500","rdkit_fp","Standard","0.1","1.3540254814398776","1.4253007349055957","1.3170412357000914","1.3197344737139456"
"MouseRatTox","SVR_RBF_FP","0.01","1500","rdkit_fp","Standard","0.1","1.3643801739276002","1.4396913037132042","1.3454473219230811","1.3080018961465159"
"MouseRatTox","SVR_RBF_FP","0.1","1500","rdkit_fp","Standard","0.1","1.3711750022754152","1.4434884998505197","1.3479146489034337","1.3221218580722924"
"MouseRatTox","SVR_RBF_FP","1.0","1500","rdkit_fp","Standard","0.1","1.372043129730988","1.4447560023878416","1.3486414787241008","1.3227319080810216"
"MouseRatTox","SVR_RBF_FP","1.0E-4","2000","rdkit_fp","Standard","0.1","1.3605812747985617","1.4323568080513496","1.3387768523035914","1.3106101640407444"
"MouseRatTox","SVR_RBF_FP","0.001","2000","rdkit_fp","Standard","0.1","1.3551730533183963","1.4285800945992357","1.3181921176035483","1.318746947752405"
"MouseRatTox","SVR_RBF_FP","0.01","2000","rdkit_fp","Standard","0.1","1.3645692617163547","1.441271634424194","1.3447649482363861","1.3076712024884836"
"MouseRatTox","SVR_RBF_FP","0.1","2000","rdkit_fp","Standard","0.1","1.3712524623241877","1.4435700965870424","1.347863260136846","1.3223240302486747"
"MouseRatTox","SVR_RBF_FP","1.0","2000","rdkit_fp","Standard","0.1","1.3720395475456275","1.4447545644554656","1.3486320724747471","1.3227320057066705"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","cdk_fp","Standard","0.1","1.3630322409063718","1.4364473368413124","1.3394701979907233","1.3131791878870798"
"MouseRatTox","SVR_RBF_FP","0.001","1000","cdk_fp","Standard","0.1","1.340431177789516","1.4169311140125165","1.3147164738157224","1.2896459455403086"
"MouseRatTox","SVR_RBF_FP","0.01","1000","cdk_fp","Standard","0.1","1.361823106350687","1.4374401565804127","1.3430777817001438","1.304951380771505"
"MouseRatTox","SVR_RBF_FP","0.1","1000","cdk_fp","Standard","0.1","1.3694564104112896","1.4411090820694903","1.3467236416137824","1.3205365075505966"
"MouseRatTox","SVR_RBF_FP","1.0","1000","cdk_fp","Standard","0.1","1.3713525306715917","1.4433574661470088","1.347682952089238","1.323017173778528"
