"NAME [String]","METHOD [String]","C [Double]","featuresColumn [String]","scalerType [String]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MalariaGSK","SVR_LIN_DESC","0.01","cdk_desc","Standard","6.266652502607322","6.269754758674964","6.267468827681928","6.262733921465074"
"MalariaGSK","SVR_LIN_DESC","0.1","cdk_desc","Standard","6.266553371554314","6.269325674562662","6.267691846795583","6.2626425933046965"
"MalariaGSK","SVR_LIN_DESC","1.0","cdk_desc","Standard","6.26644402615339","6.2690038078530606","6.267668398084032","6.2626598725230735"
"TB_SRI","SVR_LIN_DESC","1.0E-4","rdkit_desc","MaxMin","0.731709389874684","0.7548774252216316","0.7171591256970374","0.7230916187053829"
"TB_SRI","SVR_LIN_DESC","0.001","rdkit_desc","MaxMin","0.6780094758223921","0.6910173333136989","0.6596871039207529","0.6833239902327247"
"TB_SRI","SVR_LIN_DESC","0.01","rdkit_desc","MaxMin","0.6612510453768086","0.6681986715787394","0.647071109003703","0.6684833555479832"
"TB_SRI","SVR_LIN_DESC","0.1","rdkit_desc","MaxMin","0.6544236334422407","0.6590708674143557","0.6461525945012828","0.6580474384110838"
"TB_SRI","SVR_LIN_DESC","1.0","rdkit_desc","MaxMin","0.6546633930803067","0.6611165002940421","0.64781537843551","0.6550583005113682"
"TB_SRI","SVR_LIN_DESC","1.0E-4","cdk_desc","MaxMin","0.7108100388364811","0.7330041787020103","0.6968842811632899","0.702541656644143"
"TB_SRI","SVR_LIN_DESC","0.001","cdk_desc","MaxMin","0.6708380221864648","0.6828112266265052","0.6563715219747202","0.6733313179581689"
"TB_SRI","SVR_LIN_DESC","0.01","cdk_desc","MaxMin","0.6606784196515987","0.6695491326983964","0.6480376938442595","0.66444843241214"
"TB_SRI","SVR_LIN_DESC","0.1","cdk_desc","MaxMin","0.6558173894304189","0.6628640915459594","0.6435751484756655","0.6610129282696318"
"TB_SRI","SVR_LIN_DESC","1.0","cdk_desc","MaxMin","0.6607212169439757","0.6720092140279361","0.6450832199102695","0.6650712168937215"
"TB_SRI","SVR_LIN_DESC","1.0E-4","rdkit_desc","Standard","1.0224528524417638","1.0519390739506544","1.0142836415272476","1.0011358418473892"
"TB_SRI","SVR_LIN_DESC","0.001","rdkit_desc","Standard","1.0203120361895937","1.051204405358721","1.0132567332844609","0.9964749699255991"
"TB_SRI","SVR_LIN_DESC","0.01","rdkit_desc","Standard","1.019877716901159","1.0518261792171808","1.0130001899122718","0.9948067815740246"
"TB_SRI","SVR_LIN_DESC","0.1","rdkit_desc","Standard","1.0199171513072183","1.048311056416038","1.0177358119360238","0.9937045855695928"
"TB_SRI","SVR_LIN_DESC","1.0","rdkit_desc","Standard","1.0226473533455611","1.0456633602284477","1.0243033208384411","0.9979753789697943"
"TB_SRI","SVR_LIN_DESC","1.0E-4","cdk_desc","Standard","1.0221463435000313","1.052046093871642","1.0125295153302558","1.001863421298196"
"TB_SRI","SVR_LIN_DESC","0.001","cdk_desc","Standard","1.021777174547389","1.053508248524642","1.0126355838672256","0.9991876912502989"
"TB_SRI","SVR_LIN_DESC","0.01","cdk_desc","Standard","1.0252812024988167","1.058156518774149","1.0178516526928985","0.9998354360294027"
"TB_SRI","SVR_LIN_DESC","0.1","cdk_desc","Standard","1.02978302841564","1.0625688179874464","1.0242261105502508","1.002554156709223"
"TB_SRI","SVR_LIN_DESC","1.0","cdk_desc","Standard","1.0322425842542322","1.0636448842090727","1.028019045122999","1.0050638234306253"
"MalariaNovartis","SVR_LIN_DESC","1.0E-4","rdkit_desc","MaxMin","2.1285466937264617","2.1461837494241935","2.100488411412082","2.1389679203431093"
"MalariaNovartis","SVR_LIN_DESC","0.001","rdkit_desc","MaxMin","1.1009150131913368","1.0760314192062048","1.13799812082637","1.0887154995414356"
"MalariaNovartis","SVR_LIN_DESC","0.01","rdkit_desc","MaxMin","0.6807423332700452","0.6800106975915778","0.6866219550823015","0.6755943471362561"
"MalariaNovartis","SVR_LIN_DESC","0.1","rdkit_desc","MaxMin","0.6013966604856306","0.611301722409059","0.5920697643842203","0.6008184946636125"
"MalariaNovartis","SVR_LIN_DESC","1.0","rdkit_desc","MaxMin","0.5865324214081139","0.5969476597830782","0.5814630550530387","0.5811865493882247"
"MalariaNovartis","SVR_LIN_DESC","1.0E-4","cdk_desc","MaxMin","1.2453033207459978","1.241595397291775","1.241405529817175","1.252909035129043"
"MalariaNovartis","SVR_LIN_DESC","0.001","cdk_desc","MaxMin","0.7299812616396529","0.7329906131474216","0.7265289380065679","0.7304242337649693"
"MalariaNovartis","SVR_LIN_DESC","0.01","cdk_desc","MaxMin","0.6288681674058242","0.6402797063793176","0.6216181030749985","0.6247066927631565"
"MalariaNovartis","SVR_LIN_DESC","0.1","cdk_desc","MaxMin","0.5974660011708556","0.6035181249777047","0.599179070725072","0.5897008078097901"
"MalariaNovartis","SVR_LIN_DESC","1.0","cdk_desc","MaxMin","0.595772510766366","0.6107777835814204","0.5843400589179032","0.5921996897997743"
"MalariaNovartis","SVR_LIN_DESC","1.0E-4","rdkit_desc","Standard","6.168768405821083","6.1662379582474705","6.166427134963669","6.1736401242521115"
"MalariaNovartis","SVR_LIN_DESC","0.001","rdkit_desc","Standard","6.168453356897548","6.165604009204504","6.165898763188634","6.173857298299506"
"MalariaNovartis","SVR_LIN_DESC","0.01","rdkit_desc","Standard","6.167757072577679","6.166880406938076","6.164521560694147","6.171869250100812"
"MalariaNovartis","SVR_LIN_DESC","0.1","rdkit_desc","Standard","6.167412512227608","6.1688940684257885","6.163321752380599","6.170021715876435"
"MalariaNovartis","SVR_LIN_DESC","1.0","rdkit_desc","Standard","6.167627992918135","6.1697765447734865","6.163421485623638","6.169685948357279"
"MalariaNovartis","SVR_LIN_DESC","1.0E-4","cdk_desc","Standard","6.16806221881422","6.168500273656914","6.165652661092017","6.170033721693727"
"MalariaNovartis","SVR_LIN_DESC","0.001","cdk_desc","Standard","6.167545590692622","6.1685876340940675","6.163776680388548","6.170272457595254"
"MalariaNovartis","SVR_LIN_DESC","0.01","cdk_desc","Standard","6.167800442082219","6.167874975056472","6.165399109160705","6.170127242029481"
"MalariaNovartis","SVR_LIN_DESC","0.1","cdk_desc","Standard","6.167941511860875","6.167130457936061","6.167108399290983","6.169585678355582"
"MalariaNovartis","SVR_LIN_DESC","1.0","cdk_desc","Standard","6.167751079882474","6.1660242418742826","6.167168389920867","6.170060607852272"
"ADMECaco2","SVR_LIN_DESC","1.0E-4","rdkit_desc","MaxMin","0.8714966236305526","0.8232029830664999","0.913113224564052","0.878173663261106"
"ADMECaco2","SVR_LIN_DESC","0.001","rdkit_desc","MaxMin","0.7973891802414409","0.7586960444081884","0.8506510624117617","0.7828204339043728"
"ADMECaco2","SVR_LIN_DESC","0.01","rdkit_desc","MaxMin","0.7386551428457948","0.702968401188723","0.7896079101679082","0.7233891171807532"
"ADMECaco2","SVR_LIN_DESC","0.1","rdkit_desc","MaxMin","0.6791475468433718","0.6433061663359715","0.6906617930566807","0.7034746811374627"
"ADMECaco2","SVR_LIN_DESC","1.0","rdkit_desc","MaxMin","0.7055018682252884","0.6684311744292895","0.6827608160007947","0.7653136142457809"
"ADMECaco2","SVR_LIN_DESC","1.0E-4","cdk_desc","MaxMin","2023.5202646402638","6068.788573495162","0.9018783538901439","0.870342071738301"
