name,method,feature,nfolds,family,maxIter,reg,rmse,f1,f2,f3
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gaussian,10,0.1,0.7408519780152406,0.7657203857943974,0.725192278168322,0.7316432700830028
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gaussian,10,0.1,0.7410216732946726,0.7802448575420385,0.7138162705048625,0.7290038918371173
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gaussian,50,0.1,0.740851978015241,0.7657203857943974,0.7251922781683218,0.7316432700830038
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gaussian,50,0.1,0.741021673294673,0.780244857542039,0.7138162705048625,0.7290038918371178
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gaussian,100,0.1,0.740851978015241,0.7657203857943974,0.7251922781683218,0.7316432700830038
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gaussian,100,0.1,0.7410216732946733,0.780244857542039,0.7138162705048632,0.7290038918371178
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gamma,10,0.1,0.7857128685782868,0.7553258561292471,0.7902496457465293,0.8115631038590843
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gamma,10,0.1,0.770310331529788,0.8158739033853016,0.738457519478872,0.7565995717251907
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gamma,50,0.1,0.7857128685782864,0.7553258561292471,0.7902496457465294,0.8115631038590826
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gamma,50,0.1,0.770310331529788,0.8158739033853046,0.7384575194788722,0.7565995717251872
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gamma,100,0.1,0.7857128685782877,0.7553258561292471,0.7902496457465332,0.8115631038590826
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gamma,100,0.1,0.770310331529788,0.8158739033853047,0.7384575194788722,0.7565995717251872
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gaussian,10,0.3,0.725924825281695,0.7407025054224066,0.7110935439265926,0.7259784264960857
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gaussian,10,0.3,0.7283792500928044,0.755483862289259,0.7062192152013412,0.7234346727878131
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gaussian,50,0.3,0.7259248252816948,0.7407025054224066,0.7110935439265926,0.7259784264960851
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gaussian,50,0.3,0.7283792500928044,0.7554838622892588,0.7062192152013412,0.7234346727878131
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gaussian,100,0.3,0.7259248252816948,0.7407025054224065,0.7110935439265926,0.7259784264960857
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gaussian,100,0.3,0.7283792500928044,0.755483862289259,0.7062192152013412,0.7234346727878131
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gamma,10,0.3,0.7486714297431551,0.7165137222863652,0.7515907722321405,0.7779097947109597
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gamma,10,0.3,0.7303435524354516,0.7298687524228322,0.725287524187444,0.7358743806960785
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gamma,50,0.3,0.7486714297431553,0.7165137222863651,0.7515907722321411,0.7779097947109597
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gamma,50,0.3,0.7303435524354509,0.7298687524228304,0.725287524187444,0.7358743806960785
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gamma,100,0.3,0.7486714297431553,0.7165137222863652,0.7515907722321405,0.7779097947109603
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gamma,100,0.3,0.7303435524354509,0.7298687524228322,0.7252875241874437,0.735874380696077
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gaussian,10,0.5,0.722115451976134,0.7334367032507917,0.7049880618667917,0.7279215908108186
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gaussian,10,0.5,0.7249889708139478,0.7450465250799287,0.7041580141360355,0.725762373225879
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gaussian,50,0.5,0.722115451976134,0.7334367032507917,0.7049880618667917,0.7279215908108186
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gaussian,50,0.5,0.7249889708139478,0.7450465250799286,0.7041580141360355,0.725762373225879
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gaussian,100,0.5,0.7221154519761341,0.733436703250792,0.7049880618667917,0.7279215908108186
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gaussian,100,0.5,0.7249889708139478,0.7450465250799287,0.7041580141360355,0.725762373225879
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gamma,10,0.5,0.7385195196829805,0.7101343485061092,0.7372695540466927,0.7681546564961396
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gamma,10,0.5,0.7237778854805371,0.7121651157390176,0.7232186282653937,0.7359499124372001
Xanthine-Bostaurus,GLR_FPS,cdk_fp,1000,gamma,50,0.5,0.7385195196829805,0.7101343485061087,0.7372695540466934,0.7681546564961396
Xanthine-Bostaurus,GLR_FPS,rdkit_fp,1000,gamma,50,0.5,0.7237778854805372,0.7121651157390184,0.7232186282653933,0.7359499124372002
