name,method,feature,elasticNetParam,maxIter,reg,rmse,f1,f2,f3
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.7,10,3.0,1.5755601446268859,1.635622131157232,1.5035931313052637,1.587465171418162
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.8,10,3.0,1.5755601446268859,1.635622131157232,1.5035931313052637,1.5874651714181622
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.9,10,3.0,1.5755601446268859,1.635622131157232,1.5035931313052635,1.587465171418162
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.7,10,1.0,1.2822338956077837,1.3531192746532763,1.1942345304823874,1.299347881687688
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.8,10,1.0,1.34842772260992,1.4260982617290812,1.2555854775829058,1.3635994285177728
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.9,10,1.0,1.4158115069870223,1.5072471711002202,1.3111386403966776,1.4290487094641697
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.7,10,0.1,0.8919300086196161,0.8897876860740142,0.911081574792097,0.8749207649927376
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.8,10,0.1,0.8982321724867198,0.8967366016846133,0.918128537599202,0.8798313781763445
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.9,10,0.1,0.9054822380570267,0.9098411156710526,0.9206651051428391,0.8859404933571879
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.7,10,0.03,0.872992255201926,0.8977578545298375,0.8878709788617046,0.8333479322142362
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.8,10,0.03,0.8743330054208005,0.8921692898211326,0.8921268549374786,0.8387028715037906
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.9,10,0.03,0.8705239355256507,0.8877822326812216,0.8873670916721662,0.8364224822235643
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.7,10,0.01,0.8799580898218601,0.9068839721962559,0.9016785414265052,0.8313117558428194
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.8,10,0.01,0.8805936609019369,0.9063829784449597,0.899481619964266,0.8359163842965851
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.9,10,0.01,0.877562969210893,0.9063061145240005,0.8942784394945905,0.8321043536140881
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.7,10,3.0,1.5755601446268859,1.635622131157232,1.5035931313052637,1.5874651714181622
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.8,10,3.0,1.5755601446268859,1.635622131157232,1.5035931313052637,1.587465171418162
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.9,10,3.0,1.5755601446268859,1.635622131157232,1.5035931313052637,1.587465171418162
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.7,10,1.0,1.3180872020319345,1.3857767783803503,1.2318730600509085,1.3366117676645453
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.8,10,1.0,1.3703351914921167,1.4495801677084594,1.2766912070519325,1.3847341997159586
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.9,10,1.0,1.4205992906935336,1.505775833032699,1.3302007206513384,1.4258213183965636
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.7,10,0.1,0.9554998655015323,0.9541725977958151,0.950147972258667,0.9621790264501147
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.8,10,0.1,0.9533634349921495,0.9480379184281358,0.945978893698866,0.9660734928494468
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.9,10,0.1,0.9644218881246458,0.9627470989406439,0.9505609498292686,0.9799576156040248
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.7,10,0.03,0.9527812965836291,0.9553595840123476,0.9416961246730946,0.9612881810654451
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.8,10,0.03,0.952847225890555,0.966573963667698,0.9388252032758848,0.9531425107280825
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.9,10,0.03,0.9530551197364789,0.9626840480022626,0.9368954302594945,0.9595858809476797
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.7,10,0.01,0.9639094373516641,0.9655950544345787,0.9568560428833945,0.9692772147370192
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.8,10,0.01,0.9631091867547805,0.970519005432891,0.9578113147872149,0.960997240044236
Xanthine-Bostaurus,LR_DESC,rdkit_desc,0.9,10,0.01,0.9638689594791684,0.9687982424112659,0.9514251896251441,0.9713834464010952
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.7,50,3.0,1.5755601446268859,1.635622131157232,1.5035931313052637,1.587465171418162
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.8,50,3.0,1.5755601446268859,1.635622131157232,1.5035931313052637,1.587465171418162
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.9,50,3.0,1.5755601446268859,1.635622131157232,1.5035931313052635,1.5874651714181622
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.7,50,1.0,1.2799373687691153,1.3493603539446786,1.1924769287453303,1.2979748236173372
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.8,50,1.0,1.3443533775752308,1.4242251504915358,1.2491861430595974,1.3596488391745594
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.9,50,1.0,1.4131248404872983,1.5031691225443506,1.308824104683126,1.4273812942344182
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.7,50,0.1,0.8871067953793622,0.8904280654082648,0.9048423027534391,0.8660500179763829
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.8,50,0.1,0.8913109889643949,0.8924289905571622,0.9090349180174588,0.8724690583185637
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.9,50,0.1,0.8964734250285966,0.896663578570242,0.9137998899167122,0.8789568065988357
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.7,50,0.03,0.8696853974487004,0.8921690303981592,0.8876759037457486,0.8292112582021939
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.8,50,0.03,0.8711744415907919,0.892429317881153,0.8884191117717551,0.8326748951194677
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.9,50,0.03,0.8717283061852177,0.8908928390724569,0.8901257495433645,0.8341663299398319
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.7,50,0.01,0.8712045854726518,0.9127417404452333,0.8806448978809814,0.8202271180917408
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.8,50,0.01,0.8696039429183324,0.9125121188018963,0.8794491760860326,0.8168505338670686
Xanthine-Bostaurus,LR_DESC,cdk_desc,0.9,50,0.01,0.8672284448415054,0.9037880226512625,0.8801861524040333,0.8177111594692206
