"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SMILE_SVR_TAN","0.1","1.0","cdk_fp","3","1.2433461911311372","1.2894679563078628","1.2706057885224942","1.1699648285630542"
"MouseRatTox","SMILE_SVR_TAN","1.0","1.0","cdk_fp","3","1.18707194831967","1.302433683277619","1.1688996232659454","1.0898825384154454"
"MouseRatTox","SMILE_SVR_TAN","10.0","1.0","cdk_fp","3","1.1918172853164803","1.316626440444967","1.1625767609287623","1.0962486545757117"
"MouseRatTox","SMILE_SVR_TAN","0.001","2.0","cdk_fp","3","1.3353627135300632","1.409310298826762","1.3141259925306372","1.2826518492327903"
"MouseRatTox","SMILE_SVR_TAN","0.01","2.0","cdk_fp","3","1.2707201546115217","1.3294537825644295","1.288230484352339","1.1944761969177964"
"MouseRatTox","SMILE_SVR_TAN","0.1","2.0","cdk_fp","3","1.2195297944286836","1.2803883279965091","1.2348145672731914","1.1433864880163502"
"MouseRatTox","SMILE_SVR_TAN","1.0","2.0","cdk_fp","3","1.1944444362581954","1.3250100387926864","1.1651262885962033","1.0931969813856959"
"MouseRatTox","SMILE_SVR_TAN","10.0","2.0","cdk_fp","3","1.1951020854766405","1.325010038792681","1.1649186276786399","1.0953775899586007"
"MouseRatTox","SMILE_SVR_TAN","0.001","3.0","cdk_fp","3","1.3170602915106042","1.3895120262600535","1.3046393931885114","1.2570294550832477"
"MouseRatTox","SMILE_SVR_TAN","0.01","3.0","cdk_fp","3","1.259251462912219","1.305994752088433","1.2867139258502607","1.1850457107979635"
"MouseRatTox","SMILE_SVR_TAN","0.1","3.0","cdk_fp","3","1.200597511159492","1.299192499168559","1.193458296948207","1.1091417373617098"
"MouseRatTox","SMILE_SVR_TAN","1.0","3.0","cdk_fp","3","1.1967864238125079","1.3307267620416756","1.166340217082955","1.0932922923128927"
"MouseRatTox","SMILE_SVR_TAN","10.0","3.0","cdk_fp","3","1.1978660306446178","1.3307267620416425","1.1663461039942995","1.0965252258979117"
"MouseRatTox","SMILE_SVR_TAN","0.001","0.0","rdkit_fp","4","1.3716581543525","1.4456561827233398","1.34619296756438","1.32312531276978"
"MouseRatTox","SMILE_SVR_TAN","0.01","0.0","rdkit_fp","4","1.365285368024238","1.4393728375597432","1.3388969823008983","1.317586284212073"
"MouseRatTox","SMILE_SVR_TAN","0.1","0.0","rdkit_fp","4","1.3143235942416318","1.3871477176863765","1.2954642890370425","1.2603587760014763"
"MouseRatTox","SMILE_SVR_TAN","1.0","0.0","rdkit_fp","4","1.2157203027356909","1.2925564839941006","1.204760387985336","1.1498440362276359"
"MouseRatTox","SMILE_SVR_TAN","10.0","0.0","rdkit_fp","4","1.189627840535766","1.3062666047935727","1.134865807987737","1.1277511088259884"
"MouseRatTox","SMILE_SVR_TAN","0.001","1.0","rdkit_fp","4","1.3488575617775087","1.4239317678692631","1.3235543358231048","1.2990865816401584"
"MouseRatTox","SMILE_SVR_TAN","0.01","1.0","rdkit_fp","4","1.2842092894037302","1.3413236743719443","1.2892822923966325","1.2220219014426144"
"MouseRatTox","SMILE_SVR_TAN","0.1","1.0","rdkit_fp","4","1.2086488198211773","1.283117955856893","1.1991159870583394","1.1437125165482993"
"MouseRatTox","SMILE_SVR_TAN","1.0","1.0","rdkit_fp","4","1.1718934025002252","1.3050576472923987","1.1082740838297083","1.1023484763785687"
"MouseRatTox","SMILE_SVR_TAN","10.0","1.0","rdkit_fp","4","1.1723409794239512","1.3050576472923976","1.1076475901036977","1.1043177008757579"
"MouseRatTox","SMILE_SVR_TAN","0.001","2.0","rdkit_fp","4","1.3090867643379753","1.373387260185078","1.303299687162298","1.2505733456665502"
"MouseRatTox","SMILE_SVR_TAN","0.01","2.0","rdkit_fp","4","1.2484058995216405","1.291467232176417","1.2718684038720094","1.181882062516495"
"MouseRatTox","SMILE_SVR_TAN","0.1","2.0","rdkit_fp","4","1.171771676082405","1.2955409657926564","1.1134997176603363","1.1062743447942227"
"MouseRatTox","SMILE_SVR_TAN","1.0","2.0","rdkit_fp","4","1.1695145719270823","1.310551525961358","1.1000837401597126","1.0979084496601763"
"MouseRatTox","SMILE_SVR_TAN","10.0","2.0","rdkit_fp","4","1.1714060124507009","1.310551525961369","1.1000788409723683","1.1035876704183654"
"MouseRatTox","SMILE_SVR_TAN","0.001","3.0","rdkit_fp","4","1.2833835645108576","1.33297537050682","1.2958560175279363","1.2213193054978166"
"MouseRatTox","SMILE_SVR_TAN","0.01","3.0","rdkit_fp","4","1.2125395621629205","1.2871221287934955","1.2036329232660503","1.1468636344292154"
"MouseRatTox","SMILE_SVR_TAN","0.1","3.0","rdkit_fp","4","1.1696997829629592","1.3143003926048769","1.0978177155122988","1.0969812407717017"
"MouseRatTox","SMILE_SVR_TAN","1.0","3.0","rdkit_fp","4","1.1692388976249946","1.3143003926048675","1.0962386731186944","1.0971776271514218"
"MouseRatTox","SMILE_SVR_TAN","10.0","3.0","rdkit_fp","4","1.1730715905262061","1.3143003926048291","1.096211119297055","1.1087032596767346"
"MouseRatTox","SMILE_SVR_TAN","0.001","0.0","cdk_fp","4","1.3715804307308492","1.4455694924228548","1.3461171668773178","1.3230546328923753"
"MouseRatTox","SMILE_SVR_TAN","0.01","0.0","cdk_fp","4","1.364499584175596","1.4384009674208351","1.3384368938452536","1.3166608912606992"
"MouseRatTox","SMILE_SVR_TAN","0.1","0.0","cdk_fp","4","1.3112555545262703","1.3847979766987843","1.2973019740307268","1.2516667128493"
"MouseRatTox","SMILE_SVR_TAN","1.0","0.0","cdk_fp","4","1.2135952052011785","1.2902603295500372","1.2136946376280238","1.1368306484254744"
"MouseRatTox","SMILE_SVR_TAN","10.0","0.0","cdk_fp","4","1.1935695645154285","1.3038411318510712","1.1572450864298411","1.119622475265373"
"MouseRatTox","SMILE_SVR_TAN","0.001","1.0","cdk_fp","4","1.3452319818277598","1.422285928179784","1.321626232786702","1.2917837845167934"
"MouseRatTox","SMILE_SVR_TAN","0.01","1.0","cdk_fp","4","1.2750982512793982","1.3391086043901796","1.281631027398587","1.2045551220494284"
"MouseRatTox","SMILE_SVR_TAN","0.1","1.0","cdk_fp","4","1.2143304916078972","1.2807313635630462","1.2271476924587776","1.1351124188018678"
"MouseRatTox","SMILE_SVR_TAN","1.0","1.0","cdk_fp","4","1.1894009959751626","1.3095619553503919","1.159516441815107","1.099124590759989"
"MouseRatTox","SMILE_SVR_TAN","10.0","1.0","cdk_fp","4","1.1900797920309054","1.3095619553503899","1.1595164418151076","1.1011609789272188"
"MouseRatTox","SMILE_SVR_TAN","0.001","2.0","cdk_fp","4","1.3007527969908212","1.3723287462151776","1.2959587891305215","1.2339708556267643"
"MouseRatTox","SMILE_SVR_TAN","0.01","2.0","cdk_fp","4","1.245597051680878","1.2910860076395942","1.2735858883817885","1.172119259021251"
"MouseRatTox","SMILE_SVR_TAN","0.1","2.0","cdk_fp","4","1.1869548648434503","1.3011787075963528","1.1704127544056895","1.0892731325283085"
"MouseRatTox","SMILE_SVR_TAN","1.0","2.0","cdk_fp","4","1.191852728411378","1.3175225328348117","1.162784940691606","1.0952507117077162"
"MouseRatTox","SMILE_SVR_TAN","10.0","2.0","cdk_fp","4","1.1945165729912883","1.3175225328348055","1.162784940691608","1.1032422454474513"
"MouseRatTox","SMILE_SVR_TAN","0.001","3.0","cdk_fp","4","1.2723481394379352","1.332235440551781","1.2881584239321284","1.1966505538298966"
"MouseRatTox","SMILE_SVR_TAN","0.01","3.0","cdk_fp","4","1.2219372887654634","1.2802032971768442","1.2390063290248887","1.1466022400946567"
"MouseRatTox","SMILE_SVR_TAN","0.1","3.0","cdk_fp","4","1.1937234967946064","1.323301899449457","1.1648612597259491","1.0930073312084125"
"MouseRatTox","SMILE_SVR_TAN","1.0","3.0","cdk_fp","4","1.1943085389019648","1.323301899449459","1.1644195794900385","1.0952041377663968"
"MouseRatTox","SMILE_SVR_TAN","10.0","3.0","cdk_fp","4","1.199965765853751","1.323285678994851","1.1643836676235806","1.112227950942822"
"MouseRatTox","SMILE_SVR_TAN","0.001","0.0","rdkit_fp","5","1.3718562939946073","1.4458608944434956","1.346395136220659","1.3233128513196668"
"MouseRatTox","SMILE_SVR_TAN","0.01","0.0","rdkit_fp","5","1.3674282530560793","1.4412983907380197","1.3416186439461815","1.3193677244840365"
"MouseRatTox","SMILE_SVR_TAN","0.1","0.0","rdkit_fp","5","1.326682204011265","1.400169719424426","1.3033260096203154","1.2765508829890535"
"MouseRatTox","SMILE_SVR_TAN","1.0","0.0","rdkit_fp","5","1.2197430919426058","1.300675242863944","1.2044975824750073","1.154056450488866"
"MouseRatTox","SMILE_SVR_TAN","10.0","0.0","rdkit_fp","5","1.1995648373591459","1.3123612930914321","1.1446387995862333","1.1416944193997718"
"MouseRatTox","SMILE_SVR_TAN","0.001","1.0","rdkit_fp","5","1.3356412503424082","1.408392534517849","1.31272688041142","1.2858043360979554"
"MouseRatTox","SMILE_SVR_TAN","0.01","1.0","rdkit_fp","5","1.2614928883144951","1.3144949300142426","1.2717567520601707","1.1982269828690724"
"MouseRatTox","SMILE_SVR_TAN","0.1","1.0","rdkit_fp","5","1.1788530253585676","1.2918437778347094","1.127836617147797","1.1168786810931968"
"MouseRatTox","SMILE_SVR_TAN","1.0","1.0","rdkit_fp","5","1.1749915389246315","1.3024243878136332","1.1142878203815627","1.1082624085786985"
"MouseRatTox","SMILE_SVR_TAN","10.0","1.0","rdkit_fp","5","1.1767614436402958","1.3024243878136295","1.1142878203815627","1.1135721227256947"
"MouseRatTox","SMILE_SVR_TAN","0.001","2.0","rdkit_fp","5","1.275647450383616","1.3261687315999242","1.2874478566742533","1.2133257628766705"
"MouseRatTox","SMILE_SVR_TAN","0.01","2.0","rdkit_fp","5","1.1976718730270226","1.2901770930938505","1.1715903049163856","1.1312482210708312"
"MouseRatTox","SMILE_SVR_TAN","0.1","2.0","rdkit_fp","5","1.170385520422234","1.307148229454273","1.1041518046828527","1.0998565271295766"
"MouseRatTox","SMILE_SVR_TAN","1.0","2.0","rdkit_fp","5","1.1712899850175493","1.3071482294542736","1.1041634153171123","1.1025583102812624"
"MouseRatTox","SMILE_SVR_TAN","10.0","2.0","rdkit_fp","5","1.1768997808605677","1.3071482294543277","1.1041645092413526","1.119386603886023"
"MouseRatTox","SMILE_SVR_TAN","0.001","3.0","rdkit_fp","5","1.2436866509059352","1.2880389230827025","1.2665405458898866","1.1764804837452165"
"MouseRatTox","SMILE_SVR_TAN","0.01","3.0","rdkit_fp","5","1.170960109735329","1.2999686212256727","1.1106197575095225","1.102291950470792"
"MouseRatTox","SMILE_SVR_TAN","0.1","3.0","rdkit_fp","5","1.169498617111529","1.310964262527568","1.0997136945479202","1.0978178942590988"
"MouseRatTox","SMILE_SVR_TAN","1.0","3.0","rdkit_fp","5","1.1715985901411405","1.3109642625275717","1.0996721104116791","1.1041593974841706"
"MouseRatTox","SMILE_SVR_TAN","10.0","3.0","rdkit_fp","5","1.176430865616333","1.3109642625273414","1.0996721104115799","1.1186562239100775"
"MouseRatTox","SMILE_SVR_TAN","0.001","0.0","cdk_fp","5","1.3718261683947166","1.4458146266402097","1.3463816879228319","1.3232821906211083"
"MouseRatTox","SMILE_SVR_TAN","0.01","0.0","cdk_fp","5","1.3669811364572644","1.4407277305374038","1.3413106375263177","1.3189050413080716"
"MouseRatTox","SMILE_SVR_TAN","0.1","0.0","cdk_fp","5","1.3247306687132363","1.3978760625775055","1.3055057983356169","1.2708101452265865"
"MouseRatTox","SMILE_SVR_TAN","1.0","0.0","cdk_fp","5","1.2165190917990152","1.296834507022229","1.2097492211957137","1.142973547179103"
"MouseRatTox","SMILE_SVR_TAN","10.0","0.0","cdk_fp","5","1.1997624035662573","1.3074846704280585","1.1608825194384496","1.130920020832264"
"MouseRatTox","SMILE_SVR_TAN","0.001","1.0","cdk_fp","5","1.33240148030971","1.4060133991508883","1.3126845622542078","1.2785064795240333"
"MouseRatTox","SMILE_SVR_TAN","0.01","1.0","cdk_fp","5","1.2550294276465832","1.3118363363746608","1.2713973707839954","1.1818545757810932"
"MouseRatTox","SMILE_SVR_TAN","0.1","1.0","cdk_fp","5","1.1862757009136562","1.2915772442294824","1.1642045940622077","1.103045264449278"
"MouseRatTox","SMILE_SVR_TAN","1.0","1.0","cdk_fp","5","1.188765150962414","1.3049458397585871","1.157961334694243","1.1033882784344118"
"MouseRatTox","SMILE_SVR_TAN","10.0","1.0","cdk_fp","5","1.1909106398195386","1.3049458397585794","1.1579613346942421","1.1098247450057945"
"MouseRatTox","SMILE_SVR_TAN","0.001","2.0","cdk_fp","5","1.2665289965810114","1.3249959721803817","1.2828197465741227","1.1917712709885293"
"MouseRatTox","SMILE_SVR_TAN","0.01","2.0","cdk_fp","5","1.2036985252828967","1.2852578017475818","1.2053586213209564","1.1204791527801519"
"MouseRatTox","SMILE_SVR_TAN","0.1","2.0","cdk_fp","5","1.1900446347173919","1.3125823739995166","1.1608740351781917","1.096677494974467"
"MouseRatTox","SMILE_SVR_TAN","1.0","2.0","cdk_fp","5","1.1909344137166915","1.3125823739995157","1.1608740351781899","1.0993468319723692"
"MouseRatTox","SMILE_SVR_TAN","10.0","2.0","cdk_fp","5","1.194793870647611","1.312582373999476","1.1608740351782219","1.1109252027651348"
"MouseRatTox","SMILE_SVR_TAN","0.001","3.0","cdk_fp","5","1.2425759572871853","1.2889876378709293","1.2707859216408233","1.1679543123498033"
"MouseRatTox","SMILE_SVR_TAN","0.01","3.0","cdk_fp","5","1.1873082804241768","1.304993408572614","1.1686023469696425","1.0883290857302736"
"MouseRatTox","SMILE_SVR_TAN","0.1","3.0","cdk_fp","5","1.1919709912458243","1.3179656998185088","1.1628975396743226","1.0950497342446415"
"MouseRatTox","SMILE_SVR_TAN","1.0","3.0","cdk_fp","5","1.1952677384339776","1.3179656998184948","1.1629011872754056","1.1049363282080324"
"MouseRatTox","SMILE_SVR_TAN","10.0","3.0","cdk_fp","5","1.1973148281546089","1.3179656998187257","1.162897539674096","1.1110812449710052"
"Caco2","SMILE_SVR_TAN","0.001","0.0","rdkit_fp","2","0.8566695515331814","0.9190441872580155","0.810355671123746","0.8406087962177826"
"Caco2","SMILE_SVR_TAN","0.01","0.0","rdkit_fp","2","0.8547790804223881","0.9142767507793592","0.810671203446331","0.8393892870414744"
"Caco2","SMILE_SVR_TAN","0.1","0.0","rdkit_fp","2","0.8243875080109296","0.8713519092910254","0.7767457691307053","0.8250648456110583"
"Caco2","SMILE_SVR_TAN","1.0","0.0","rdkit_fp","2","0.6738936015124891","0.6788749692637733","0.631487354678192","0.711318480595502"
"Caco2","SMILE_SVR_TAN","10.0","0.0","rdkit_fp","2","0.6510709521038909","0.6386662160570841","0.6165118758150726","0.698034764439516"
"Caco2","SMILE_SVR_TAN","0.001","1.0","rdkit_fp","2","0.8563395072785219","0.9181657958985662","0.810537514735129","0.8403152112018707"
"Caco2","SMILE_SVR_TAN","0.01","1.0","rdkit_fp","2","0.8502632457126196","0.9025962978559356","0.8073058035821159","0.8408876356998073"
"Caco2","SMILE_SVR_TAN","0.1","1.0","rdkit_fp","2","0.7735981524129293","0.8083146634528761","0.7181389416713445","0.7943408521145673"
"Caco2","SMILE_SVR_TAN","1.0","1.0","rdkit_fp","2","0.6347287309641856","0.6167977803249396","0.6131403331099986","0.6742480794576187"
"Caco2","SMILE_SVR_TAN","10.0","1.0","rdkit_fp","2","0.6391740702461387","0.6246203684531134","0.613990434743936","0.6789114075413666"
"Caco2","SMILE_SVR_TAN","0.001","2.0","rdkit_fp","2","0.8560153364490363","0.9172892172541741","0.8107237387961136","0.8400330532968208"
"Caco2","SMILE_SVR_TAN","0.01","2.0","rdkit_fp","2","0.8435978410126682","0.8913706304246392","0.8011545895666108","0.8382683030467546"
"Caco2","SMILE_SVR_TAN","0.1","2.0","rdkit_fp","2","0.7382359091591094","0.7633197195547401","0.6865829558747034","0.7648050520478848"
"Caco2","SMILE_SVR_TAN","1.0","2.0","rdkit_fp","2","0.6384292580866332","0.6226532678140652","0.6154509758834525","0.677183530562382"
"Caco2","SMILE_SVR_TAN","10.0","2.0","rdkit_fp","2","0.6379739437840852","0.6226532678140652","0.6152016384485891","0.6760669250896014"
"Caco2","SMILE_SVR_TAN","0.001","3.0","rdkit_fp","2","0.8557185669505025","0.916414456526589","0.8109143402888309","0.8398269040360877"
"Caco2","SMILE_SVR_TAN","0.01","3.0","rdkit_fp","2","0.8385585313618454","0.8828020895936266","0.7960990468921001","0.8367744575998094"
"Caco2","SMILE_SVR_TAN","0.1","3.0","rdkit_fp","2","0.7110664434685031","0.7330886888232849","0.6665840189099654","0.7335266226722588"
"Caco2","SMILE_SVR_TAN","1.0","3.0","rdkit_fp","2","0.6382956099065923","0.6221424060220919","0.6160685503568814","0.6766758733408034"
