name,method,feature,nfolds,elasticNetParam,maxIter,reg,rmse,f1,f2,f3
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,10,3.0,1.5585549189351149,1.5528145400937807,1.5280773539252126,1.5947728627863516
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,10,1.0,1.2526695029404984,1.2480304285178938,1.2149147161356666,1.2950633641679345
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,10,0.1,0.7637603678157243,0.7886905464495327,0.8262820204975212,0.6763085365001191
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,10,0.03,0.7111185162910948,0.7430500368404566,0.7479752709752587,0.6423302410575692
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,10,0.01,0.7117270061938057,0.739586892101391,0.7137620051710294,0.6818321213089967
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,50,3.0,1.5585549189351149,1.5528145400937807,1.5280773539252126,1.5947728627863516
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,50,1.0,1.2532878517803514,1.2449180300308451,1.2195653495638825,1.2953801757463266
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,50,0.1,0.7650208284883047,0.7928442135910919,0.8221523531868915,0.6800659186869308
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,50,0.03,0.7086952300861583,0.7121358954995527,0.7646490797158664,0.6493007150430561
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,50,0.01,0.7229040492320059,0.7103431452763834,0.7543221569767871,0.7040468454428471
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,100,3.0,1.5585549189351149,1.5528145400937807,1.5280773539252126,1.5947728627863516
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,100,1.0,1.2532991845109012,1.2449180300308442,1.2196010841800633,1.2953784393217962
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,100,0.1,0.7652188641552318,0.7922765497941185,0.8239460144631953,0.6794340282083814
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,100,0.03,0.7147162206186084,0.7136654212396428,0.7753251490625436,0.6551580915536389
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.7,100,0.01,0.7235043881751604,0.7094904443712434,0.755881530461829,0.705141189692409
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,10,3.0,1.5585549189351149,1.5528145400937807,1.5280773539252126,1.5947728627863516
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,10,1.0,1.3123491684137953,1.3041435307216325,1.2729440904498002,1.3599598840699534
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,10,0.1,0.7728051625818125,0.7824019207158589,0.8295296743488445,0.706483892680734
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,10,0.03,0.7252801908157,0.7501996366957707,0.7580608837477355,0.6675800520035943
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,10,0.01,0.7127861219885921,0.7366219199243008,0.7171240402202201,0.6846124058212557
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,50,3.0,1.5585549189351149,1.5528145400937807,1.5280773539252126,1.5947728627863516
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,50,1.0,1.313908141723186,1.3079646469553285,1.2751568558324944,1.358602922381735
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,50,0.1,0.7803926790386766,0.8026904738637376,0.8346191569928175,0.7038684062594749
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,50,0.03,0.712025213333094,0.7157646937640013,0.7727462748923304,0.6475646713429503
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,50,0.01,0.7208878370608431,0.7092827643466226,0.7557631159054105,0.6976176309304966
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,100,3.0,1.5585549189351149,1.5528145400937807,1.5280773539252126,1.5947728627863516
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,100,1.0,1.3138977339425544,1.30796537878527,1.275124900660658,1.3586029223817353
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,100,0.1,0.7810590164165491,0.804001771837351,0.8366575013307672,0.7025177760815291
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,100,0.03,0.7154287318927541,0.7170043052128674,0.7772665527778295,0.6520153376875656
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.8,100,0.01,0.7188707722450187,0.7090205680182455,0.7534721502387285,0.6941195984780825
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.9,10,3.0,1.5585549189351149,1.5528145400937807,1.5280773539252126,1.5947728627863516
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.9,10,1.0,1.3797021561880047,1.3735618818728734,1.3374758616149218,1.4280687250762187
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.9,10,0.1,0.8098328092458358,0.8342599528542356,0.8498679974353806,0.7453704774478912
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.9,10,0.03,0.714444868753276,0.7404058425033297,0.764692021952905,0.6382367418035932
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.9,10,0.01,0.7087872852369547,0.7367192856465544,0.7126822964541608,0.6769602736101489
Xanthine-Bostaurus,LR_FP,cdk_fp,1000,0.9,50,3.0,1.5585549189351149,1.5528145400937807,1.5280773539252126,1.5947728627863516
