"NAME [String]","METHOD [String]","C [Double]","scalerType [String]","featuresColumn [String]","foldSize [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_LIN_FP","10.0","MaxMin","cdk_fp","1500","1.5493431007873355","1.8416233318207071","1.4442267325420475","1.3621792379992521"
"MouseRatTox","SVR_LIN_FP","0.001","Standard","cdk_fp","1500","1.543281829552047","1.6275218353810006","1.3763086812842158","1.626014971990925"
"MouseRatTox","SVR_LIN_FP","0.01","Standard","cdk_fp","1500","1.53238842383496","1.6399168836714209","1.3420762907431298","1.61517209709033"
"MouseRatTox","SVR_LIN_FP","0.1","Standard","cdk_fp","1500","1.5494395013296642","1.6723315298198747","1.3858057069823513","1.590181267186766"
"MouseRatTox","SVR_LIN_FP","1.0","Standard","cdk_fp","1500","1.5816305521371106","1.7374503197783815","1.4022336181224997","1.60520771851045"
"MouseRatTox","SVR_LIN_FP","10.0","Standard","cdk_fp","1500","1.6161614276556524","1.7593284282041879","1.4781504052509113","1.6110054495118582"
"MouseRatTox","SVR_LIN_FP","0.001","MaxMin","rdkit_fp","2000","1.6108567254952006","1.6838294065152752","1.4964309310375041","1.6523098389328224"
"MouseRatTox","SVR_LIN_FP","0.01","MaxMin","rdkit_fp","2000","1.4171974170464707","1.5075369212385539","1.2721524070908976","1.471902922809961"
"MouseRatTox","SVR_LIN_FP","0.1","MaxMin","rdkit_fp","2000","1.313717160241474","1.4545833979670906","1.1686054031853619","1.317962679571969"
"MouseRatTox","SVR_LIN_FP","1.0","MaxMin","rdkit_fp","2000","1.3384964757209845","1.5549046654674292","1.1951893023902393","1.2653954593052852"
"MouseRatTox","SVR_LIN_FP","10.0","MaxMin","rdkit_fp","2000","1.4184541411826348","1.6555458072012046","1.2916002528622919","1.3082163634844073"
"MouseRatTox","SVR_LIN_FP","0.001","Standard","rdkit_fp","2000","1.5369741141191617","1.624982988069955","1.3545577259385293","1.6313816283490001"
"MouseRatTox","SVR_LIN_FP","0.01","Standard","rdkit_fp","2000","1.5093262204554871","1.597861099931372","1.3141822193390806","1.6159353420960092"
"MouseRatTox","SVR_LIN_FP","0.1","Standard","rdkit_fp","2000","1.490529671961906","1.5823081970897408","1.3063847013864338","1.5828961174095435"
"MouseRatTox","SVR_LIN_FP","1.0","Standard","rdkit_fp","2000","1.502897397522614","1.5980236350413435","1.324631075173997","1.5860374823525019"
"MouseRatTox","SVR_LIN_FP","10.0","Standard","rdkit_fp","2000","1.533146086099442","1.6015647386892484","1.4103835771061972","1.5874899425028806"
"MouseRatTox","SVR_LIN_FP","0.001","MaxMin","cdk_fp","2000","1.6108424280472207","1.6771407059799872","1.5002735848961812","1.6551129932654933"
"MouseRatTox","SVR_LIN_FP","0.01","MaxMin","cdk_fp","2000","1.4213211531177539","1.5032219376581237","1.2780315272908485","1.4827099944042894"
"MouseRatTox","SVR_LIN_FP","0.1","MaxMin","cdk_fp","2000","1.336621807427597","1.4741448735406657","1.2047805596480292","1.330939989094096"
"MouseRatTox","SVR_LIN_FP","1.0","MaxMin","cdk_fp","2000","1.3788375519472822","1.6222398890271645","1.2542010547122715","1.2600717121024105"
"MouseRatTox","SVR_LIN_FP","10.0","MaxMin","cdk_fp","2000","1.5410505463854405","1.8522267956125473","1.4104690250046106","1.3604558185391633"
"MouseRatTox","SVR_LIN_FP","0.001","Standard","cdk_fp","2000","1.5325965434096307","1.6216126863466882","1.3675031542722613","1.6086737896099428"
"MouseRatTox","SVR_LIN_FP","0.01","Standard","cdk_fp","2000","1.5135713552970615","1.6082788405416897","1.3431443146183781","1.5892909107311166"
"MouseRatTox","SVR_LIN_FP","0.1","Standard","cdk_fp","2000","1.5385566991294788","1.6392124080488328","1.4050417747073989","1.5714159146322049"
"MouseRatTox","SVR_LIN_FP","1.0","Standard","cdk_fp","2000","1.5665438200808695","1.7054180748887653","1.4090607021248167","1.5851526832290261"
"MouseRatTox","SVR_LIN_FP","10.0","Standard","cdk_fp","2000","1.6001607281219334","1.728612962305485","1.4847587360388472","1.5871104860214682"
"Chagas","SVR_LIN_FP","0.001","MaxMin","rdkit_fp","1000","1.5405649965979984","1.4976060932305415","1.5638762171006664","1.5602126794627875"
"Chagas","SVR_LIN_FP","0.01","MaxMin","rdkit_fp","1000","0.7693998772642323","0.7010822726888555","0.8664655310892845","0.7406518280145571"
"Chagas","SVR_LIN_FP","0.1","MaxMin","rdkit_fp","1000","0.6195645920061233","0.5540671780195278","0.7334284320132828","0.5711981659855596"
"Chagas","SVR_LIN_FP","1.0","MaxMin","rdkit_fp","1000","0.6257635110932699","0.5847782875546979","0.7303672338061864","0.5621450119189252"
"Chagas","SVR_LIN_FP","10.0","MaxMin","rdkit_fp","1000","0.6476942050463977","0.6159499343883124","0.7389792196412716","0.5881534611096093"
"Chagas","SVR_LIN_FP","0.001","Standard","rdkit_fp","1000","6.810457772183924","6.8168534880872675","6.7872946071157525","6.827225221348754"
"Chagas","SVR_LIN_FP","0.01","Standard","rdkit_fp","1000","6.803181675422048","6.816030470624684","6.780621292891579","6.81289326274988"
"Chagas","SVR_LIN_FP","0.1","Standard","rdkit_fp","1000","6.8054108475903305","6.817836958507395","6.780648433241047","6.81774715102255"
"Chagas","SVR_LIN_FP","1.0","Standard","rdkit_fp","1000","6.807649785962681","6.8194184538828155","6.781036073909537","6.82249483009569"
"Chagas","SVR_LIN_FP","10.0","Standard","rdkit_fp","1000","6.80825266343798","6.819606713582292","6.781460962433642","6.823690314298005"
"Chagas","SVR_LIN_FP","0.001","MaxMin","cdk_fp","1000","1.547676454698852","1.4614779557220936","1.590444366627257","1.591107041747205"
"Chagas","SVR_LIN_FP","0.01","MaxMin","cdk_fp","1000","0.7432071131562266","0.6658532778398977","0.844296014067782","0.7194720475609999"
"Chagas","SVR_LIN_FP","0.1","MaxMin","cdk_fp","1000","0.5969729652394032","0.5389909018277161","0.7097820155790974","0.5421459783113962"
"Chagas","SVR_LIN_FP","1.0","MaxMin","cdk_fp","1000","0.6062564704022452","0.556531123278941","0.706724614046783","0.5555136738810116"
"Chagas","SVR_LIN_FP","10.0","MaxMin","cdk_fp","1000","0.6351525179236838","0.5825305396128736","0.7189321031588995","0.6039949109992785"
"Chagas","SVR_LIN_FP","0.001","Standard","cdk_fp","1000","6.8168418940848055","6.81975960911255","6.790177111339269","6.840588961802596"
"Chagas","SVR_LIN_FP","0.01","Standard","cdk_fp","1000","6.819541303512563","6.833681930172629","6.784560373692434","6.8403816066726275"
"Chagas","SVR_LIN_FP","0.1","Standard","cdk_fp","1000","6.8287026584188615","6.842756507959159","6.792671423229359","6.850680044068066"
"Chagas","SVR_LIN_FP","1.0","Standard","cdk_fp","1000","6.8307725664057015","6.844505923046736","6.7938620972017185","6.85394967896865"
"Chagas","SVR_LIN_FP","10.0","Standard","cdk_fp","1000","6.831013651549977","6.844733266868265","6.794031069748742","6.854276618032922"
"Chagas","SVR_LIN_FP","0.001","MaxMin","rdkit_fp","1500","1.4845874118200086","1.3945812018444592","1.5525661536145938","1.5066148800009727"
"Chagas","SVR_LIN_FP","0.01","MaxMin","rdkit_fp","1500","0.7527735950463259","0.6778667848006733","0.8647654931097847","0.7156885072285196"
"Chagas","SVR_LIN_FP","0.1","MaxMin","rdkit_fp","1500","0.600291224722919","0.5344374830406746","0.7305130379738943","0.5359231531541877"
"Chagas","SVR_LIN_FP","1.0","MaxMin","rdkit_fp","1500","0.5981196672158915","0.5432480147098858","0.7330092484840741","0.5181017384537144"
"Chagas","SVR_LIN_FP","10.0","MaxMin","rdkit_fp","1500","0.6204864249512795","0.5678412838030312","0.7386848644608328","0.5549331265899741"
"Chagas","SVR_LIN_FP","0.001","Standard","rdkit_fp","1500","6.809518280918202","6.812862891411785","6.785456710323534","6.830235241019286"
"Chagas","SVR_LIN_FP","0.01","Standard","rdkit_fp","1500","6.807631267109403","6.814845878741481","6.779637600049153","6.828410322537574"
"Chagas","SVR_LIN_FP","0.1","Standard","rdkit_fp","1500","6.8120781053404835","6.815747776054023","6.782671803168167","6.8378147367992606"
"Chagas","SVR_LIN_FP","1.0","Standard","rdkit_fp","1500","6.813724220572283","6.8159780978340265","6.78273447705936","6.842460086823463"
"Chagas","SVR_LIN_FP","10.0","Standard","rdkit_fp","1500","6.813861890832331","6.816003484684845","6.7827159624169076","6.8428662253952375"
"Chagas","SVR_LIN_FP","0.001","MaxMin","cdk_fp","1500","1.446105301516105","1.3777582476525452","1.5300148684738721","1.430542788421897"
"Chagas","SVR_LIN_FP","0.01","MaxMin","cdk_fp","1500","0.7265768158172973","0.654947119487994","0.839741596592135","0.6850417313717628"
"Chagas","SVR_LIN_FP","0.1","MaxMin","cdk_fp","1500","0.5865523898293833","0.5338802486717061","0.7008367408080042","0.5249401800084398"
"Chagas","SVR_LIN_FP","1.0","MaxMin","cdk_fp","1500","0.5956024265901502","0.5543248912358842","0.6922451834148082","0.5402372051197581"
"Chagas","SVR_LIN_FP","10.0","MaxMin","cdk_fp","1500","0.6240627952236396","0.5897029349877562","0.6994231710798415","0.5830622796033208"
"Chagas","SVR_LIN_FP","0.001","Standard","cdk_fp","1500","6.811053980110917","6.812827868012788","6.791547043639401","6.828787028680561"
"Chagas","SVR_LIN_FP","0.01","Standard","cdk_fp","1500","6.805772834844333","6.806882265695764","6.782675981758786","6.8277602570784515"
"Chagas","SVR_LIN_FP","0.1","Standard","cdk_fp","1500","6.803833765887297","6.7972822463316485","6.783921527589219","6.830297523741023"
"Chagas","SVR_LIN_FP","1.0","Standard","cdk_fp","1500","6.803355647015441","6.795116040371601","6.78423581608141","6.830715084593313"
"Chagas","SVR_LIN_FP","10.0","Standard","cdk_fp","1500","6.803334024369622","6.794966286991776","6.784278283643476","6.830757502473616"
"Chagas","SVR_LIN_FP","0.001","MaxMin","rdkit_fp","2000","1.4562569820437528","1.4061201072234857","1.5000242648406734","1.462626574067099"
"Chagas","SVR_LIN_FP","0.01","MaxMin","rdkit_fp","2000","0.7439203169330154","0.6726037785388655","0.8587959057905276","0.7003612664696528"
"Chagas","SVR_LIN_FP","0.1","MaxMin","rdkit_fp","2000","0.5948302336720462","0.5315067221352788","0.7242334898033523","0.5287504890775077"
"Chagas","SVR_LIN_FP","1.0","MaxMin","rdkit_fp","2000","0.5975506942144212","0.5506846359993673","0.7147615529603971","0.5272058936834991"
"Chagas","SVR_LIN_FP","10.0","MaxMin","rdkit_fp","2000","0.6135218255113176","0.5730748455732697","0.7224153996395937","0.5450752313210895"
"Chagas","SVR_LIN_FP","0.001","Standard","rdkit_fp","2000","6.80060975338368","6.809116699953437","6.776805592107549","6.815906968090056"
"Chagas","SVR_LIN_FP","0.01","Standard","rdkit_fp","2000","6.794945635401206","6.806892653415422","6.76862019266149","6.809324060126705"
"Chagas","SVR_LIN_FP","0.1","Standard","rdkit_fp","2000","6.796904499956522","6.807929210406642","6.769551670860178","6.813232618602748"
"Chagas","SVR_LIN_FP","1.0","Standard","rdkit_fp","2000","6.7961775664117425","6.808378462106119","6.766182395511646","6.813971841617462"
"Chagas","SVR_LIN_FP","10.0","Standard","rdkit_fp","2000","6.7957512552060875","6.808260563633522","6.765059046817955","6.813934155166785"
"Chagas","SVR_LIN_FP","0.001","MaxMin","cdk_fp","2000","1.4345600963025216","1.3821381927834373","1.484378162631209","1.437163933492919"
"Chagas","SVR_LIN_FP","0.01","MaxMin","cdk_fp","2000","0.7187485834770064","0.6425351714914642","0.8357013692235561","0.6780092097159992"
"Chagas","SVR_LIN_FP","0.1","MaxMin","cdk_fp","2000","0.5795998947083486","0.5156724270812596","0.7150490772641519","0.508078179779634"
"Chagas","SVR_LIN_FP","1.0","MaxMin","cdk_fp","2000","0.5859116190320867","0.532758243501954","0.7043291400010623","0.5206474735932438"
"Chagas","SVR_LIN_FP","10.0","MaxMin","cdk_fp","2000","0.6094761020216354","0.55742924673332","0.7189500337583099","0.5520490255732762"
"Chagas","SVR_LIN_FP","0.001","Standard","cdk_fp","2000","6.806777638797939","6.814455996180539","6.782993393640439","6.82288352657284"
"Chagas","SVR_LIN_FP","0.01","Standard","cdk_fp","2000","6.799983529888991","6.8113186135754065","6.771138247927202","6.817493728164362"
"Chagas","SVR_LIN_FP","0.1","Standard","cdk_fp","2000","6.799360449141067","6.808659989746111","6.771320127098853","6.818101230578238"
"Chagas","SVR_LIN_FP","1.0","Standard","cdk_fp","2000","6.799282367770966","6.808338728676682","6.771328625709352","6.8181797489268625"
"Chagas","SVR_LIN_FP","10.0","Standard","cdk_fp","2000","6.799278113098559","6.808297173703225","6.771350049221822","6.8181871163706305"
"Caco2","SVR_LIN_FP","0.001","MaxMin","rdkit_fp","1000","4.332555280385659","4.362310998346593","4.446774487717289","4.188580355093095"
"Caco2","SVR_LIN_FP","0.01","MaxMin","rdkit_fp","1000","2.590353479821563","2.5977112112487544","2.758221753735267","2.4151274744806686"
"Caco2","SVR_LIN_FP","0.1","MaxMin","rdkit_fp","1000","1.8421750903445568","1.8951347536744536","1.870279228898208","1.7611112884610087"
"Caco2","SVR_LIN_FP","1.0","MaxMin","rdkit_fp","1000","1.7067955934581134","1.7380691600750005","1.7069040104361823","1.6754136098631571"
"Caco2","SVR_LIN_FP","10.0","MaxMin","rdkit_fp","1000","1.6833791997001348","1.7085500850437034","1.6822172412857936","1.6593702727709077"
"Caco2","SVR_LIN_FP","0.001","Standard","rdkit_fp","1000","5.342203863125572","5.363663260361573","5.370835049686988","5.292113279328156"
"Caco2","SVR_LIN_FP","0.01","Standard","rdkit_fp","1000","5.384520873748613","5.385279762672115","5.41648238394269","5.351800474631033"
"Caco2","SVR_LIN_FP","0.1","Standard","rdkit_fp","1000","5.391879378895467","5.3871433266041775","5.427339809961604","5.361155000120618"
"Caco2","SVR_LIN_FP","1.0","Standard","rdkit_fp","1000","5.392434950014986","5.38658473426891","5.428670195947949","5.3620499198281"
"Caco2","SVR_LIN_FP","10.0","Standard","rdkit_fp","1000","5.392478242464367","5.386490194507644","5.428806633879325","5.3621378990061315"
"Caco2","SVR_LIN_FP","0.001","MaxMin","cdk_fp","1000","4.351979284703145","4.3582552784979605","4.4523691239196035","4.24531345169187"
"Caco2","SVR_LIN_FP","0.01","MaxMin","cdk_fp","1000","2.614015957498579","2.508694405043315","2.8288137911246074","2.504539676327815"
"Caco2","SVR_LIN_FP","0.1","MaxMin","cdk_fp","1000","1.806528110043285","1.6968153572234503","1.9853941664669508","1.737374806439454"
"Caco2","SVR_LIN_FP","1.0","MaxMin","cdk_fp","1000","1.6321845748186898","1.4451367701489584","1.8328281829805464","1.6185887713265648"
"Caco2","SVR_LIN_FP","10.0","MaxMin","cdk_fp","1000","1.651511663081256","1.5259851965556048","1.8238947178843627","1.6046550748038002"
"Caco2","SVR_LIN_FP","0.001","Standard","cdk_fp","1000","5.33508400054689","5.37470052178165","5.3561877538478715","5.274363726011147"
"Caco2","SVR_LIN_FP","0.01","Standard","cdk_fp","1000","5.3711732680721775","5.393006162117786","5.405230835521439","5.315282806577307"
"Caco2","SVR_LIN_FP","0.1","Standard","cdk_fp","1000","5.377942145814759","5.380629676361796","5.439283000323294","5.3139137607591875"
"Caco2","SVR_LIN_FP","1.0","Standard","cdk_fp","1000","5.378370202625244","5.376037757707617","5.446532626295952","5.31254022387216"
"Caco2","SVR_LIN_FP","10.0","Standard","cdk_fp","1000","5.3783984657012525","5.375489372281441","5.44733224313697","5.312373781685347"
"Caco2","SVR_LIN_FP","0.001","MaxMin","rdkit_fp","1500","4.363089580653665","4.353285918527153","4.4957391251755325","4.24024369825831"
"Caco2","SVR_LIN_FP","0.01","MaxMin","rdkit_fp","1500","2.532432452614956","2.4964558333076425","2.7147709173556893","2.3860706071815363"
"Caco2","SVR_LIN_FP","0.1","MaxMin","rdkit_fp","1500","1.7672689828394248","1.8764129083650272","1.7377776291558746","1.6876164109973728"
"Caco2","SVR_LIN_FP","1.0","MaxMin","rdkit_fp","1500","1.6997803578660828","1.9105431706343707","1.583787769455045","1.6050101335088327"
"Caco2","SVR_LIN_FP","10.0","MaxMin","rdkit_fp","1500","1.6975295044694836","1.946486240388409","1.5584423912281482","1.5876598817918939"
"Caco2","SVR_LIN_FP","0.001","Standard","rdkit_fp","1500","5.337743716723387","5.371398709127765","5.353684329209429","5.288148111832967"
"Caco2","SVR_LIN_FP","0.01","Standard","rdkit_fp","1500","5.3701257997033585","5.3930060248479235","5.388297096226373","5.329074278035779"
"Caco2","SVR_LIN_FP","0.1","Standard","rdkit_fp","1500","5.3769576984601635","5.3969582988797775","5.399656470037613","5.334258326463099"
"Caco2","SVR_LIN_FP","1.0","Standard","rdkit_fp","1500","5.377704856497673","5.397123140888105","5.401248793559563","5.334742635045353"
"Caco2","SVR_LIN_FP","10.0","Standard","rdkit_fp","1500","5.377779920457113","5.3971346768179","5.401414775855588","5.33479030869785"
"Caco2","SVR_LIN_FP","0.001","MaxMin","cdk_fp","1500","4.3896158329782855","4.4089517459849","4.5021002461111586","4.257795506838798"
"Caco2","SVR_LIN_FP","0.01","MaxMin","cdk_fp","1500","2.563740246753232","2.4993929414937757","2.7913799348922943","2.400447863873627"
"Caco2","SVR_LIN_FP","0.1","MaxMin","cdk_fp","1500","1.7211724056435969","1.684855708990299","1.887464806188747","1.5911967017517452"
"Caco2","SVR_LIN_FP","1.0","MaxMin","cdk_fp","1500","1.5790681671522657","1.495284514475691","1.7418613526679103","1.500058634313196"
"Caco2","SVR_LIN_FP","10.0","MaxMin","cdk_fp","1500","1.6044255965979073","1.588080441882921","1.727053394350516","1.498142953560285"
"Caco2","SVR_LIN_FP","0.001","Standard","cdk_fp","1500","5.331977601145441","5.375539806914804","5.343741637153196","5.276651359368325"
"Caco2","SVR_LIN_FP","0.01","Standard","cdk_fp","1500","5.365597980599968","5.395655787915208","5.389663457427334","5.311474696457361"
"Caco2","SVR_LIN_FP","0.1","Standard","cdk_fp","1500","5.372418265806761","5.3871624407797585","5.421220389739988","5.308871966900536"
"Caco2","SVR_LIN_FP","1.0","Standard","cdk_fp","1500","5.3728570810644705","5.384133410790739","5.426961245539288","5.307476586863384"
"Caco2","SVR_LIN_FP","10.0","Standard","cdk_fp","1500","5.37288263325494","5.383739998583921","5.427583036055166","5.307324865125732"
"Caco2","SVR_LIN_FP","0.001","MaxMin","rdkit_fp","2000","4.365571593701456","4.353285918527153","4.503185164318903","4.24024369825831"
"Caco2","SVR_LIN_FP","0.01","MaxMin","rdkit_fp","2000","2.532822572309079","2.4964558333076425","2.715941276438059","2.3860706071815363"
"Caco2","SVR_LIN_FP","0.1","MaxMin","rdkit_fp","2000","1.7633445644361039","1.8764129083650272","1.7260043739459112","1.6876164109973728"
"Caco2","SVR_LIN_FP","1.0","MaxMin","rdkit_fp","2000","1.6960508089795867","1.9105431706343707","1.572599122795557","1.6050101335088327"
"Caco2","SVR_LIN_FP","10.0","MaxMin","rdkit_fp","2000","1.6865482799822873","1.946486240388409","1.5254987177665589","1.5876598817918939"
"Caco2","SVR_LIN_FP","0.001","Standard","rdkit_fp","2000","5.337213129579408","5.371398709127765","5.352092567777492","5.288148111832967"
"Caco2","SVR_LIN_FP","0.01","Standard","rdkit_fp","2000","5.369344257710202","5.3930060248479235","5.385952470246903","5.329074278035779"
"Caco2","SVR_LIN_FP","0.1","Standard","rdkit_fp","2000","5.376207702625602","5.3969582988797775","5.3974064825339285","5.334258326463099"
"Caco2","SVR_LIN_FP","1.0","Standard","rdkit_fp","2000","5.37703154735446","5.397123140888105","5.399228866129924","5.334742635045353"
"Caco2","SVR_LIN_FP","10.0","Standard","rdkit_fp","2000","5.377108511803628","5.3971346768179","5.399400549895132","5.33479030869785"
"Caco2","SVR_LIN_FP","0.001","MaxMin","cdk_fp","2000","4.3896158329782855","4.4089517459849","4.5021002461111586","4.257795506838798"
"Caco2","SVR_LIN_FP","0.01","MaxMin","cdk_fp","2000","2.563740246753232","2.4993929414937757","2.7913799348922943","2.400447863873627"
"Caco2","SVR_LIN_FP","0.1","MaxMin","cdk_fp","2000","1.7211724056435969","1.684855708990299","1.887464806188747","1.5911967017517452"
"Caco2","SVR_LIN_FP","1.0","MaxMin","cdk_fp","2000","1.5790681671522657","1.495284514475691","1.7418613526679103","1.500058634313196"
"Caco2","SVR_LIN_FP","10.0","MaxMin","cdk_fp","2000","1.6044255965979073","1.588080441882921","1.727053394350516","1.498142953560285"
"Caco2","SVR_LIN_FP","0.001","Standard","cdk_fp","2000","5.331977601145441","5.375539806914804","5.343741637153196","5.276651359368325"
"Caco2","SVR_LIN_FP","0.01","Standard","cdk_fp","2000","5.365597980599968","5.395655787915208","5.389663457427334","5.311474696457361"
"Caco2","SVR_LIN_FP","0.1","Standard","cdk_fp","2000","5.372418265806761","5.3871624407797585","5.421220389739988","5.308871966900536"
"Caco2","SVR_LIN_FP","1.0","Standard","cdk_fp","2000","5.3728570810644705","5.384133410790739","5.426961245539288","5.307476586863384"
"Caco2","SVR_LIN_FP","10.0","Standard","cdk_fp","2000","5.37288263325494","5.383739998583921","5.427583036055166","5.307324865125732"
"Xanthine-Bostaurus","SVR_LIN_FP","0.001","MaxMin","rdkit_fp","1000","2.049998100516675","1.9273799670525753","2.042620511483053","2.1799938230143967"
"Xanthine-Bostaurus","SVR_LIN_FP","0.01","MaxMin","rdkit_fp","1000","1.0185405667321301","1.0193776818033102","0.9660609485045492","1.0701830698885306"
"Xanthine-Bostaurus","SVR_LIN_FP","0.1","MaxMin","rdkit_fp","1000","0.8201148402298198","0.8972902285075398","0.756925166478169","0.8061291257037506"
"Xanthine-Bostaurus","SVR_LIN_FP","1.0","MaxMin","rdkit_fp","1000","0.8233955863700508","0.9492386032694257","0.7494080451525337","0.7715401106881931"
"Xanthine-Bostaurus","SVR_LIN_FP","10.0","MaxMin","rdkit_fp","1000","0.8445154286615043","0.969261793353093","0.7808568442218967","0.783427648409523"
"Xanthine-Bostaurus","SVR_LIN_FP","0.001","Standard","rdkit_fp","1000","6.7451442038495815","6.735936370933632","6.708161053431961","6.791335187183152"
"Xanthine-Bostaurus","SVR_LIN_FP","0.01","Standard","rdkit_fp","1000","6.7222349638878995","6.719173336971459","6.686994730217886","6.760536824474354"
