name,method,feature,nfolds,elasticNetParam,maxIter,reg,rmse,f1,f2,f3
Xanthine-Bostaurus,LR_FPS,cdk_fp,1000,0.7,10,3.0,1.5598336762729705,1.5942987111068456,1.5476663692175836,1.537535948494483
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1000,0.7,10,3.0,1.5598336762729705,1.5942987111068456,1.5476663692175836,1.537535948494483
Xanthine-Bostaurus,LR_FPS,cdk_fp,1500,0.7,10,3.0,1.5598336762729708,1.5942987111068458,1.5476663692175836,1.537535948494483
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1500,0.7,10,3.0,1.5598336762729705,1.5942987111068456,1.5476663692175836,1.537535948494483
Xanthine-Bostaurus,LR_FPS,cdk_fp,2000,0.7,10,3.0,1.5598336762729708,1.5942987111068458,1.5476663692175836,1.5375359484944828
Xanthine-Bostaurus,LR_FPS,rdkit_fp,2000,0.7,10,3.0,1.5598336762729705,1.5942987111068456,1.5476663692175836,1.5375359484944828
Xanthine-Bostaurus,LR_FPS,cdk_fp,1000,0.7,10,1.0,1.2879394161754663,1.318279627669514,1.2733395125937648,1.2721991082631203
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1000,0.7,10,1.0,1.2604541411701422,1.285081388206891,1.242853533002376,1.2534275023011596
Xanthine-Bostaurus,LR_FPS,cdk_fp,1500,0.7,10,1.0,1.2802749296193192,1.2999656093071998,1.2848053062590241,1.2560538732917343
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1500,0.7,10,1.0,1.2432016146263982,1.2711968453939366,1.2220107477483897,1.2363972507368688
Xanthine-Bostaurus,LR_FPS,cdk_fp,2000,0.7,10,1.0,1.2770060415519606,1.2897171752094332,1.2855032682141652,1.2557976812322844
Xanthine-Bostaurus,LR_FPS,rdkit_fp,2000,0.7,10,1.0,1.2282796679206993,1.2508910918606213,1.2159450063263206,1.2180029055751567
Xanthine-Bostaurus,LR_FPS,cdk_fp,1000,0.7,10,0.1,0.7600053825401083,0.7777679946990009,0.7194978426777922,0.7827503102435321
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1000,0.7,10,0.1,0.7370888423856911,0.7111040795251942,0.7079982640979979,0.7921641835338811
Xanthine-Bostaurus,LR_FPS,cdk_fp,1500,0.7,10,0.1,0.7495334816583817,0.7643825631532011,0.6953528268445066,0.7888650549774376
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1500,0.7,10,0.1,0.7106536249505506,0.7118247696106623,0.6793080507313733,0.7408280545096163
Xanthine-Bostaurus,LR_FPS,cdk_fp,2000,0.7,10,0.1,0.7399102959031995,0.7454033254263649,0.6925200173643895,0.7818075449188441
Xanthine-Bostaurus,LR_FPS,rdkit_fp,2000,0.7,10,0.1,0.7234258683578996,0.7306826616000541,0.693292327876807,0.7463026155968376
