name,method,feature,nfolds,family,maxIter,reg,rmse,f1,f2,f3
MalariaNovartis,GLR_FP,cdk_fp,1000,gaussian,10,0.1,0.5831923113362815,0.5936893138456106,0.5820981622865139,0.57378945787672
MalariaNovartis,GLR_FP,cdk_fp,1500,gaussian,10,0.1,0.5962187946170944,0.5985160449492539,0.5969529218722796,0.5931874170297496
MalariaNovartis,GLR_FP,cdk_fp,2000,gaussian,10,0.1,0.6057612357552544,0.6118368153538333,0.6096034509436573,0.595843440968273
MalariaNovartis,GLR_FP,cdk_fp,1000,gaussian,10,0.3,0.5656262204270552,0.5791362483700264,0.5609186479578997,0.5568237649532397
MalariaNovartis,GLR_FP,cdk_fp,1500,gaussian,10,0.3,0.5662083169783978,0.5733391245105609,0.5648336024027594,0.5604522240218731
MalariaNovartis,GLR_FP,cdk_fp,2000,gaussian,10,0.3,0.5658631682492054,0.5738601608101993,0.5670805085746816,0.5566488353627352
MalariaNovartis,GLR_FP,cdk_fp,1000,gaussian,10,0.5,0.5615931428117282,0.5763223741582839,0.555228361449261,0.55322869282764
MalariaNovartis,GLR_FP,cdk_fp,1500,gaussian,10,0.5,0.558572726305192,0.5679858230023325,0.5559882857222447,0.5517440701909989
MalariaNovartis,GLR_FP,cdk_fp,2000,gaussian,10,0.5,0.5556009327810727,0.5651741589566516,0.5548323798439512,0.5467962595426153
MalariaNovartis,GLR_FP,cdk_fp,1000,gaussian,10,0.7,0.56084957392965,0.5762453520445361,0.5534534423880855,0.5528499273563285
MalariaNovartis,GLR_FP,cdk_fp,1500,gaussian,10,0.7,0.5561240931388963,0.5669363092526352,0.5526118315053699,0.5488241386586841
MalariaNovartis,GLR_FP,cdk_fp,2000,gaussian,10,0.7,0.5518354430966123,0.5625192473972028,0.5496598962970054,0.5433271855956285
MalariaNovartis,GLR_FP,cdk_fp,1000,gamma,10,0.1,0.5610312076815038,0.5744625047604661,0.5539567718104863,0.5546743464735592
MalariaNovartis,GLR_FP,cdk_fp,1500,gamma,10,0.1,0.5568939130398366,0.5687102458325692,0.5522385846487974,0.5497329086381433
MalariaNovartis,GLR_FP,cdk_fp,2000,gamma,10,0.1,0.5542963095725111,0.5658962941887811,0.5494506544170292,0.5475419801117228
MalariaNovartis,GLR_FP,cdk_fp,1000,gamma,10,0.3,0.5752750334884755,0.5897805256680888,0.5655766389939539,0.5704679358033838
MalariaNovartis,GLR_FP,cdk_fp,1500,gamma,10,0.3,0.5733498707315458,0.587111791260604,0.564870685236015,0.5680671356980185
MalariaNovartis,GLR_FP,cdk_fp,2000,gamma,10,0.3,0.5721905066507045,0.5857873887608543,0.5636714735445039,0.5671126576467551
MalariaNovartis,GLR_FP,cdk_fp,1000,gamma,10,0.5,0.5832434914922163,0.5979407027397569,0.5723944442143439,0.5793953275225483
MalariaNovartis,GLR_FP,cdk_fp,1500,gamma,10,0.5,0.582079959337189,0.5962289528439462,0.572057233697009,0.5779536914706117
MalariaNovartis,GLR_FP,cdk_fp,2000,gamma,10,0.5,0.5815023708415537,0.5955750664210768,0.5714167102989918,0.5775153358045924
MalariaNovartis,GLR_FP,cdk_fp,1000,gamma,10,0.7,0.5886043673073148,0.6033152138676967,0.5771167478399337,0.5853811402143141
MalariaNovartis,GLR_FP,cdk_fp,1500,gamma,10,0.7,0.5878516533234681,0.6021104016963134,0.5769972727751236,0.5844472854989676
MalariaNovartis,GLR_FP,cdk_fp,2000,gamma,10,0.7,0.5875873754496813,0.6018094105670331,0.5766586671794781,0.584294048602533
MalariaNovartis,GLR_FP,rdkit_fp,1000,gaussian,10,0.1,0.5808950066582895,0.586242932245467,0.5786662972777248,0.5777757904516769
MalariaNovartis,GLR_FP,rdkit_fp,1500,gaussian,10,0.1,0.5891990980860787,0.5863623301240509,0.5959342433884509,0.5853007207457342
MalariaNovartis,GLR_FP,rdkit_fp,2000,gaussian,10,0.1,0.604487993873304,0.6073111973665423,0.6017192561523969,0.604433528100973
MalariaNovartis,GLR_FP,rdkit_fp,1000,gaussian,10,0.3,0.5620063059970029,0.569901885935567,0.5577876402178319,0.5583293918376101
MalariaNovartis,GLR_FP,rdkit_fp,1500,gaussian,10,0.3,0.5613663563872443,0.5656286370393856,0.5625459868386803,0.5559244452836672
MalariaNovartis,GLR_FP,rdkit_fp,2000,gaussian,10,0.3,0.5658153854709254,0.5701219418424581,0.5624929885274472,0.564831226042871
MalariaNovartis,GLR_FP,rdkit_fp,1000,gaussian,10,0.5,0.5580249981811717,0.5677132222699266,0.5524909754310229,0.5538707968425656
MalariaNovartis,GLR_FP,rdkit_fp,1500,gaussian,10,0.5,0.5549083668942553,0.5621018863952842,0.5533247791812528,0.5492984351062289
MalariaNovartis,GLR_FP,rdkit_fp,2000,gaussian,10,0.5,0.5558323477098484,0.5620974280819329,0.5514991719826533,0.553900443064959
MalariaNovartis,GLR_FP,rdkit_fp,1000,gaussian,10,0.7,0.5575438044175263,0.5684653202383956,0.551050756619476,0.5531153363947074
MalariaNovartis,GLR_FP,rdkit_fp,1500,gaussian,10,0.7,0.5531527840272983,0.5620804797529344,0.5498121734133748,0.5475656989155859
MalariaNovartis,GLR_FP,rdkit_fp,2000,gaussian,10,0.7,0.5521567092270493,0.5600153637599227,0.5468468712567324,0.5496078926644928
MalariaNovartis,GLR_FP,rdkit_fp,1000,gamma,10,0.1,0.5596832899376519,0.5686526368960312,0.5524471814164721,0.5579500515004526
MalariaNovartis,GLR_FP,rdkit_fp,1500,gamma,10,0.1,0.5569562150895778,0.5643490524695491,0.5501472528143876,0.5563723399847968
