name,rmse_global,rmse_common,delta
ADMECaco2,0.6181690192428619,0.6181690192428619,0.0
Caco2,0.555799173650145,0.555799173650145,0.0
Chagas,0.5388333649936835,0.5388333649936835,0.0
LogP,0.6104739868688228,0.7059115062160705,0.09543751934724765
MalariaGSK,0.29971014061779666,0.30679962891117435,0.007089488293377688
MalariaNovartis,0.5401599397262618,0.5418556993226341,0.0016957595963723593
MouseRatTox,1.1778813744313923,1.182961395689915,0.005080021258522693
TB_MDR,0.5998660650633253,0.6110322466944225,0.011166181631097172
TB_SRI,0.6497527160841575,0.6585190195941508,0.0087663035099933
Xanthine-Bostaurus,0.7351888554969239,0.7376962156142923,0.002507360117368407
