name,rmse_global,rmse_common,delta
ADMECaco2,0.5969582950397357,0.6032962777440556,0.0063379827043198445
Caco2,0.7061267509700594,0.7064312915018435,0.000304540531784081
Chagas,0.4616545715230928,0.4734181176672168,0.011763546144124004
LogP,0.6907271132530349,0.6907271132530349,0.0
MalariaGSK,0.2868545914571157,0.3197922550183517,0.03293766356123595
MalariaNovartis,0.5368279452649769,0.5738113385139011,0.03698339324892419
MouseRatTox,1.1619634588140257,1.1659698419158502,0.00400638310182444
TB_MDR,0.5774163175384807,0.5905487108312942,0.013132393292813571
TB_SRI,0.6272112973571051,0.6848125660552385,0.05760126869813342
Xanthine-Bostaurus,0.6195983468038387,0.6195983468038387,0.0
