name,rmse_global,rmse_common,delta
ADMECaco2,0.5820156007637697,0.5933716131173755,0.011356012353605838
Caco2,0.6161622453371233,0.6381694429179902,0.02200719758086689
Chagas,0.4561569165853368,0.4565225724743228,0.0003656558889860162
LogP,0.6033860644904929,0.6068585667358848,0.003472502245391862
MalariaGSK,0.2829715947431365,0.2967236468163717,0.01375205207323521
MalariaNovartis,0.5340995990810183,0.54829549215484,0.01419589307382163
MouseRatTox,1.1684741761972903,1.1707875289076854,0.0023133527103951224
TB_MDR,0.560257549084442,0.5606948014578332,0.00043725237339120593
TB_SRI,0.6256499574929312,0.6597381368641989,0.034088179371267735
Xanthine-Bostaurus,0.587653545441666,0.6071058494413412,0.019452303999675125
