name,rmse_global,rmse_common,delta
ADMECaco2,0.5980079309791331,0.6501901591999899,0.05218222822085683
Caco2,0.6500713521253676,0.7004448462301026,0.05037349410473502
Chagas,0.504432954483554,0.5204996010008928,0.0160666465173388
LogP,0.642435809959687,0.6561844840388861,0.013748674079199108
MalariaGSK,0.31309707538353904,0.3420504306203354,0.028953355236796374
MalariaNovartis,0.5447900704349598,0.5663165244643291,0.02152645402936937
MouseRatTox,1.2128778178101425,1.2390790098082398,0.02620119199809734
TB_MDR,0.5899456549702893,0.5951711613282846,0.0052255063579953465
TB_SRI,0.6335409456677399,0.6381209873687672,0.0045800417010273264
Xanthine-Bostaurus,0.6651232511235812,0.6694202900887475,0.004297038965166311
