name,rmse_global,rmse_common,delta
ADMECaco2,0.7720095132805662,0.7769439522519687,0.004934438971402444
Caco2,0.6493448550420168,0.6791428385969643,0.02979798355494756
Chagas,0.4884701218171622,0.4965697269417781,0.008099605124615883
LogP,0.8125628608626995,0.8403357011820498,0.027772840319350345
MalariaGSK,0.2843113753226018,0.2848552306858789,0.0005438553632771126
MalariaNovartis,0.5341953699800314,0.5371762528160984,0.0029808828360670114
MouseRatTox,1.1818365600305232,1.1841463834315855,0.0023098234010623386
TB_MDR,0.5780151081129877,0.585245086255843,0.007229978142855309
TB_SRI,0.6418685476455851,0.6443189865722506,0.0024504389266655213
Xanthine-Bostaurus,0.6215337575193396,0.6460692377513192,0.0245354802319796
