name,rmse_global,rmse_common,delta
ADMECaco2,0.6389410881396158,0.6409754754589201,0.002034387319304276
Caco2,0.5803017458375663,0.6654098197758787,0.08510807393831232
Chagas,0.4696813534173861,0.4838741623236642,0.01419280890627811
LogP,0.5610838767518291,0.6512504936718647,0.09016661692003558
MalariaGSK,0.3024665409311589,0.32511996520880354,0.022653424277644663
MalariaNovartis,0.5290093694753898,0.5595161085553095,0.030506739079919742
MouseRatTox,1.1989810125595997,1.2846553846179347,0.08567437205833506
TB_MDR,0.5720646022984287,0.5946443777391129,0.022579775440684235
TB_SRI,0.6266592304913358,0.6601096387667184,0.03345040827538259
Xanthine-Bostaurus,0.6521794011537073,0.6605026430890181,0.008323241935310755
