name,rmse_global,rmse_common,delta
ADMECaco2,0.6747680468105854,0.6833168046547384,0.008548757844152988
Caco2,0.5976460089646105,0.6018699525523277,0.0042239435877171605
Chagas,0.6015261379965076,0.6170726846920862,0.015546546695578645
LogP,0.5676760886182995,0.6260195009537208,0.058343412335421285
MalariaGSK,0.34489187537365035,0.36009958763041744,0.015207712256767092
MalariaNovartis,0.5820028189427315,0.5910339238449003,0.00903110490216874
MouseRatTox,1.1723787185417862,1.2528288255008249,0.08045010695903865
TB_MDR,0.6558568272812834,0.6727939852997011,0.016937158018417775
TB_SRI,0.6575907098727811,0.6590762592417942,0.0014855493690131283
Xanthine-Bostaurus,0.8631593112999033,0.8746725002516369,0.011513188951733588
