name,rmse_global,rmse_common,delta
ADMECaco2,0.5020055600852966,0.5020055600852966,0.0
Caco2,0.5713842940001205,0.5854509877137848,0.014066693713664313
Chagas,0.5940465529842878,0.6496976669616681,0.05565111397738032
LogP,0.5686840743848098,0.6339291735763055,0.06524509919149568
MalariaGSK,0.35397241379670713,0.3779575694939461,0.02398515569723897
MalariaNovartis,0.5831431202471989,0.6204658573992317,0.037322737152032714
MouseRatTox,1.20944510754215,1.2819425220289236,0.0724974144867736
TB_MDR,0.6611055895302428,0.7000417878031375,0.03893619827289474
TB_SRI,0.6550762508766922,0.6657149120833845,0.010638661206692324
Xanthine-Bostaurus,0.8751940951190327,0.8751940951190327,0.0
