name,rmse_global,rmse_common,delta
ADMECaco2,0.5921695997547131,0.5973926744159374,0.005223074661224292
Caco2,0.6456180006195048,0.6733640073259908,0.02774600670648597
Chagas,0.5139286395140567,0.5264647764329421,0.012536136918885443
LogP,0.607543170841487,0.6392264296780065,0.03168325883651946
MalariaGSK,0.29680041610169344,0.3101559305125285,0.013355514410835045
MalariaNovartis,0.5421558029145356,0.5432572606717317,0.001101457757196167
MouseRatTox,1.1539621904618904,1.1829579879829124,0.028995797521021993
TB_MDR,0.5829749570189274,0.5829804501597816,5.49314085418473e-06
TB_SRI,0.6298675270975965,0.6632303744036919,0.0333628473060954
Xanthine-Bostaurus,0.6287177077471959,0.6523764861827833,0.02365877843558739
