name,rmse_global,rmse_common,delta
ADMECaco2,0.7886662336246555,0.8231459224823159,0.034479688857660395
Caco2,0.6309402279140329,0.6752871803480938,0.04434695243406084
Chagas,0.5051430585943821,0.5568284600321283,0.05168540143774614
LogP,0.6246055906244203,0.6828615970871101,0.0582560064626898
MalariaGSK,0.31988450933120244,0.3407861502517937,0.02090164092059127
MalariaNovartis,0.5502816240501783,0.5662397075192556,0.015958083469077233
MouseRatTox,1.1340121136208101,1.1412110837701783,0.007198970149368211
TB_MDR,0.5803868297661161,0.6092127343552964,0.02882590458918033
TB_SRI,0.6345276777697824,0.6349268881000497,0.0003992103302673522
Xanthine-Bostaurus,0.6659112811976915,0.6905531185533383,0.024641837355646845
