name,rmse_global,rmse_common,delta
ADMECaco2,0.6072341301205294,0.6163227449953234,0.009088614874793954
Caco2,1.5790681671522655,1.7211724056435969,0.14210423849133136
Chagas,0.5795998947083486,0.5795998947083486,0.0
LogP,0.6570175937674585,0.7184391167346907,0.061421522967232245
MalariaGSK,0.9036321150539844,0.919151382953982,0.01551926789999758
MalariaNovartis,1.2565060658064982,1.2738830235073104,0.017376957700812268
MouseRatTox,1.3137171602414741,1.3366218074275968,0.02290464718612273
TB_MDR,0.718543725539989,0.718543725539989,0.0
TB_SRI,0.6461217610082374,0.6942475396677136,0.048125778659476204
Xanthine-Bostaurus,0.7669422011557302,0.7975226237213761,0.03058042256564586
