name,rmse_global,rmse_common,delta
ADMECaco2,0.686635262410479,0.7613170583519251,0.07468179594144608
Caco2,0.7515001110926479,0.7515001110926479,0.0
Chagas,0.5931022232304985,0.6833141450686288,0.0902119218381302
LogP,0.572682415753792,0.6554354627160642,0.08275304696227226
MalariaGSK,0.3451903724228223,0.35613247849500435,0.010942106072182045
MalariaNovartis,0.5804428661803892,0.5865257114326939,0.006082845252304736
MouseRatTox,1.277236278734161,1.2865539858329036,0.009317707098742689
TB_MDR,0.6566012205987581,0.6816588967303043,0.02505767613154619
TB_SRI,0.6581120334874809,0.6581120334874809,0.0
Xanthine-Bostaurus,0.8312585711127108,0.9209187071846268,0.08966013607191592
