name,rmse_global,rmse_common,delta
ADMECaco2,0.6686539420586883,0.6686539420586883,0.0
ADMECaco2,0.6686539420586883,0.6686539420586883,0.0
Caco2,0.5802874627712551,0.5843652826741623,0.0040778199029072315
Caco2,0.5802874627712551,0.5843652826741623,0.0040778199029072315
Chagas,0.5530789058707996,0.560242020568896,0.0071631146980964955
Chagas,0.5530789058707996,0.560242020568896,0.0071631146980964955
LogP,0.5447577398768497,0.6383801956281572,0.09362245575130745
LogP,0.5447577398768497,0.6383801956281572,0.09362245575130745
MalariaGSK,0.3656128437364792,0.41233400098058,0.04672115724410081
MalariaGSK,0.3656128437364792,0.41233400098058,0.04672115724410081
MalariaNovartis,0.5751360079473077,0.5805626171874724,0.005426609240164693
MalariaNovartis,0.5751360079473077,0.5805626171874724,0.005426609240164693
MouseRatTox,1.1986615804834608,1.209965743924159,0.011304163440698067
MouseRatTox,1.1986615804834608,1.209965743924159,0.011304163440698067
TB_MDR,0.6347460603752904,0.6542286542918997,0.019482593916609336
TB_MDR,0.6347460603752904,0.6542286542918997,0.019482593916609336
TB_SRI,0.6588878091225383,0.6634181723976215,0.00453036327508316
TB_SRI,0.6588878091225383,0.6634181723976215,0.00453036327508316
Xanthine-Bostaurus,0.809277007232707,0.9064731007465726,0.0971960935138656
Xanthine-Bostaurus,0.809277007232707,0.9064731007465726,0.0971960935138656
