"dataset","model","estimator","features","toxField","time","dataset_compounds","tested_compounds","n_predicted","hitrate"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-AR-LBD","14.511","261513","242084","6745","0.027862229639298755"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|cdk_fp|cdk_fp|cdk_fp|rdkit_desc","NR-AR-LBD","359.797","261513","242084","8583","0.03545463558103799"
"NCI","tunedBest","weka_rfc_fc5aac0e41b6","rdkit_fp","NR-ER","120.543","261513","261513","78719","0.3010137163353256"
"NCI","tunedConsensus","weka_rfc_fc5aac0e41b6|weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_fp|cdk_desc|cdk_fp|rdkit_fp|cdk_desc","NR-ER","600.931","261513","242084","122628","0.5065514449529915"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-ER-LBD","14.672","261513","242084","13744","0.05677368186249401"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_desc|cdk_fp|rdkit_fp|rdkit_desc|rdkit_fp","NR-ER-LBD","493.782","261513","242084","14732","0.060854909865996926"
"NCI","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-Aromatase","14.288","261513","261513","16903","0.06463541009433565"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|cdk_fp|rdkit_fp|rdkit_desc","NR-Aromatase","379.157","261513","242084","54210","0.22393053650798897"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-PPAR-gamma","14.022","261513","242084","2669","0.011025098726062029"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|cdk_desc","NR-PPAR-gamma","349.398","261513","242084","9597","0.03964326432147519"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-ARE","15.021","261513","242084","91550","0.37817451793592305"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|rdkit_desc","SR-ARE","446.861","261513","242084","125929","0.5201872077460716"
"NCI","tunedBest","smile_svc_7220277d26c2","cdk_fp","SR-ATAD5","146.565","261513","261510","56026","0.2142403732170854"
"NCI","tunedConsensus","smile_svc_7220277d26c2|weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_fp|rdkit_desc|cdk_fp|rdkit_desc|rdkit_fp","SR-ATAD5","415.659","261513","242084","17644","0.07288379240263711"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-HSE","14.856","261513","242084","27602","0.11401827464846913"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_desc|cdk_fp|cdk_fp|rdkit_desc|cdk_fp","SR-HSE","481.414","261513","242084","31090","0.1284264965879612"
"NCI","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","SR-MMP","15.581","261513","261513","88841","0.33971924913866614"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","rdkit_desc|rdkit_fp|rdkit_fp|cdk_desc|cdk_desc","SR-MMP","282.255","261513","242084","111955","0.4624634424414666"
"NCI","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","SR-p53","16.671","261513","261513","7938","0.03035413153456998"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|rdkit_fp|cdk_fp|rdkit_desc","SR-p53","496.707","261513","242084","47516","0.19627897754498438"
