"dataset","model","estimator","features","toxField","time","dataset_compounds","tested_compounds","n_predicted","hitrate"
"NCI","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|smile_svc_fa5708a69b52|weka_rfc_e458fe780135|smile_nb_2a4861a549d5","cdk_desc|rdkit_fp|rdkit_fp|cdk_fp|rdkit_fp","NR-AhR","500.302","261513","242084","54859","0.22661142413377175"
"NCI","best","weka_rfc_68c9a741c70c","cdk_desc","NR-AR-LBD","11.791","261513","242084","2756","0.01138447811503445"
"NCI","consensus","weka_rfc_68c9a741c70c|weka_rfc_e458fe780135|smile_svc_63dcee685acc|smile_svc_75766c802543|smile_svc_fa5708a69b52","cdk_desc|cdk_fp|rdkit_fp|cdk_desc|rdkit_fp","NR-AR-LBD","335.382","261513","242084","4912","0.020290477685431504"
"NCI","best","smile_svc_63dcee685acc","rdkit_fp","NR-ER","184.088","261513","261513","58878","0.22514368310562"
"NCI","consensus","smile_svc_63dcee685acc|weka_rfc_e458fe780135|weka_rfc_68c9a741c70c|smile_svc_75766c802543|smile_svc_fa5708a69b52","rdkit_fp|cdk_fp|cdk_desc|cdk_desc|rdkit_fp","NR-ER","579.059","261513","242084","43983","0.1816848697146445"
"NCI","best","weka_rfc_68c9a741c70c","cdk_desc","NR-ER-LBD","12.093","261513","242084","2685","0.011091191487252358"
"NCI","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|weka_rfc_e458fe780135|smile_svc_fa5708a69b52|smile_svc_75766c802543","cdk_desc|rdkit_fp|cdk_fp|rdkit_fp|cdk_desc","NR-ER-LBD","394.755","261513","242084","6373","0.02632557294162357"
"NCI","best","weka_rfc_68c9a741c70c","cdk_desc","NR-Aromatase","12.331","261513","242084","8608","0.03555790552039788"
"NCI","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|smile_svc_fa5708a69b52|weka_rfc_e458fe780135|smile_nb_2a4861a549d5","cdk_desc|rdkit_fp|rdkit_fp|cdk_fp|rdkit_fp","NR-Aromatase","427.761","261513","242084","14014","0.05788899720758084"
"NCI","best","weka_rfc_68c9a741c70c","cdk_desc","NR-PPAR-gamma","12.142","261513","242084","1169","0.004828902364468531"
"NCI","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|smile_svc_fa5708a69b52|weka_rfc_e458fe780135|smile_svc_75766c802543","cdk_desc|rdkit_fp|rdkit_fp|cdk_fp|cdk_desc","NR-PPAR-gamma","357.719","261513","242084","8086","0.03340162918656334"
"NCI","best","weka_rfc_68c9a741c70c","cdk_desc","SR-ARE","13.111","261513","242084","52326","0.21614811387782754"
"NCI","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|smile_svc_75766c802543|weka_rfc_e458fe780135|smile_svc_fa5708a69b52","cdk_desc|rdkit_fp|cdk_desc|cdk_fp|rdkit_fp","SR-ARE","459.073","261513","242084","80808","0.3338014903917648"
"NCI","best","weka_rfc_68c9a741c70c","cdk_desc","SR-ATAD5","14.738","261513","242084","3030","0.012516316650418862"
"NCI","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|weka_rfc_e458fe780135|smile_svc_75766c802543|smile_svc_fa5708a69b52","cdk_desc|rdkit_fp|cdk_fp|cdk_desc|rdkit_fp","SR-ATAD5","425.778","261513","242084","9142","0.03776375142512516"
"NCI","best","weka_rfc_68c9a741c70c","cdk_desc","SR-HSE","13.549","261513","242084","6466","0.026709737116042364"
"NCI","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|smile_svc_75766c802543|weka_rfc_e458fe780135|smile_svc_fa5708a69b52","cdk_desc|rdkit_fp|cdk_desc|cdk_fp|rdkit_fp","SR-HSE","401.778","261513","242084","39057","0.16133656086317147"
"NCI","best","weka_rfc_68c9a741c70c","cdk_desc","SR-MMP","13.598","261513","242084","78239","0.32318947142314236"
"NCI","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|smile_svc_75766c802543|weka_rfc_e458fe780135|smile_svc_fa5708a69b52","cdk_desc|rdkit_fp|cdk_desc|cdk_fp|rdkit_fp","SR-MMP","416.659","261513","242084","89022","0.3677318616678508"
"NCI","best","weka_rfc_68c9a741c70c","cdk_desc","SR-p53","13.114","261513","242084","12008","0.049602617273343134"
"NCI","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|smile_svc_fa5708a69b52|weka_rfc_e458fe780135|smile_svc_75766c802543","cdk_desc|rdkit_fp|rdkit_fp|cdk_fp|cdk_desc","SR-p53","451.039","261513","242084","36645","0.15137307711372913"
