name,auc_global,auc_common,delta
data_chagas,0.7333081089213045,0.7180957299575842,0.015212378963720297
data_herg,0.8709357751719871,0.8675545437065755,0.0033812314654115827
data_lipinski,0.7557634495445775,0.7520411001929375,0.003722349351640064
data_malaria,0.9065475505599876,0.8735042621786061,0.033043288381381486
data_solubility,0.9800283740399612,0.9734303426322072,0.006598031407754057
data_tuberculosis,0.6585321960981961,0.6414834469859563,0.017048749112239858
