"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","C [Double]","f1 [Double]","f1_1 [Double]","f1_2 [Double]","f1_3 [Double]"
"BothRegression","SMILE_RBF_SVM","0.01","MaxMin","100.0","0.8476677790137189","0.8064516129032258","0.896551724137931","0.84"
"BothRegression","SMILE_RBF_SVM","0.1","MaxMin","100.0","0.8041585445094217","0.8421052631578947","0.7555555555555555","0.8148148148148148"
"BothRegression","SMILE_RBF_SVM","1.0","MaxMin","100.0","0.8327108621226268","0.7857142857142856","0.8235294117647058","0.8888888888888888"
"BothRegression","SMILE_RBF_SVM","1.0E-4","Standard","100.0","0.7597120313946579","0.6976744186046512","0.8363636363636363","0.7450980392156864"
"BothRegression","SMILE_RBF_SVM","0.001","Standard","100.0","0.8451049629004553","0.8163265306122449","0.8679245283018868","0.851063829787234"
"BothRegression","SMILE_RBF_SVM","0.01","Standard","100.0","0.8008521876446405","0.7619047619047619","0.7727272727272727","0.8679245283018868"
"BothRegression","SMILE_RBF_SVM","0.1","Standard","100.0","0.7282060972537163","0.7407407407407408","0.75","0.6938775510204083"
"BothRegression","SMILE_RBF_SVM","1.0","Standard","100.0","0.7616959515795324","0.7234042553191489","0.7692307692307693","0.7924528301886792"
"BothRegression","SMILE_RBF_SVM","1.0E-4","MaxMin","1000.0","0.2950268817204301","0.0","0.32258064516129037","0.5625"
"BothRegression","SMILE_RBF_SVM","0.001","MaxMin","1000.0","0.8144368858654573","0.7936507936507937","0.8333333333333333","0.8163265306122449"
"BothRegression","SMILE_RBF_SVM","0.01","MaxMin","1000.0","0.827944177383349","0.8070175438596492","0.819672131147541","0.8571428571428572"
"BothRegression","SMILE_RBF_SVM","0.1","MaxMin","1000.0","0.847394385595873","0.8275862068965517","0.8627450980392156","0.8518518518518519"
"BothRegression","SMILE_RBF_SVM","1.0","MaxMin","1000.0","0.7628205128205128","0.75","0.7307692307692306","0.8076923076923077"
"BothRegression","SMILE_RBF_SVM","1.0E-4","Standard","1000.0","0.8338372385991434","0.8163265306122449","0.8518518518518519","0.8333333333333334"
"BothRegression","SMILE_RBF_SVM","0.001","Standard","1000.0","0.8105555555555556","0.8","0.7916666666666666","0.84"
"BothRegression","SMILE_RBF_SVM","0.01","Standard","1000.0","0.8277937267410952","0.8070175438596492","0.8400000000000001","0.8363636363636364"
"BothRegression","SMILE_RBF_SVM","0.1","Standard","1000.0","0.7252665683648801","0.6415094339622641","0.7272727272727274","0.8070175438596491"
"BothRegression","SMILE_RBF_SVM","1.0","Standard","1000.0","0.7528205128205127","0.7199999999999999","0.7692307692307693","0.7692307692307692"
