"NAME [String]","METHOD [String]","degree [Int]","C [Double]","scalerType [String]","offset [Double]","f1 [Double]","f1_1 [Double]","f1_2 [Double]","f1_3 [Double]"
"BothRegression","SMILE_POLY_SVM","3","0.1","MaxMin","2.0","0.8164428164428165","0.7142857142857143","0.888888888888889","0.8461538461538461"
"BothRegression","SMILE_POLY_SVM","4","0.1","MaxMin","2.0","0.8124745034889962","0.8148148148148148","0.8400000000000001","0.782608695652174"
"BothRegression","SMILE_POLY_SVM","2","1.0","MaxMin","2.0","0.7838856400259909","0.8148148148148148","0.7368421052631579","0.8"
"BothRegression","SMILE_POLY_SVM","3","1.0","MaxMin","2.0","0.8695254431103487","0.830188679245283","0.9056603773584906","0.8727272727272727"
"BothRegression","SMILE_POLY_SVM","4","1.0","MaxMin","2.0","0.8298948816190196","0.7931034482758621","0.8076923076923077","0.8888888888888888"
"BothRegression","SMILE_POLY_SVM","2","1.0E-4","Standard","2.0","0.0","0.0","0.0","0.0"
"BothRegression","SMILE_POLY_SVM","3","1.0E-4","Standard","2.0","0.6727804359383306","0.6666666666666666","0.5789473684210527","0.7727272727272727"
"BothRegression","SMILE_POLY_SVM","4","1.0E-4","Standard","2.0","0.7350741457124436","0.6818181818181818","0.7999999999999999","0.723404255319149"
"BothRegression","SMILE_POLY_SVM","2","0.001","Standard","2.0","0.686950904392765","0.6666666666666666","0.65","0.7441860465116279"
"BothRegression","SMILE_POLY_SVM","3","0.001","Standard","2.0","0.7960872991400282","0.7111111111111111","0.8510638297872339","0.8260869565217391"
"BothRegression","SMILE_POLY_SVM","4","0.001","Standard","2.0","0.76381741102238","0.7333333333333334","0.7826086956521738","0.7755102040816326"
"BothRegression","SMILE_POLY_SVM","2","0.01","Standard","2.0","0.8057967867998262","0.7500000000000001","0.8510638297872339","0.8163265306122449"
"BothRegression","SMILE_POLY_SVM","3","0.01","Standard","2.0","0.8303546099290781","0.8","0.8400000000000001","0.851063829787234"
"BothRegression","SMILE_POLY_SVM","4","0.01","Standard","2.0","0.776954177897574","0.6792452830188679","0.830188679245283","0.8214285714285715"
"BothRegression","SMILE_POLY_SVM","2","0.1","Standard","2.0","0.8298652291105122","0.7924528301886792","0.8400000000000001","0.8571428571428572"
"BothRegression","SMILE_POLY_SVM","3","0.1","Standard","2.0","0.7739115083305749","0.8070175438596492","0.76","0.7547169811320754"
