"Estimator","f1","ROC_AUC","Accuracy","TP","FP","TN","FN","Recall","Precision","Category"
"Smile SVC Linear classification","0.8452380952380952","0.9815075272177944","0.9192546583850931","71","18","225","8","0.8987341772151899","0.797752808988764","BothIsRegression"
"Weka RF classification","0.8421052631578948","0.968276293170808","0.9254658385093167","64","9","234","15","0.810126582278481","0.8767123287671232","BothIsRegression"
"Smile SVC RBF classification","0.8299319727891157","0.9798406000937646","0.922360248447205","61","7","236","18","0.7721518987341772","0.8970588235294118","BothIsRegression"
"Smile SVC Poly classification","0.8289473684210525","0.9758295567015679","0.9192546583850931","63","10","233","16","0.7974683544303798","0.863013698630137","BothIsRegression"
"Smile SVC RBF classification","0.8571428571428572","0.9809345210189091","0.9347826086956522","63","5","238","16","0.7974683544303798","0.9264705882352942","BothIsClassification"
"Weka RF classification","0.8421052631578948","0.968276293170808","0.9254658385093167","64","9","234","15","0.810126582278481","0.8767123287671232","BothIsClassification"
"Smile SVC Linear classification","0.8301886792452831","0.9779653070792311","0.9161490683229814","66","14","229","13","0.8354430379746836","0.825","BothIsClassification"
"Smile SVC Poly classification","0.8050314465408804","0.9736938063239045","0.9037267080745341","64","16","227","15","0.810126582278481","0.8","BothIsClassification"
