"ProtocolName","LabelName","GroupValues","Size","Estimator","ROC_AUC","Direction","Threshold","Accuracy","Precision","Recall"
"5-HT6","Ki","NA","163","Smile SVC Tanimoto classification","0.833758503401359","UP","7.7683911516231055","0.8957055214723927","0.3333333333333333","0.0625"
"5-HT6","Ki","NA","163","Weka RF on folded fp classification","0.8324829931972789","UP","7.7683911516231055","0.901840490797546","0.5","0.125"
"5-HT6","Ki","NA","163","Smile Bernoulli NB classification","0.8273809523809519","UP","7.7683911516231055","0.31901840490797545","0.12598425196850394","1.0"
"5-HT6","Ki","NA","163","Smile SVC RBF classification","0.7993197278911552","UP","7.7683911516231055","0.9079754601226994","1.0","0.0625"
"5-HT6","Ki","NA","163","Weka RF classification","0.7740221088435374","UP","7.7683911516231055","0.8895705521472392","0.25","0.0625"
"5-HT6","Ki","NA","163","Smile SVC Poly classification","0.6892006802721078","UP","7.7683911516231055","0.901840490797546","NaN","0.0"
"DOPAMINE D3","Ki","NA","173","Smile Bernoulli NB classification","0.7160633484162897","UP","9.096606069449058","0.20809248554913296","0.11038961038961038","1.0"
"DOPAMINE D3","Ki","NA","173","Weka RF classification","0.6504524886877828","UP","9.096606069449058","0.8959537572254336","0.0","0.0"
"DOPAMINE D3","Ki","NA","173","Smile SVC Tanimoto classification","0.6483785822021119","UP","9.096606069449058","0.9017341040462428","NaN","0.0"
"DOPAMINE D3","Ki","NA","173","Weka RF on folded fp classification","0.6229260935143287","UP","9.096606069449058","0.9075144508670521","1.0","0.058823529411764705"
"DOPAMINE D3","Ki","NA","173","Smile SVC Poly classification","0.5714555052790347","UP","9.096606069449058","0.9017341040462428","NaN","0.0"
"DOPAMINE D3","Ki","NA","173","Smile SVC RBF classification","0.5607088989441933","UP","9.096606069449058","0.9017341040462428","NaN","0.0"
"DOPAMINE D4","Ki","NA","137","Smile Bernoulli NB classification","0.7918734491315136","UP","8.360271582970729","0.24817518248175183","0.11206896551724138","1.0"
"DOPAMINE D4","Ki","NA","137","Weka RF classification","0.7562034739454094","UP","8.360271582970729","0.9051094890510949","NaN","0.0"
"DOPAMINE D4","Ki","NA","137","Smile SVC Tanimoto classification","0.7375930521091812","UP","8.360271582970729","0.9051094890510949","NaN","0.0"
"DOPAMINE D4","Ki","NA","137","Smile SVC Poly classification","0.7375930521091809","UP","8.360271582970729","0.9051094890510949","NaN","0.0"
"DOPAMINE D4","Ki","NA","137","Weka RF on folded fp classification","0.7205334987593053","UP","8.360271582970729","0.8832116788321168","0.0","0.0"
"DOPAMINE D4","Ki","NA","137","Smile SVC RBF classification","0.6947890818858558","UP","8.360271582970729","0.9051094890510949","NaN","0.0"
"5-HT Transporter","Ki","NA","166","Smile Bernoulli NB classification","0.8831249999999998","UP","7.882793439905171","0.35542168674698793","0.13008130081300814","1.0"
"5-HT Transporter","Ki","NA","166","Smile SVC Tanimoto classification","0.8372916666666665","UP","7.882793439905171","0.9096385542168675","0.6666666666666666","0.125"
"5-HT Transporter","Ki","NA","166","Smile SVC Poly classification","0.8152083333333331","UP","7.882793439905171","0.9036144578313253","NaN","0.0"
"5-HT Transporter","Ki","NA","166","Weka RF classification","0.7835416666666668","UP","7.882793439905171","0.9096385542168675","1.0","0.0625"
"5-HT Transporter","Ki","NA","166","Weka RF on folded fp classification","0.7770833333333333","UP","7.882793439905171","0.9156626506024096","0.6666666666666666","0.25"
"5-HT Transporter","Ki","NA","166","Smile SVC RBF classification","0.7383333333333331","UP","7.882793439905171","0.9036144578313253","NaN","0.0"
"HISTAMINE H1","Ki","NA","215","Smile SVC RBF classification","0.7886597938144333","UP","8.744973463616295","0.8976744186046511","0.42857142857142855","0.14285714285714285"
"HISTAMINE H1","Ki","NA","215","Weka RF classification","0.7789641629847817","UP","8.744973463616295","0.8790697674418605","0.2222222222222222","0.09523809523809523"
"HISTAMINE H1","Ki","NA","215","Weka RF on folded fp classification","0.7771232204221895","UP","8.744973463616295","0.8976744186046511","0.4","0.09523809523809523"
"HISTAMINE H1","Ki","NA","215","Smile SVC Tanimoto classification","0.7433726067746688","UP","8.744973463616295","0.9162790697674419","0.8","0.19047619047619047"
"HISTAMINE H1","Ki","NA","215","Smile SVC Poly classification","0.6181885125184094","UP","8.744973463616295","0.9023255813953488","NaN","0.0"
