"Estimator","f1","ROC_AUC","Accuracy","TP","FP","TN","FN","Recall","Precision","Category"
"Weka RF classification 2","0.7973856209150328","0.9728603427618898","0.9037267080745341","61","13","230","18","0.7721518987341772","0.8243243243243243","BothIsRegression"
"Smile SVC RBF classification","0.7916666666666667","0.9778611241339792","0.906832298136646","57","8","235","22","0.7215189873417721","0.8769230769230769","BothIsRegression"
"Weka RF classification","0.7894736842105263","0.9720268791998751","0.9006211180124224","60","13","230","19","0.759493670886076","0.821917808219178","BothIsRegression"
"Smile SVC Poly classification","0.3673469387755102","0.9730687086523936","0.422360248447205","54","161","82","25","0.6835443037974683","0.25116279069767444","BothIsRegression"
"Weka RF classification","0.7567567567567567","0.9879139072847681","0.9720496894409938","14","3","299","6","0.7","0.8235294117647058","BothIsClassification"
"Weka RF classification 2","0.7567567567567567","0.9872516556291391","0.9720496894409938","14","3","299","6","0.7","0.8235294117647058","BothIsClassification"
"Smile SVC RBF classification","0.18181818181818182","0.9811258278145695","0.9440993788819876","2","0","302","18","0.1","1.0","BothIsClassification"
"Smile SVC Poly classification","0.07874015748031496","0.9688741721854305","0.6366459627329193","5","102","200","15","0.25","0.04672897196261682","BothIsClassification"
