activity_string,activity_value,activity_string_2,activity_value_2
ND,,12.3,12.3
0.5,0.5,ND,
4.69,4.69,5.4,5.4
ND,,0.377,0.377
0.309,0.309,2.93,2.93
4.46,4.46,ND,
ND,,0.114,0.114
9110,9110.0,NP,
ND,,5.88,5.88
ND,,26.7,26.7
ND,,8.03,8.03
ND,,513,513.0
3.86,3.86,65.1,65.1
NP,,30.7,30.7
9.88E-04,9.88E-4,6.23,6.23
245,245.0,201,201.0
0.662,0.662,ND,
4.97,4.97,ND,
96.7,96.7,158,158.0
1.14,1.14,ND,
ND,,27.8,27.8
ND,,0.282,0.282
1.77,1.77,1.45,1.45
283,283.0,ND,
27.6,27.6,14.9,14.9
ND,,85.3,85.3
1.91,1.91,ND,
0.131,0.131,0.818,0.818
ND,,7.55,7.55
196,196.0,ND,
ND,,0.279,0.279
ND,,45.20,45.2
ND,,71.3,71.3
545,545.0,NP,
167,167.0,NP,
232,232.0,NP,
0.748,0.748,ND,
2140,2140.0,NP,
1.02,1.02,ND,
341,341.0,3920,3920.0
59.6,59.6,ND,
ND,,NP,
4.25,4.25,19.7,19.7
40,40.0,ND,
8.84,8.84,6.74,6.74
NP,,114,114.0
17.8,17.8,ND,
0.491,0.491,ND,
13.6,13.6,27,27.0
0.335,0.335,ND,
14.1,14.1,ND,
1.01,1.01,ND,
8.66,8.66,0.346,0.346
1.13,1.13,ND,
55.6,55.6,ND,
0.691,0.691,1.09,1.09
0.0265,0.0265,ND,
3.17,3.17,ND,
44,44.0,ND,
0.0959,0.0959,0.189,0.189
0.186,0.186,ND,
95.2,95.2,ND,
0.877,0.877,ND,
0.0378,0.0378,ND,
0.825,0.825,ND,
0.214,0.214,ND,
11.9,11.9,ND,
2.37,2.37,ND,
0.846,0.846,ND,
ND,,14.60,14.6
0.491,0.491,ND,
1.43,1.43,1.3,1.3
NP,,33.6,33.6
50.7,50.7,ND,
0.963,0.963,0.272,0.272
0.229,0.229,ND,
ND,,2.21,2.21
0.0601,0.0601,ND,
55.4,55.4,118,118.0
5.98,5.98,ND,
1.94,1.94,1.34,1.34
0.0352,0.0352,ND,
0.103,0.103,6.41,6.41
0.364,0.364,ND,
2.31,2.31,ND,
0.0927,0.0927,1.23,1.23
90.8,90.8,ND,
0.537,0.537,ND,
ND,,0.884,0.884
9.98E-03,0.00998,ND,
3.84,3.84,ND,
19.2,19.2,ND,
10.1,10.1,NP,
10.9,10.9,ND,
NP,,NP,
ND,,0.528,0.528
40.7,40.7,NP,
0.646,0.646,ND,
0.876,0.876,ND,
0.799,0.799,0.679,0.679
2.52,2.52,ND,
ND,,5.87,5.87
3.31,3.31,ND,
0.922,0.922,ND,
0.0983,0.0983,ND,
1250,1250.0,2140,2140.0
0.255,0.255,ND,
1230,1230.0,ND,
0.152,0.152,0.908,0.908
410,410.0,ND,
0.0904,0.0904,ND,
0.142,0.142,ND,
1.31,1.31,ND,
0.873,0.873,ND,
ND,,8.79,8.79
4.73,4.73,ND,
