activity_string,activity_value,activity_string_2,activity_value_2
1.29012,1.29012,0.554273,0.554273
,,,
,,,
0.141875,0.141875,0.60479,0.60479
0.141011,0.141011,0.576923,0.576923
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,3.29004,3.29004
,,0.490348,0.490348
0.141948,0.141948,1.48731,1.48731
1.15241,1.15241,1.1811,1.1811
2.4386,2.4386,0.648865,0.648865
,,1.1124,1.1124
,,1.32609,1.32609
,,0.727891,0.727891
,,0.740899,0.740899
1.0538,1.0538,1.11897,1.11897
1.14634,1.14634,0.730769,0.730769
198.333,198.333,58.7963,58.7963
1.06426,1.06426,1.21277,1.21277
,,0.726776,0.726776
,,10.0805,10.0805
,,1.27148,1.27148
1.254,1.254,1.181,1.181
,,0.610759,0.610759
3.86364,3.86364,2.00721,2.00721
,,2.22407,2.22407
1.27338,1.27338,1.39924,1.39924
14.108,14.108,0.957655,0.957655
2.24074,2.24074,1.46111,1.46111
,,1.18265,1.18265
0.891648,0.891648,1.39387,1.39387
1.10784,1.10784,0.981241,0.981241
0.997561,0.997561,0.924812,0.924812
1.514,1.514,1.87281,1.87281
,,0.976821,0.976821
6.7658,6.7658,2.09346,2.09346
,,10.6579,10.6579
,,181.358,181.358
0.898734,0.898734,0.988304,0.988304
,,,
24.9677,24.9677,1.2,1.2
,,123.394,123.394
,,1.84375,1.84375
0.950562,0.950562,0.350238,0.350238
,,,
5.05929,5.05929,6.4467,6.4467
,,0.512195,0.512195
0.868421,0.868421,0.94702,0.94702
54.9558,54.9558,1.43882,1.43882
3.2027,3.2027,37.1171,37.1171
,,0.72459,0.72459
10.1349,10.1349,0.868715,0.868715
1.07981,1.07981,0.977273,0.977273
,,1.38589,1.38589
,,0.889081,0.889081
0.908397,0.908397,0.938462,0.938462
0.508637,0.508637,0.844388,0.844388
,,1.19316,1.19316
,,1.41581,1.41581
47.9675,47.9675,5.34375,5.34375
0.501948,0.501948,3.07018,3.07018
0.124348,0.124348,1.07916,1.07916
0.0822785,0.0822785,0.772727,0.772727
,,1.55414,1.55414
,,1.00873,1.00873
,,1.03962,1.03962
,,,
0.263598,0.263598,0.577236,0.577236
,,1.7594,1.7594
0.930804,0.930804,1.3355,1.3355
0.979508,0.979508,0.702206,0.702206
455.304,455.304,0.802817,0.802817
13.1362,13.1362,9.58937,9.58937
1.34247,1.34247,1.25333,1.25333
,,1.30341,1.30341
8.71698,8.71698,0.895911,0.895911
7.73626,7.73626,0.9952,0.9952
0.0751402,0.0751402,2.75969,2.75969
17.1691,17.1691,7.6699,7.6699
,,1.17701,1.17701
29.8343,29.8343,10.6967,10.6967
